Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
aflaai,1,3,-2,-1,-1,1,1
ondervind,2,3,-1,-1,-1,0,1
plaas,2,2,0,0,-1,0,1
doen,1,3,2,1,1,0,1
plaas,5,2,3,1,-1,0,1
reël,2,3,-1,-1,-1,0,1
stel,2,2,0,0,-1,0,1
doen,1,2,1,1,1,0,1
beteken,16,13,3,1,-1,0,1
staan,2,3,-1,-1,-1,0,1
help,1,3,-2,-1,-1,1,1
doen,1,5,4,1,1,0,1
doen,1,6,5,1,1,0,1
doen,1,4,3,1,1,0,1
doen,1,7,6,1,1,0,1
doen,1,4,3,1,1,0,1
het,17,2,15,1,-1,-1,1
hou,1,2,1,1,1,0,1
voer,1,12,-11,-1,-1,0,1
uitvoer,1,3,-2,-1,-1,0,1
verval,3,3,0,0,-1,0,1
doen,1,4,3,1,1,0,1
het,2,4,2,1,1,0,1
stel,2,2,0,0,-1,0,1
invoer,1,3,-2,-1,-1,0,1
doen,1,4,3,1,1,0,1
rig,2,6,-4,-1,-1,0,1
betaal,3,2,1,1,-1,0,1
erken,3,4,-1,-1,-1,0,1
registreer,2,6,-4,-1,-1,0,1
registreer,2,6,-4,-1,-1,0,1
sluit,2,3,1,1,1,0,1
doen,1,3,2,1,1,0,1
doen,1,3,2,1,1,0,1
verteenwoordig,3,7,-4,-1,-1,0,1
toelaat,6,4,2,1,-1,0,1
kry,9,18,-9,-1,-1,0,1
het,5,2,3,1,-1,0,1
doen,1,4,3,1,1,0,1
gebruik,2,2,0,0,-1,0,1
doen,1,3,2,1,1,0,1
doen,1,3,2,1,1,0,1
doen,1,3,2,1,1,0,1
grondves,1,6,-5,-1,-1,0,1
stel,2,2,0,0,-1,0,1
maak,1,2,-1,-1,-1,0,1
neem,10,2,8,1,-1,0,1
bereik,3,4,-1,-1,-1,0,1
kies,2,2,0,0,-1,0,1
dra,9,5,4,1,-1,0,1
gebruik,10,3,7,1,-1,0,1
gebruik,2,4,-2,-1,-1,0,1
vorm,2,5,-3,-1,-1,0,1
plaasvind,6,3,3,1,-1,0,1
verskaf,4,5,1,1,1,0,1
stel,1,2,-1,-1,-1,0,1
doen,1,5,4,1,1,0,1
stel,1,2,-1,-1,-1,0,1
plaasvind,1,5,-4,-1,-1,0,1
