Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
aflaai,,Nom,dit,na jou rekenaar,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
ondervind,,,enige probleme,met die webtuiste,2,3,-1,4,1,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
plaas,,,'n sakeonderneming,onder administrasie,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
doen,,,aansoek,by die hof,1,3,-2,1,2,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
plaas,,,die vereniging of voorlopige vereniging,onder administrasie,5,2,3,6,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
reël,,,se sake,ooreenkomstig 'n grondwet,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
stel,,,die hof,in staat,2,2,0,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
doen,,,aansoek,om onderhoud,1,2,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
beteken,,,'n dagvaarding 'n brief wat 'n persoon opdrag gee om na die hof toe te gaan,op die respondent die persoon teen wie die aansoek om onderhoud gebring word,16,13,3,33,14,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
staan,,,die aangeleentheid,in die hof,2,3,-1,6,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
help,,Acc,jou,deur die registrasieproses,1,3,-2,5,2,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
doen,,,aansoek,om registrasie as 'n kortinggebruiker,1,5,-4,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
doen,,,aansoek,om voorlopige beskerming van 'n variëteit,1,6,-5,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
doen,,,aansoek,om registrasie in Suid-Afrika,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
doen,,,aansoek,om die registrasie van veevoedsel en troeteldierkos,1,7,-6,1,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
doen,,,aansoek,om 'n nuwe rekreasie-invoerpermit,1,4,-3,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
het,,,óf 'n rekreasiepermit vir aas slegs die saklimiet mag vervoer word óf 'n kontantstrokie vir gekoopte aas,by jou,17,2,15,19,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
hou,,,verband,met visvangs,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
voer,,,seewatervis,na die buiteland of buite die grense van die Republiek van Suid-Afrika,1,12,-11,15,12,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
