Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
اِستَمَرّ,1,4,3,1,1,0,1
رَأَى,4,2,2,1,-1,0,1
أَمضَى,2,5,-3,-1,-1,0,1
أَطلَق,4,5,1,1,1,0,1
أَصبَح,3,7,4,1,1,0,1
أَعلَن,7,5,-2,-1,1,0,1
رَسَم,3,4,1,1,1,0,1
زَار,3,6,-3,-1,-1,0,1
أَكَّد,13,6,7,1,-1,0,1
غَطَّى,5,8,3,1,1,0,1
غَادَر,2,22,20,1,1,0,1
أَجرَى,7,3,4,1,-1,0,1
أَطَال,3,3,0,0,1,0,1
رَفَض,2,21,19,1,1,0,1
زَار,1,4,3,1,1,1,1
زَار,1,9,-8,-1,-1,0,1
اِستَضَاف,7,4,-3,-1,1,0,1
أَمضَى,1,3,2,1,1,0,1
بَذَل,2,5,3,1,1,0,1
بَلَغ,17,15,-2,-1,1,0,1
وَقَّع,11,3,8,1,-1,0,1
أَجرَى,3,30,27,1,1,0,1
عَرَض,4,4,0,0,1,0,1
اِعتَزَم,6,3,3,1,-1,0,1
بَلَغ,16,14,-2,-1,1,0,1
خَشِي,1,5,4,1,1,0,1
أَلقَى,1,11,10,1,1,1,1
أَضَاف,13,6,7,1,-1,0,1
أَعطَى,2,3,1,1,1,0,1
غَادَر,1,4,3,1,1,0,1
اِلتَقَى,6,2,4,1,-1,0,1
زَار,2,9,-7,-1,-1,0,1
اِستَضَاف,7,4,-3,-1,1,0,1
اِلتَقَى,1,6,5,1,1,0,1
وَاجَه,4,2,-2,-1,1,0,1
تَوَلَّى,1,4,3,1,1,0,1
أَخرَج,3,3,0,0,1,0,1
اِختَار,1,3,2,1,1,1,1
أَحرَز,1,10,9,1,1,0,1
فَتَح,3,2,-1,-1,1,0,1
جَدَّد,2,5,3,1,1,0,1
خَسِر,5,3,2,1,-1,0,1
وَضَع,2,3,1,1,1,0,1
أَعَاد,9,14,5,1,1,0,1
لَعِب,2,16,14,1,1,0,1
أَصَاب,1,2,1,1,1,0,1
خَاض,5,2,-3,-1,1,0,1
سَبَق,1,2,1,1,1,1,1
أَنهَى,1,5,4,1,1,0,1
بَات,1,13,12,1,1,0,1
اِلتَقَى,1,3,2,1,1,0,1
قَدَّم,2,3,1,1,1,0,1
دَفَع,3,5,2,1,1,0,1
بَات,1,13,12,1,1,0,1
شَكَّل,13,3,10,1,-1,0,1
قَال,14,3,11,1,-1,0,1
قَال,32,6,26,1,-1,0,1
أَطلَق,20,5,15,1,-1,0,1
اِتَّخَذ,4,5,1,1,1,0,1
وَضَع,1,4,3,1,1,1,1
قَرَّر,2,4,2,1,1,0,1
أَوسَع,4,3,-1,-1,1,0,1
اِشتَرَى,24,4,-20,-1,1,0,1
نَافَس,4,3,-1,-1,1,0,1
تَقَاسَم,3,8,5,1,1,0,1
شَكَّل,6,2,-4,-1,1,0,1
طَرَح,5,3,-2,-1,1,0,1
شَنّ,2,7,5,1,1,0,1
اِنتَخَب,2,9,7,1,1,0,1
نَقَل,1,4,3,1,1,1,1
عَقَد,3,3,0,0,1,0,1
قَال,13,11,2,1,-1,0,1
أَضَاف,11,5,6,1,-1,0,1
وَاصَل,1,18,17,1,1,0,1
عَرَف,1,4,3,1,1,1,1
تَابَع,2,2,0,0,1,0,1
اِنتَقَد,2,17,15,1,1,0,1
أَطلَق,5,7,2,1,1,0,1
لَقِي,2,9,7,1,1,0,1
أَصَاب,2,20,18,1,1,0,1
بَذَل,2,10,8,1,1,0,1
أَحرَز,3,3,0,0,1,0,1
وَضَع,1,4,3,1,1,1,1
وَعَد,1,10,9,1,1,0,1
وَضَع,2,3,-1,-1,-1,0,1
وَجَد,5,2,3,1,-1,1,1
لَقَّم,3,4,1,1,1,0,1
اِنتَزَع,13,36,23,1,1,0,1
اِستَضَاف,1,3,2,1,1,1,1
رَفَع,2,3,1,1,1,0,1
قَلَّص,9,3,-6,-1,1,0,1
قَتَل,2,6,4,1,1,0,1
قَطَع,2,14,12,1,1,0,1
قَطَع,1,6,5,1,1,0,1
بَدَأ,2,2,0,0,-1,1,1
حَضَر,1,3,2,1,1,1,1
قَاد,1,5,4,1,1,1,1
خَاض,5,2,-3,-1,1,0,1
شَكَّل,3,4,1,1,1,0,1
اِختَار,4,4,0,0,1,0,1
عَيَّن,8,7,-1,-1,1,0,1
عَيَّن,3,5,2,1,1,0,1
أَوقَع,2,3,1,1,1,0,1
رَفَع,1,2,1,1,1,0,1
شَغَل,16,2,14,1,-1,0,1
قَال,26,6,20,1,-1,0,1
شَكَّل,1,7,6,1,1,0,1
أَلقَى,1,20,19,1,1,0,1
وَاصَل,2,2,0,0,1,0,1
أَلقَى,1,3,2,1,1,1,1
تَلَقَّى,2,2,0,0,1,0,1
أَشبَه,1,3,2,1,1,0,1
غَمَر,3,3,0,0,1,0,1
فَقَد,2,2,0,0,1,0,1
لَاحَق,4,5,1,1,1,0,1
ضَمّ,6,7,1,1,1,0,1
قَدَّس,12,3,9,1,-1,0,1
عَبَر,2,8,6,1,1,0,1
خَشِي,1,5,4,1,1,0,1
أَضَاف,13,6,7,1,-1,0,1
قَال,26,6,20,1,-1,0,1
ضَمّ,6,7,1,1,1,0,1
تَوَلَّى,3,3,0,0,1,0,1
اِحتَلّ,3,5,2,1,1,0,1
لَقِي,2,9,7,1,1,0,1
اِلتَقَى,6,2,4,1,-1,0,1
أَلقَى,1,11,10,1,1,1,1
عَقَد,3,3,0,0,1,0,1
أَضَاف,13,9,4,1,-1,0,1
اِلتَقَى,5,6,-1,-1,-1,0,1
زَار,3,16,13,1,1,0,1
بَذَل,1,9,8,1,1,1,1
ضَبَط,10,2,8,1,-1,1,1
اِعتَرَض,7,5,-2,-1,1,0,1
اِرتَكَب,2,5,3,1,1,0,1
اِفتَتَح,21,2,19,1,-1,0,1
اِتَّهَم,1,2,-1,-1,-1,0,1
اِستَقبَل,5,27,22,1,1,0,1
قَال,9,6,3,1,-1,0,1
لَعِب,9,2,7,1,-1,0,1
سَجَّل,2,2,0,0,-1,1,1
بَاشَر,18,4,14,1,-1,0,1
أَصَاب,1,2,1,1,1,0,1
قَال,27,6,21,1,-1,0,1
قَال,11,2,9,1,-1,0,1
أَعَدّ,5,3,-2,-1,1,0,1
هَاجَم,7,3,4,1,-1,0,1
شَاهَد,3,2,-1,-1,1,0,1
اِستَطَاع,9,3,-6,-1,1,0,1
قَرَّر,10,23,13,1,1,0,1
تَقَاضَى,4,11,7,1,1,0,1
بَدَأ,7,2,5,1,-1,0,1
دَرَس,4,2,2,1,-1,0,1
دَخَل,2,14,12,1,1,0,1
عَقَد,1,2,1,1,1,1,1
تَابَع,11,3,8,1,-1,0,1
فَسَّر,9,2,7,1,-1,0,1
أَضَاف,1,7,6,1,1,0,1
أَقفَل,3,7,-4,-1,-1,0,1
لَقِي,2,3,1,1,1,0,1
اِستَقبَل,2,6,4,1,1,0,1
خَصّ,1,5,4,1,1,0,1
عَبَر,16,3,13,1,-1,0,1
زَار,7,2,5,1,-1,1,1
اِعتَبَر,16,2,14,1,-1,0,1
عَقَد,1,2,1,1,1,1,1
عَقَد,9,2,7,1,-1,0,1
فَقَد,1,2,1,1,1,0,1
اِفتَتَح,3,2,-1,-1,1,0,1
خَدَم,1,2,1,1,1,1,1
أَلقَى,1,12,11,1,1,1,1
قَال,12,8,4,1,-1,0,1
اِستَخدَم,5,10,5,1,1,0,1
قَاد,1,3,2,1,1,1,1
عَقَد,2,2,0,0,-1,0,1
اِستَقبَل,12,6,6,1,-1,0,1
أَمضَى,3,2,-1,-1,1,0,1
اِستَبعَد,17,8,-9,-1,1,0,1
أَكمَل,2,12,10,1,1,0,1
أَتَاح,10,8,2,1,-1,0,1
خَسِر,5,3,-2,-1,1,0,1
خَسِر,5,10,5,1,1,0,1
اِتَّهَم,4,2,2,1,-1,0,1
صَدَّر,6,3,-3,-1,1,0,1
بَلَغ,12,11,-1,-1,1,0,1
بَلَغ,12,16,4,1,1,0,1
صَدَّر,6,13,7,1,1,0,1
خَفَّف,1,2,1,1,1,0,1
قَلَب,1,3,2,1,1,0,1
خَاض,3,3,0,0,1,0,1
قَتَل,3,4,1,1,1,0,1
قَتَل,3,7,4,1,1,0,1
شَمِل,3,13,10,1,1,0,1
تَرَك,2,2,0,0,1,0,1
خَاطَب,8,8,0,0,1,0,1
قَدَّم,4,3,-1,-1,1,0,1
أَكَّد,28,11,17,1,-1,0,1
زَار,2,3,1,1,1,0,1
بَلَغ,12,11,-1,-1,1,0,1
خَسِر,5,10,5,1,1,0,1
أَوضَح,17,3,14,1,-1,0,1
حَلّ,2,10,8,1,1,0,1
أَمضَى,2,2,0,0,1,0,1
زَار,2,2,0,0,-1,0,1
تَلَقَّى,1,2,1,1,1,0,1
أَصدَر,19,4,15,1,-1,0,1
خَان,2,4,2,1,1,0,1
أَقنَع,20,2,18,1,-1,0,1
اِعتَرَى,3,6,3,1,1,0,1
دَشَّن,14,2,12,1,-1,0,1
حَلّ,2,4,2,1,1,0,1
نَشَر,7,4,3,1,-1,0,1
