Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
اِستَمَرّ,,Acc,يومين,في سوق في لاغوس,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
رَأَى,,Acc,خطرا على السلام العالمي,في الحرب,4,2,2,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
أَمضَى,,Acc,ست سنوات,في منفى ه في مصر,2,5,-3,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
أَطلَق,,Acc,خمسة اقمار اصطناعية كوسموس,على متن صاروخ فضائي واحد,4,5,-1,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
أَصبَح,,Acc,رئيسا ل الدولة,بعد غياب حسن البكر عن الساحة السياسية,3,7,-4,1,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
أَعلَن,,Acc,تطبيع العلاقات الدبلوماسية بين السعودية و الأردن,بعد قطيعة دامت خمس سنوات,7,5,2,1,9,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
رَسَم,,Acc,حدود الدول الاوروبية,بعد الحرب العالمية الثانية,3,4,-1,1,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
زَار,,,مرفأ اللاذقية السوري,ل أول مرة منذ 48 عاما,3,6,-3,10,4,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
أَكَّد,,Acc,حصول حوادث ادت الى مقتل ثلاثة يمنيين و إصابة تسعة آخرين ب جروح,في 21 من الشهر ذات ه,13,6,7,7,2,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
غَطَّى,,,90 % من جسد ه,اثر حريق اندلع الخميس في منطقة هاسكوفو جنوب,5,8,-3,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
غَادَر,,Acc,الولايات المتحدة,ل المشاركة في آخر قمة ل ه ل مجموعة الثماني الدول الصناعية الكبرى السبع و روسيا التي س تجري في جزيرة اوكيناوا,2,22,-20,3,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
أَجرَى,,Acc,محادثات ثنائية مع الرئيس الروسي فلاديمير بوتين,على هامش القمة,7,3,4,4,2,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
أَطَال,,Acc,ربع النساء تقريبا,خلال حياة هم,3,3,0,1,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
رَفَض,,Acc,منح التاشيرات,ب سبب تحفظات لندن ب السماح ل مسؤولين صينيين ب الدخول الى بريطانيا ل استجواب اثنين من الناجين من هذه الماساة,2,21,-19,1,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
زَار,,Acc,ها,ل مدة 24 ساعة,1,4,-3,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
زَار,,,عشرين,بعد فشل قمة كامب ديفيد في 25 تموز يوليو,1,9,-8,11,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
اِستَضَاف,,Acc,مؤتمرا اسيويا ل الأمم المتحدة حول فلسطينيين,فى اذار مارس الماضي,7,4,3,2,10,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
أَمضَى,,Acc,اجازة,فى شمال اسرائيل,1,3,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
بَذَل,,,ما تستطيع,ل تجنب التصعيد فى لبنان,2,5,-3,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
بَلَغ,,Acc,المرحلة الثانية من دورة مونتريال الكندية الدولية ل كرة المضرب البالغة جوائز ها 08 1 مليون دولار,ب فوز ها على كارا بلاك من زيمبابوي 6 3 و 7 6 7 4,17,15,2,4,23,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
وَقَّع,,Acc,عقدا مع المجر ل تحديث طائرات ها من نوع ميغ 29,في الاسابيع المقبلة,11,3,8,4,2,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
أَجرَى,,Acc,مفاوضات مع النمسا,ل تزويد أسطول ها الجوي ب طائرات ميغ 29 اس ام تي المجهزة ب أحدث الانظمة الدفاعية و المزودة ب خزان اضافي ل المحروقات و ب جهاز تحكم الكتروني حديث,3,30,-27,6,10,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
عَرَض,,Acc,طائرات ها اف 16,ب أسعار متدنية جدا,4,4,0,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
اِعتَزَم,,Acc,شراء حاملة الطائرات الروسية اميرال غورشكوف,من جهة ها,6,3,3,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
بَلَغ,,Acc,المرحلة الثانية من دورة انديانابوليس الاميركية الدولية ل كرة المضرب البالغة جوائز ها 800 الف دولار,ب فوز ه على السويدي توماس يوهانسون 7 6 7 4 و 6 4,16,14,2,4,21,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
خَشِي,,Acc,الاسوأ,ب النسبة الى حياة الطاقم,1,5,-4,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
أَلقَى,,Acc,ها,ب مناسبة الذكرى الخامسة و الخمسين ل التحرر من الاحتلال الياباني,1,11,-10,1,4,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
أَضَاف,,Nom,إن نا قريبون من الاتفاق و أقرب مما كنا في اي وقت مضى,فى تصريحات ل الإذاعة الاسرائيلية العامة,13,6,7,11,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
أَعطَى,,Acc,اي ايضاحات,فى هذا الاتجاه,2,3,-1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
غَادَر,,,فيتنام,في ختام زيارة قصيرة,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
اِلتَقَى,,Acc,نظير ه الفيتنامي تران دوك لوونغ,خلال الزيارة,6,2,4,4,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
زَار,,Acc,عشرين دولة,بعد فشل قمة كامب ديفيد في 25 تموز يوليو,2,9,-7,11,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
اِستَضَاف,,Acc,مؤتمرا اسيويا ل الأمم المتحدة حول فلسطين,فى اذار مارس الماضي,7,4,3,2,10,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
اِلتَقَى,,,اسبانيا,في مباراة دولية ودية في هانوفر,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
وَاجَه,,Acc,منتخبا من نجوم العالم,في مرسيليا,4,2,2,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
تَوَلَّى,,Acc,الاشراف,في 1 حزيران يونيو,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
أَخرَج,,Acc,اي لاعب كبير,في السنوات الاخيرة,3,3,0,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
اِختَار,,Acc,ها,ل مواجهة اسبانيا,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
أَحرَز,,Acc,اللقب,ب فوز ها على ايطاليا ب الهدف الذهبي 2 1,1,10,-9,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
فَتَح,,Acc,ملف المشكلات المتخم,في النادي,3,2,1,3,7,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
