Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
купя,2,2,0,0,-1,0,1
гледам,2,2,0,0,1,0,1
разбирам-(се),1,5,4,1,1,1,1
отпусна-(се),1,2,1,1,1,0,1
хвана-(се),1,2,1,1,1,0,1
копая,1,4,3,1,1,0,1
вземам,4,2,2,1,-1,0,1
гледам,1,2,1,1,1,0,1
успокоя-(се),2,12,10,1,1,0,1
открия-(се),2,4,2,1,1,0,1
съчетая,2,5,3,1,1,0,1
напиша,3,5,2,1,1,0,1
втресе-ме,1,6,5,1,1,1,1
дам-(се),1,2,1,1,1,0,1
извадя,1,4,3,1,1,0,1
знам,1,6,5,1,1,1,1
домъкна-(се),6,2,4,1,-1,0,1
вържа-(се),1,4,3,1,1,0,1
узная,1,2,1,1,1,-1,1
разбера-(се),1,7,6,1,1,1,1
разбера-(се),1,7,6,1,1,1,1
дам-(се),2,2,0,0,1,0,1
дам-(се),1,2,1,1,1,0,1
проведа,4,2,-2,-1,1,0,1
известя,2,2,0,0,1,0,1
нямам,1,2,1,1,1,0,1
правя-(се),1,20,19,1,1,0,1
вдигна-(се),1,2,1,1,1,0,1
вдигна-(се),7,3,4,1,-1,0,1
храня-(се),1,9,8,1,1,0,1
объркам-(се),1,2,-1,-1,-1,0,1
затрия-(се),3,4,1,1,1,0,1
намеря-(се),3,2,1,1,-1,0,1
регистрирам,1,2,1,1,1,0,1
подкрепя,3,5,2,1,1,0,1
проследя,3,2,1,1,-1,0,1
хвана-(се),1,2,1,1,1,1,1
декларирам,4,11,7,1,1,0,1
напусна,2,3,-1,-1,-1,0,1
имам,1,3,2,1,1,0,1
направя-(се),1,2,1,1,1,0,1
виждам-(се),2,3,1,1,1,0,1
осъществявам-(се),19,13,-6,-1,1,0,1
получа,1,3,2,1,1,0,1
прочета,7,13,6,1,1,0,1
посрещам,7,2,5,1,-1,0,1
минавам-(се),1,2,1,1,1,0,1
гледам,8,4,4,1,-1,0,1
дестабилизирам,2,14,12,1,1,0,1
направя-(се),1,11,10,1,1,0,1
хвана-(се),2,3,1,1,1,0,1
уча-(се),2,4,2,1,1,0,1
има,6,5,-1,-1,1,0,1
утвърждавам-(се),7,6,-1,-1,1,0,1
сека,1,2,1,1,1,0,1
хвърля-(се),1,5,4,1,1,0,1
прилагам,2,6,4,1,1,0,1
нямам,1,3,2,1,1,0,1
оспоря,3,4,1,1,1,0,1
обясня-(се),2,2,0,0,1,0,1
дръпна-(се),2,3,1,1,1,0,1
забележа-(се),1,2,-1,-1,-1,0,1
обещая,4,5,1,1,1,0,1
изкарвам,1,7,6,1,1,0,1
намеря-(се),5,7,2,1,1,0,1
сграбча,1,2,1,1,1,1,1
имам,1,3,2,1,1,1,1
блъсна-(се),1,2,1,1,1,0,1
имам,1,3,2,1,1,1,1
имам,1,3,2,1,1,1,1
има,3,2,-1,-1,1,0,1
имам,1,3,2,1,1,1,1
разтъркам,2,2,0,0,1,0,1
виждам-(се),4,3,-1,-1,1,0,1
искам,1,3,2,1,1,0,1
имам,2,5,3,1,1,0,1
застана,1,4,3,1,1,0,1
имам,1,7,6,1,1,1,1
приготвя-(се),1,3,2,1,1,0,1
имам,1,8,7,1,1,1,1
имам,1,2,1,1,1,0,1
оставя-(се),3,2,-1,-1,1,-1,1
давам-(се),1,4,3,1,1,0,1
нямам,1,2,1,1,1,0,1
имам,2,10,8,1,1,0,1
вдигна-(се),1,2,1,1,1,0,1
очаквам,4,6,2,1,1,0,1
разтворя-(се),3,3,0,0,-1,0,1
развъждам-(се),6,2,4,1,-1,0,1
познавам,2,3,1,1,1,0,1
взема,1,4,3,1,1,0,1
натисна-(се),3,4,-1,-1,-1,0,1
отпечатам-(се),1,2,1,1,1,-1,1
стисна-(се),3,3,0,0,1,0,1
хвана-(се),1,2,1,1,1,0,1
концентрирам,4,3,-1,-1,1,0,1
има,1,6,5,1,1,0,1
оставям-(се),1,2,1,1,1,0,1
има,2,10,8,1,1,0,1
имам,3,3,0,0,1,0,1
стана,1,3,2,1,1,0,1
осигурявам,15,5,-10,-1,1,0,1
преобръщам-(се),1,3,2,1,1,1,1
хвърлям-(се),1,2,-1,-1,-1,0,1
втресе-ме,1,6,5,1,1,1,1
популяризирам,2,2,0,0,1,0,1
стана,1,7,6,1,1,0,1
потърся,2,2,0,0,1,0,1
формирам,8,3,5,1,-1,0,1
изнасям-(се),3,4,-1,-1,-1,0,1
одобря,11,3,-8,-1,1,0,1
представям-(се),6,10,4,1,1,0,1
изразя-(се),10,4,-6,-1,1,0,1
провеся-(се),1,2,1,1,1,0,1
разтворя-(се),3,3,0,0,1,0,1
мия,1,3,2,1,1,0,1
изглеждам,4,11,7,1,1,0,1
посетя,3,4,1,1,1,0,1
потърся,1,4,3,1,1,0,1
търся,4,4,0,0,1,0,1
грабна,1,3,2,1,1,1,1
направя-(се),4,4,0,0,-1,0,1
дам-(се),1,4,3,1,1,0,1
излъжа-(се),2,3,1,1,1,0,1
имам,4,9,5,1,1,0,1
има,2,4,2,1,1,0,1
прибера-(се),1,2,1,1,1,0,1
приема,3,3,0,0,-1,0,1
ритна,1,3,2,1,1,1,1
забравя-(се),1,2,1,1,1,0,1
дробя-(се),1,2,-1,-1,-1,0,1
подкрепя,6,6,0,0,-1,0,1
произвеждам,1,2,-1,-1,-1,1,1
извървя-(се),10,4,6,1,-1,0,1
загубвам-(се),3,4,1,1,1,0,1
тълкувам,2,2,0,0,1,0,1
казвам-(се),1,2,-1,-1,-1,0,1
вдигна-(се),1,2,1,1,1,-1,1
наклоня-(се),2,3,1,1,1,0,1
поема,1,3,2,1,1,-1,1
представям-(се),2,3,1,1,1,0,1
прочета,3,3,0,0,-1,0,1
затръшна,1,3,2,1,1,-1,1
отпусна-(се),1,2,1,1,1,0,1
давам-(се),1,2,-1,-1,-1,-1,1
извършвам,1,3,2,1,1,0,1
осъществявам-(се),10,17,7,1,1,0,1
създавам,13,7,-6,-1,1,0,1
подпомагам,4,6,2,1,1,0,1
придобивам,2,2,0,0,1,0,1
придобивам,2,3,1,1,1,0,1
имам,4,11,7,1,1,0,1
постигна,2,2,0,0,1,0,1
имам,4,4,0,0,1,0,1
прекъсвам-(се),2,3,1,1,1,0,1
прекъсвам-(се),2,6,4,1,1,0,1
нося-(се),2,12,10,1,1,0,1
приемам,4,9,5,1,1,0,1
приемам,1,9,8,1,1,0,1
разглеждам,5,7,2,1,1,0,1
ръководя-(се),6,6,0,0,1,0,1
сключвам,2,5,3,1,1,0,1
подавам-(се),1,4,3,1,1,0,1
изпълнявам,2,6,4,1,1,0,1
насрочвам,5,8,3,1,1,0,1
насрочвам,1,5,4,1,1,0,1
приключа,2,3,1,1,1,0,1
браня,8,4,4,1,-1,0,1
приключа,1,5,4,1,1,0,1
виждам-(се),2,3,1,1,1,0,1
създавам,2,6,4,1,1,0,1
създавам,3,12,9,1,1,0,1
поръся,1,2,1,1,1,0,1
пиша,1,2,1,1,1,0,1
имам,2,9,7,1,1,0,1
