Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
купя,,,кола дърва,от пазара,2,2,0,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
гледам,,,снаха си,като керкенез,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
разбирам-(се),,Nom,нищо,от речта на защитника си,1,5,-4,1,3,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
отпусна-(се),,,криле,във висините,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
хвана-(се),,,стареца,за ръка,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
копая,,,бурените,в току-що поникналата царевица,1,4,-3,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
вземам,,,колкото си искат жени,в харема,4,2,2,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
гледам,,,хората,в очите,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
успокоя-(се),,,развълнуваната девойка,с тържественото обещание че ще направи от нея неподражаема богиня на хубостта,2,12,-10,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
открия-(се),,,яростен огън,по отстъпващите немски вериги,2,4,-2,2,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
съчетая,,,тия звуци,в сложна и хубава мелодия,2,5,-3,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
напиша,,,критика за мене,под формата на полицейски акт,3,5,-2,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
втресе-ме,,Acc,го,точно срещу деня на годишното събрание,1,6,-5,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
дам-(се),,,пари,на заем,1,2,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
извадя,,,ножа,с едната си ръка,1,4,-3,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
знам,,Acc,го,само като изпълнителен и работлив другар,1,6,-5,1,7,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
домъкна-(се),,,една голяма кошница пълна с вишни,от лозето,6,2,4,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
вържа-(се),,,коня,за бряста до колибата,1,4,-3,1,3,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
узная,,,новината,от него,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
разбера-(се),,Nom,всичко,в мига когато погледите им се срещнаха,1,7,-6,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
разбера-(се),,Nom,всичко,в мига когато погледите им се срещнаха,1,7,-6,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
дам-(се),,,само хляб,за вечеря,2,2,0,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
дам-(се),,,значка,за спомен,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
проведа,,,и редица двустранни срещи,в Брюксел,4,2,2,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
известя,,,сестра си,в Ямбол,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
нямам,,,място,за разхищение,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
правя-(се),,,декларации,във връзка с консенсуса на политическите сили свързан с главната политическа и икономическа стратегия на България интеграцията в европейските структури,1,20,-19,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
вдигна-(се),,,ръце,за прегръдка,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
