Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
condemnar,5,8,3,1,1,0,1
anar,4,4,0,0,-1,0,1
instal·lar,7,14,7,1,1,0,1
dipositar,2,3,1,1,1,0,1
participar,3,7,4,1,1,0,1
aportar,2,2,0,0,1,0,1
repartir,17,9,8,1,-1,0,1
mantenir,1,18,17,1,1,0,1
introduir,1,5,4,1,1,0,1
justificar,3,10,7,1,1,0,1
dinamitzar,4,24,20,1,1,0,1
rebre,11,3,8,1,-1,0,1
augmentar,5,25,20,1,1,0,1
estudiar,3,8,5,1,1,0,1
rebre,7,3,4,1,-1,0,1
obrir,10,5,-5,-1,1,0,1
obrir,5,10,5,1,1,0,1
convocar,3,15,12,1,1,0,1
comptar,6,2,-4,-1,1,0,1
dur,1,6,5,1,1,1,1
dictar,2,2,0,0,1,0,1
detectar,8,12,4,1,1,0,1
provocar,3,3,0,0,1,0,1
funcionar,14,6,8,1,-1,0,1
incidir,6,3,-3,-1,1,0,1
quedar,2,8,6,1,1,0,1
donar,1,16,15,1,1,0,1
estar,4,7,3,1,1,0,1
tenir,13,22,9,1,1,0,1
disposar,11,3,8,1,-1,0,1
seleccionar,30,12,18,1,-1,0,1
aprovar,21,2,19,1,-1,0,1
cobrir,4,5,1,1,1,0,1
desviar,11,5,6,1,-1,0,1
presentar,2,2,0,0,1,0,1
adequar,2,5,3,1,1,0,1
arribar,3,11,8,1,1,0,1
afectar,25,3,22,1,-1,0,1
arribar,3,4,1,1,1,0,1
interposar,2,2,0,0,1,0,1
abocar,2,4,2,1,1,0,1
potenciar,27,2,25,1,-1,0,1
reiterar,18,22,4,1,1,0,1
incrementar,6,6,0,0,1,0,1
nomenar,6,3,-3,-1,1,0,1
impulsar,7,3,-4,-1,1,0,1
presentar,5,4,-1,-1,1,0,1
generar,2,12,10,1,1,0,1
donar,5,3,2,1,-1,0,1
presentar,28,4,24,1,-1,0,1
recuperar,1,3,2,1,1,1,1
iniciar,4,6,2,1,1,0,1
eliminar,4,3,-1,-1,1,0,1
buscar,24,6,18,1,-1,0,1
violar,3,4,1,1,1,0,1
valorar,6,13,7,1,1,0,1
escoltar,5,3,-2,-1,1,0,1
formular,2,3,1,1,1,0,1
apartar,1,2,1,1,1,1,1
provar,57,3,54,1,-1,0,1
iniciar,6,15,9,1,1,0,1
efectuar,27,6,21,1,-1,0,1
continuar,2,10,8,1,1,0,1
complir,5,2,-3,-1,1,0,1
treure,2,3,1,1,1,0,1
introduir,2,2,0,0,1,0,1
imposar,4,24,20,1,1,0,1
preveure,2,4,-2,-1,-1,0,1
