Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
fer,1,5,4,1,1,-1,1
fer,1,3,2,1,1,-1,1
efectuar,1,3,2,1,1,0,1
proposar,1,4,3,1,1,-1,1
produir,1,6,5,1,1,-1,1
completar,1,7,6,1,1,-1,1
substituir,1,5,4,1,1,-1,1
resoldre,1,4,3,1,1,-1,1
haver,1,3,2,1,1,0,1
haver,1,7,6,1,1,-1,1
incorporar,1,3,2,1,1,0,1
fer,1,7,6,1,1,-1,1
fer,1,3,2,1,1,0,1
celebrar,1,2,1,1,1,0,1
haver,1,8,7,1,1,-1,1
posar,1,4,3,1,1,-1,1
remarcar,1,3,2,1,1,-1,1
posar,1,3,2,1,1,-1,1
recollir,1,4,3,1,1,-1,1
produir,1,5,4,1,1,-1,1
projectar,1,3,2,1,1,0,1
portar,1,7,6,1,1,-1,1
demanar,1,3,2,1,1,-1,1
servir,1,3,2,1,1,0,1
presentar,1,4,3,1,1,-1,1
incloure,1,3,2,1,1,0,1
haver,1,3,2,1,1,-1,1
tractar,1,4,3,1,1,-1,1
haver,1,3,2,1,1,-1,1
voler,1,3,2,1,1,-1,1
reduir,1,2,1,1,1,-1,1
haver,1,4,3,1,1,-1,1
apreciar,1,5,4,1,1,-1,1
fer,1,6,5,1,1,-1,1
haver,1,3,2,1,1,0,1
haver,1,9,8,1,1,-1,1
haver,1,8,7,1,1,-1,1
millorar,1,3,2,1,1,-1,1
dur,1,2,1,1,1,0,1
comptabilitzar,1,6,5,1,1,-1,1
comptabilitzar,1,3,2,1,1,-1,1
presentar,1,3,2,1,1,-1,1
quedar,1,3,2,1,1,-1,1
destacar,1,10,9,1,1,-1,1
organitzar,1,4,3,1,1,0,1
inscriure,1,3,2,1,1,0,1
haver,1,5,4,1,1,-1,1
assenyalar,1,3,2,1,1,-1,1
col·locar,1,3,2,1,1,-1,1
construir,1,3,2,1,1,-1,1
posar,1,6,5,1,1,-1,1
incrementar,1,4,3,1,1,-1,1
haver,1,4,3,1,1,-1,1
notar,1,2,1,1,1,-1,1
incrementar,1,4,3,1,1,-1,1
fer,1,2,1,1,1,0,1
continuar,1,8,7,1,1,-1,1
representar,1,3,2,1,1,-1,1
tallar,1,3,2,1,1,0,1
tractar,1,2,1,1,1,0,1
inaugurar,1,2,1,1,1,-1,1
emetre,1,8,7,1,1,-1,1
haver,1,2,1,1,1,-1,1
haver,1,3,2,1,1,0,1
professionalitzar,1,6,5,1,1,-1,1
haver,1,2,1,1,1,0,1
divisar,1,4,3,1,1,-1,1
haver,1,3,2,1,1,-1,1
haver,1,7,6,1,1,-1,1
fer,1,6,5,1,1,-1,1
haver,1,6,5,1,1,-1,1
consultar,1,3,2,1,1,-1,1
anomenar,1,4,3,1,1,-1,1
efectuar,1,4,3,1,1,-1,1
invertir,1,2,1,1,1,0,1
haver,1,8,7,1,1,-1,1
incloure,1,3,2,1,1,0,1
haver,1,7,6,1,1,-1,1
comptabilitzar,1,8,7,1,1,-1,1
haver,1,3,2,1,1,-1,1
oferir,1,2,1,1,1,-1,1
impartir,1,2,1,1,1,-1,1
reforçar,1,5,4,1,1,-1,1
pretendre,1,10,9,1,1,-1,1
designar,1,2,1,1,1,-1,1
penalitzar,1,2,1,1,1,0,1
convertir,1,3,2,1,1,-1,1
haver,1,3,2,1,1,-1,1
mostrar,1,3,2,1,1,-1,1
haver,1,8,7,1,1,-1,1
obrir,1,3,2,1,1,-1,1
proposar,1,3,2,1,1,0,1
recollir,1,3,2,1,1,0,1
projectar,1,5,4,1,1,-1,1
explicitar,1,10,9,1,1,-1,1
