Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
fer,,ase=Npr,es,a partir d' aquest dia,1,5,-4,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
fer,,ase=Npr,s',D' una banda,1,3,-2,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
efectuar,,ase=Npr,es,en les quals,1,3,-2,2,3,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
proposar,,ase=Npr,es,per la qual cosa,1,4,-3,1,2,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
produir,,ase=Npr,es,a la Regió Metropolitana de Barcelona,1,6,-5,1,5,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
completar,,ase=Npr,es,Amb la posada en funcionament del funicular,1,7,-6,1,6,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
substituir,,,se,per una despesa pressupostària equivalent,1,5,-4,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
resoldre,,ase=Npr,es,amb la qual cosa,1,4,-3,2,3,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
haver,,,hi,entre les quals,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
haver,,,hi,Entre les funcions del nou delegat territorial,1,7,-6,1,6,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
incorporar,,ase=Npr,s',en el qual,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
fer,,ase=Npr,es,Mitjançant fotografies textos cites literàries i maquetes,1,7,-6,1,10,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
fer,,ase=Npr,es,en les quals,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
celebrar,,,se,en què,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
haver,,,hi,Entre les conclusions més interessants d' aquest informe,1,8,-7,1,7,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
posar,,ase=Npr,es,En aquest mateix capítol,1,4,-3,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
remarcar,,ase=Npr,es,En el llibre,1,3,-2,1,2,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
posar,,ase=Npr,es,en la tercera,1,3,-2,1,2,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
recollir,,ase=Npr,es,en una d' elles,1,4,-3,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
produir,,ase=Npr,s',segons l' informe d' incidències,1,5,-4,2,6,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
projectar,,ase=Npr,es,des d' on,1,3,-2,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
portar,,ase=Npr,es,A partir del dilluns 2 de juny,1,7,-6,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
demanar,,ase=Npr,es,En aquest debat,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
servir,,ase=Npr,es,en la qual,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
presentar,,ase=Npr,s',A aquesta primera edició,1,4,-3,3,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
incloure,,ase=Npr,s',entre els quals,1,3,-2,1,2,indefinite,definite,pronominal,pronominal,preposition,nonshifted,preverbal
haver,,,hi,Al parc central,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
tractar,,ase=Npr,es,Durant aquests quatre dies,1,4,-3,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
haver,,,hi,Al seu voltant,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
voler,,ase=Npr,es,Amb aquesta acció,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
reduir,,ase=Npr,es,a Catalunya,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
haver,,,hi,a les comarques gironines,1,4,-3,1,3,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,preverbal
apreciar,,ase=Npr,s',en grups d' edat inferiors,1,5,-4,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
