Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
obnoviti,1,2,1,1,1,0,1
ispunjavati,1,2,1,1,1,0,1
koristiti,2,6,4,1,1,0,1
prisvojiti,3,10,7,1,1,0,1
imati,2,3,1,1,1,0,1
dobiti,2,2,0,0,1,0,1
podnijeti,1,3,2,1,1,0,1
podnositi,1,5,4,1,1,0,1
preuzimati,1,5,4,1,1,0,1
reći,1,2,1,1,1,0,1
imati,2,2,0,0,1,0,1
ustrojiti,2,2,0,0,1,0,1
imati,2,2,0,0,1,0,1
očekivati,4,4,0,0,1,0,1
generirati,1,3,2,1,1,0,1
graditi,3,5,2,1,1,0,1
dobiti,1,4,3,1,1,0,1
ljubiti,1,8,7,1,1,0,1
nametnuti,3,3,0,0,1,0,1
čuvati,1,2,1,1,1,0,1
potpisati,2,4,-2,-1,-1,0,1
završiti,3,3,0,0,1,0,1
preuzeti,2,6,4,1,1,0,1
poduzeti,10,2,-8,-1,1,0,1
čestitati,1,10,9,1,1,0,1
predstaviti,3,2,-1,-1,1,0,1
predstaviti,8,8,0,0,1,0,1
potaknuti,1,7,6,1,1,0,1
održavati,1,8,7,1,1,0,1
početi,1,16,15,1,1,0,1
kontaktirati,6,2,4,1,-1,0,1
izvršiti,2,5,3,1,1,0,1
uhititi,3,5,2,1,1,0,1
pretražiti,3,6,3,1,1,0,1
primjenjivati,2,3,1,1,1,0,1
prevesti,1,3,2,1,1,0,1
napustiti,2,2,0,0,1,0,1
prekinuti,2,4,2,1,1,0,1
izvršiti,1,8,7,1,1,0,1
izazvati,3,2,-1,-1,1,0,1
okriviti,1,3,2,1,1,0,1
izvršiti,1,2,1,1,1,0,1
objaviti,30,2,28,1,-1,0,1
preuzeti,2,3,1,1,1,0,1
uzeti,3,2,-1,-1,1,0,1
okupiti,13,14,1,1,1,0,1
obratiti,1,3,2,1,1,0,1
pomoći,2,4,2,1,1,0,1
sukobiti,2,5,3,1,1,0,1
tražiti,3,5,2,1,1,0,1
potpisati,9,4,5,1,-1,0,1
igrati,2,2,0,0,1,0,1
potpisati,6,4,-2,-1,1,0,1
isključiti,1,4,3,1,1,0,1
utemeljiti,3,6,3,1,1,0,1
pomoći,7,6,-1,-1,1,0,1
otvoriti,1,3,2,1,1,0,1
obeshrabrivati,1,3,2,1,1,0,1
pomagati,1,24,23,1,1,0,1
razmotriti,4,21,17,1,1,0,1
otkriti,2,3,1,1,1,0,1
prositi,1,2,1,1,1,0,1
iskusiti,4,4,0,0,1,0,1
otkriti,5,4,1,1,-1,0,1
uplaćivati,4,2,-2,-1,1,0,1
pobijediti,1,3,2,1,1,0,1
postići,2,2,0,0,1,0,1
pozvati,1,3,2,1,1,0,1
proglasiti,3,3,0,0,1,0,1
provoditi,6,3,-3,-1,1,0,1
strgati,2,2,0,0,1,0,1
imati,3,2,-1,-1,1,0,1
usmrtiti,2,4,2,1,1,0,1
zaustaviti,1,11,10,1,1,0,1
zavaravati,1,7,6,1,1,0,1
pozivati,1,8,7,1,1,0,1
propustiti,6,2,4,1,-1,0,1
igrati,3,13,10,1,1,0,1
napustiti,1,3,2,1,1,0,1
učiniti,2,5,3,1,1,0,1
pohvaliti,5,4,1,1,-1,0,1
osvojiti,6,4,2,1,-1,0,1
predstavljati,2,4,2,1,1,0,1
zamijeniti,1,4,3,1,1,0,1
pozivati,1,4,3,1,1,0,1
ponuditi,3,6,3,1,1,0,1
dobiti,1,2,1,1,1,0,1
pokrenuti,2,2,0,0,1,0,1
pretrpjeti,1,3,2,1,1,0,1
dobiti,1,2,1,1,1,0,1
podnijeti,3,2,-1,-1,1,0,1
pohvaliti,1,3,2,1,1,0,1
načiniti,7,14,7,1,1,0,1
dobiti,1,2,1,1,1,0,1
otvoriti,9,3,-6,-1,1,0,1
osvojiti,2,14,12,1,1,0,1
privući,3,2,-1,-1,1,0,1
predstavljati,11,4,-7,-1,1,0,1
pozivati,1,8,7,1,1,0,1
pokazati,2,11,9,1,1,0,1
priključiti,1,4,3,1,1,0,1
pohvaliti,1,19,18,1,1,0,1
apsorbirati,1,8,7,1,1,0,1
poduzimati,6,8,2,1,1,0,1
informirati,1,6,5,1,1,0,1
imati,3,4,1,1,1,0,1
koristiti,1,2,1,1,1,0,1
postavljati,1,3,2,1,1,0,1
spriječiti,1,3,2,1,1,0,1
voziti,1,3,2,1,1,0,1
pokrenuti,1,7,6,1,1,0,1
omogućiti,1,9,8,1,1,0,1
pomoći,2,15,13,1,1,0,1
imati,4,3,-1,-1,1,0,1
završiti,6,2,4,1,-1,0,1
podupirati,1,22,21,1,1,0,1
objaviti,1,2,-1,-1,-1,0,1
proglasiti,1,3,2,1,1,0,1
prodati,8,8,0,0,1,0,1
imati,7,9,2,1,1,0,1
promijeniti,3,4,1,1,1,0,1
smanjivati,4,4,0,0,1,0,1
provoditi,4,2,-2,-1,1,0,1
povući,2,12,10,1,1,0,1
prodati,2,4,2,1,1,0,1
osigurati,1,5,4,1,1,0,1
osigurati,2,4,2,1,1,0,1
igrati,20,8,-12,-1,1,0,1
pokazati,6,4,-2,-1,1,0,1
prihvatiti,1,5,4,1,1,1,1
započinjati,1,5,4,1,1,0,1
nastaviti,4,3,-1,-1,1,0,1
ponuditi,3,12,9,1,1,0,1
uložiti,2,4,2,1,1,0,1
usmjeravati,1,4,3,1,1,1,1
pokrivati,6,4,-2,-1,1,0,1
imati,5,9,4,1,1,0,1
započinjati,3,4,1,1,1,0,1
pozvati,2,10,8,1,1,0,1
prisiliti,2,4,2,1,1,0,1
osvojiti,2,5,3,1,1,0,1
registrirati,5,5,0,0,1,0,1
nuditi,4,5,1,1,1,0,1
prodati,2,2,0,0,1,0,1
kupiti,1,2,1,1,1,1,1
pozvati,1,11,10,1,1,0,1
pomoći,1,4,3,1,1,0,1
provesti,1,4,3,1,1,0,1
kazati,6,2,-4,-1,1,0,1
trpjeti,1,11,10,1,1,0,1
podignuti,1,18,17,1,1,0,1
činiti,6,5,-1,-1,1,0,1
potpisati,1,9,8,1,1,0,1
predati,6,3,-3,-1,1,0,1
nadati,7,3,-4,-1,1,0,1
nadati,3,7,4,1,1,0,1
završiti,4,3,-1,-1,1,0,1
spriječiti,2,4,2,1,1,0,1
dodijeliti,1,6,5,1,1,0,1
osvojiti,3,19,16,1,1,0,1
osvojiti,3,6,3,1,1,0,1
osvojiti,2,4,2,1,1,0,1
osvojiti,2,4,2,1,1,0,1
darovati,2,12,10,1,1,0,1
osvojiti,3,11,8,1,1,0,1
osvojiti,10,10,0,0,1,0,1
predstavljati,2,5,3,1,1,0,1
omogućivati,1,5,4,1,1,0,1
potpisati,2,5,3,1,1,0,1
imati,2,2,0,0,1,0,1
omogućivati,1,3,2,1,1,0,1
koristiti,2,9,7,1,1,0,1
preuzeti,1,2,1,1,1,0,1
započeti,3,4,1,1,1,0,1
otvoriti,5,7,2,1,1,0,1
dovoditi,5,2,3,1,-1,0,1
postaviti,2,3,1,1,1,0,1
preuzeti,4,2,-2,-1,1,0,1
vidjeti,5,12,7,1,1,0,1
izdati,2,3,1,1,1,0,1
izdati,6,3,-3,-1,1,0,1
uključivati,18,3,-15,-1,1,0,1
organizirati,2,10,8,1,1,0,1
