Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
obnoviti,,Acc,raspravu,u Makedoniji,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ispunjavati,,Acc,obveze,prema vjerovnicima,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
koristiti,,Acc,iste metode,u provođenju zakona prema svim medijima,2,6,-4,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
prisvojiti,,Gen,"17,5 milijuna eura",kroz prijevare kao što je izdavanje računa s lažnim sadržajem,3,10,-7,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imati,,Acc,svoj epilog,na međunarodnim sudovima,2,3,-1,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dobiti,,Acc,novčanu potporu,iz inozemstva,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
podnijeti,,Acc,ostavku,u svojoj stranci,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
podnositi,,Acc,ostavku,na sve funkcije u stranci,1,5,-4,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
preuzimati,,Acc,funkciju,nakon tijesnog glasovanja prošlog tjedna,1,5,-4,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
reći,,Dat,parlamentu,u ponedjeljak,1,2,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imati,,Acc,većinu glasova,u parlamentu,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ustrojiti,,Acc,socijalističku frakciju,u parlamentu,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imati,,Acc,veliki televizor,u dvorani,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
očekivati,,Acc,turbulentno razdoblje u regiji,nakon proglašenja neovisnosti Kosova,4,4,0,3,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
generirati,,Acc,nestabilnost,diljem samog Kosova,1,3,-2,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
graditi,,Acc,jednako dobre odnose,s Beogradom i s Prištinom,3,5,-2,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dobiti,,Acc,poziv,na samitu u Bukureštu,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
