Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
podupirati,1,2,1,1,1,-1,1
ukazivati,1,2,1,1,1,-1,1
sastati,1,2,-1,-1,-1,1,1
sastati,1,2,-1,-1,-1,1,1
zabilježiti,1,4,3,1,1,0,1
moći,2,2,0,0,1,0,1
pozivati,1,2,1,1,1,-1,1
dokazivati,1,2,-1,-1,-1,0,1
zauzeti,2,5,3,1,1,0,1
posjetiti,1,5,4,1,1,0,1
zamijeniti,9,5,4,1,-1,0,1
značiti,1,3,-2,-1,-1,1,1
preuzeti,1,3,-2,-1,-1,0,1
imati,4,4,0,0,1,0,1
nalaziti,1,2,1,1,1,-1,1
moći,1,4,-3,-1,-1,1,1
okupljati,1,2,1,1,1,-1,1
razlikovati,1,5,-4,-1,-1,1,1
ustvrditi,1,2,1,1,1,1,1
pojaviti,1,4,-3,-1,-1,1,1
spremati,2,2,0,0,-1,1,1
sviđati,1,2,-1,-1,-1,1,1
propagirati,1,3,2,1,1,-1,1
temeljiti,1,2,1,1,1,-1,1
sastojati,1,2,1,1,1,-1,1
nalaziti,1,2,1,1,1,-1,1
eliminirati,2,4,2,1,1,0,1
aktivirati,1,4,3,1,1,0,1
izbaciti,1,3,-2,-1,-1,1,1
stajati,1,5,-4,-1,-1,0,1
morati,1,3,2,1,1,0,1
uvući,2,2,0,0,1,0,1
trebati,1,3,2,1,1,0,1
zastupati,1,12,11,1,1,0,1
pojavljivati,1,4,-3,-1,-1,1,1
širiti,1,2,1,1,1,0,1
proširiti,1,2,-1,-1,-1,1,1
imati,2,2,0,0,1,1,1
nalaziti,1,3,2,1,1,-1,1
trebati,1,2,1,1,1,0,1
odnositi,1,2,-1,-1,-1,1,1
slagati,1,2,1,1,1,-1,1
pogoditi,3,19,16,1,1,0,1
davati,1,4,3,1,1,0,1
odlučiti,1,5,-4,-1,-1,1,1
nositi,2,2,0,0,-1,0,1
smanjiti,1,3,-2,-1,-1,1,1
družiti,1,2,1,1,1,-1,1
demonstrirati,4,3,1,1,-1,0,1
služiti,1,2,-1,-1,-1,1,1
imati,7,2,5,1,-1,0,1
protiviti,1,2,1,1,1,0,1
povesti,1,2,-1,-1,-1,1,1
smjestiti,1,2,-1,-1,-1,1,1
iskoristiti,4,2,2,1,-1,0,1
ostajati,3,8,5,1,1,0,1
zabilježiti,5,12,7,1,1,0,1
odnositi,1,2,1,1,1,0,1
događati,1,2,-1,-1,-1,1,0
opisati,1,3,2,1,1,0,0
pritisnuti,1,5,-4,-1,-1,0,0
uvriježiti,1,2,-1,-1,-1,1,0
dogoditi,1,2,1,1,1,-1,0
trebati,1,2,-1,-1,-1,1,0
značiti,1,2,1,1,1,0,0
pridružiti,1,5,-4,-1,-1,1,0
nadati,1,3,2,1,1,-1,0
susretati,1,3,2,1,1,-1,0
sprečavati,1,2,-1,-1,-1,1,0
rađati,1,2,-1,-1,-1,0,0
govoriti,1,2,1,1,1,-1,0
prijaviti,1,2,-1,-1,-1,1,0
objašnjavati,2,2,0,0,1,0,0
imati,1,4,-3,-1,-1,0,0
davati,2,8,-6,-1,-1,0,0
preporučivati,2,3,-1,-1,-1,0,0
posjeti,1,2,1,1,1,0,0
morati,2,4,-2,-1,-1,0,0
pružiti,1,5,4,1,1,0,0
održati,1,10,-9,-1,-1,0,0
upoznati,2,2,0,0,-1,0,0
tjerati,1,2,-1,-1,-1,0,0
kreirati,1,3,2,1,1,-1,0
nositi,1,2,1,1,1,0,0
poreknuti,2,3,-1,-1,-1,0,0
iskazati,1,5,4,1,1,-1,0
pridonijeti,2,2,0,0,-1,-1,0
čekati,1,2,-1,-1,-1,1,0
držati,1,2,1,1,1,0,0
brigati,1,3,-2,-1,-1,1,0
imati,1,2,1,1,1,0,0
uzeti,1,2,-1,-1,-1,1,0
raditi,3,2,1,1,-1,1,0
čekati,1,2,-1,-1,-1,0,0
prihvaćati,1,2,1,1,1,0,0
nemati,7,8,-1,-1,-1,0,0
okupiti,1,2,-1,-1,-1,1,0
upisati,1,2,-1,-1,-1,1,0
pozivati,1,3,2,1,1,-1,0
pridružiti,1,14,-13,-1,-1,0,0
sjuriti,1,2,-1,-1,-1,1,0
razilaziti,1,5,4,1,1,-1,0
značiti,1,2,1,1,1,0,0
akumulirati,1,3,2,1,1,-1,0
ujediniti,1,3,2,1,1,-1,0
vraćati,1,2,1,1,1,-1,0
osjećati,1,2,-1,-1,-1,1,0
održati,1,6,5,1,1,-1,0
referirati,1,2,-1,-1,-1,1,0
brinuti,2,3,1,1,1,0,0
predstavljati,2,4,-2,-1,-1,0,0
pripadati,1,5,4,1,1,-1,0
usmjeriti,2,6,-4,-1,-1,0,0
priznati,3,4,1,1,1,0,0
