Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
podupirati,,Acc,ga,Zbog toga,1,2,-1,3,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
ukazivati,,Acc,se,Pred regijom,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
sastati,,Acc,se,u ponedjeljak,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
sastati,,Acc,se,tijekom vikenda,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
zabilježiti,,Acc,pobjedu,u istom su sportu,1,4,-3,1,2,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
moći,,Dat,pobjedniku izbora,u suprotnom,2,2,0,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
pozivati,,Acc,vas,S poštovanjem,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
dokazivati,,Acc,koju,među ostalim,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
zauzeti,,Acc,drugo mjesto,u prvom tromjesečju 2007. godine,2,5,-3,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
posjetiti,,Acc,BiH,Nakon posjeta Davutoglua u listopadu,1,5,-4,2,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zamijeniti,,Acc,takozvanu će piramidu službeno Međunarodni kulturni centar u Tirani,za 100. obljetnicu neovisnosti Albanije,9,5,4,14,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
značiti,,Acc,Što,za gospodarski razvitak,1,3,-2,4,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
preuzeti,,Acc,vlast,u balkanskoj zemlji,1,3,-2,4,1,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
imati,,Acc,izglede za ta mjesta,Prema najnovijim ispitivanjima javnosti,4,4,0,4,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
nalaziti,,Acc,se,na kojoj,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
moći,,Dat,mu,ni na koji način,1,4,-3,6,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
okupljati,,Acc,se,na kojoj,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
razlikovati,,Acc,se,od tradicionalnih USB Flash memorija,1,5,-4,6,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
ustvrditi,,Acc,to,s čime,1,2,-1,3,4,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
pojaviti,,Acc,se,u moru raznih web-aplikacija,1,4,-3,5,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
spremati,,Acc,Što god,u budućnosti,2,2,0,5,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
sviđati,,Acc,se,kod CoH-a,1,2,-1,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
propagirati,,Acc,se,Na taj način,1,3,-2,8,9,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
temeljiti,,Acc,se,na kojima,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
sastojati,,Acc,se,u stupcu,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
nalaziti,,Acc,se,Iznad svega,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
eliminirati,,Acc,poznatog nametnika,U većini će slučajeva,2,4,-2,2,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
aktivirati,,Acc,skeniranje,osim iz glavnog sučelja,1,4,-3,3,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
izbaciti,,Acc,nas,zbog nekog Španjolca,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
stajati,,Dat,kojoj,na pločici s lijeve strane,1,5,-4,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
morati,,Acc,programe,Nakon završetka instalacije,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
uvući,,Dat,čitavoj redakciji,na koncu,2,2,0,1,3,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
trebati,,Acc,ulje,između propisanih intervala,1,3,-2,4,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zastupati,,Acc,vozače,prilikom izrade državnog proračuna za sljedeću godinu kao i kod njegovih rebalansa,1,12,-11,6,19,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
pojavljivati,,Acc,se,s vremena na vrijeme,1,4,-3,5,3,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
širiti,,Acc,se,iz njih,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
proširiti,,Acc,se,iz Kine,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
imati,,Acc,velik utjecaj,u njima,2,2,0,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
nalaziti,,Acc,se,Na toj ruti,1,3,-2,4,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
trebati,,Acc,se,u njemu,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
odnositi,,Acc,se,prije svega,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
slagati,,Acc,se,u tomu,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
pogoditi,,Acc,Rumunjsku i Bugarsku,Pored svih nedaća koje stariji članovi društva osjećaju u tranzicijskim zemljama poput niskih mirovina i sve skupljeg zdravstvenog sustava,3,19,-16,4,23,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
davati,,Acc,podršku,u njegovom izbornom spotu,1,4,-3,1,2,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
odlučiti,,Acc,se,na ovakvu pomalo neobičnu kampanju,1,5,-4,6,1,indefinite,definite,pronominal,nonpronomial,preposition,shifted,preverbal
nositi,,Acc,isti broj,na dresu,2,2,0,3,1,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
smanjiti,,Acc,se,u ponedjeljak ujutro,1,3,-2,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
družiti,,Acc,se,s kojima,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
demonstrirati,,Acc,Svoje vještine i znanje,prema vlastitom priznanju,4,3,1,8,2,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,preverbal
služiti,,Acc,se,u Njemačkoj,1,2,-1,6,4,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
