Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
uvádět,6,4,2,1,-1,0,1
odvrátit,2,3,-1,-1,-1,0,1
mít,7,2,5,1,-1,1,1
užít,19,2,17,1,-1,0,1
překážet,3,2,1,1,-1,0,1
vyhazovat,1,2,1,1,1,0,1
vyhazovat,1,2,1,1,1,0,1
zadržet,2,3,-1,-1,-1,0,1
vyřadit,1,2,1,1,1,0,1
chránit,1,2,-1,-1,-1,0,1
užívat,4,2,2,1,-1,0,1
udržovat,1,4,3,1,1,0,1
užívat,3,2,1,1,-1,0,1
užívat,3,2,1,1,-1,0,1
upravovat,17,13,-4,-1,1,0,1
užít,9,2,7,1,-1,0,1
používat,8,13,-5,-1,-1,0,1
zavádět,12,6,-6,-1,1,0,1
odevzdat,5,6,1,1,1,0,1
udržovat,4,3,-1,-1,1,0,1
provádět,9,5,-4,-1,1,0,1
zřizovat,4,2,-2,-1,1,0,1
provádět,8,6,-2,-1,1,0,1
provést,5,6,1,1,1,0,1
provádět,5,3,2,1,-1,0,1
zajišťovat,20,3,17,1,-1,0,1
uhradit,3,5,2,1,1,0,1
zajišťovat,3,3,0,0,1,0,1
mít,1,2,1,1,1,0,1
mít,1,2,1,1,1,0,1
ukládat,4,2,2,1,-1,1,1
odhazovat,1,2,-1,-1,-1,1,1
vyklepávat,2,2,0,0,-1,1,1
udržovat,6,4,-2,-1,1,0,1
zajistit,3,8,5,1,1,0,1
uvést,1,3,2,1,1,1,1
umístit,45,4,41,1,-1,0,1
umístit,26,3,23,1,-1,0,1
odevzdat,8,2,-6,-1,1,0,1
zamezit,5,3,-2,-1,1,0,1
stanovit,1,5,4,1,1,0,1
odevzdat,1,2,-1,-1,-1,0,1
zaručovat,2,5,3,1,1,0,1
sjednat,2,7,5,1,1,0,1
vyplnit,5,4,1,1,-1,0,1
předložit,3,7,4,1,1,0,1
moci,2,24,22,1,1,0,1
konat,1,3,2,1,1,0,1
konat,2,3,1,1,1,0,1
mít,19,2,17,1,-1,0,1
znamenat,2,2,0,0,-1,0,1
uzavřít,7,20,13,1,1,0,1
udělit,7,108,101,1,1,0,1
odpovídat,8,12,4,1,1,0,1
převyšovat,2,3,-1,-1,-1,0,1
konat,1,5,4,1,1,0,1
přerušit,4,12,8,1,1,0,1
nastoupit,1,2,1,1,1,0,1
zařadit,1,6,5,1,1,1,1
zařadit,1,5,4,1,1,1,1
vzniknout,5,10,5,1,1,0,1
mít,1,5,4,1,1,0,1
změnit,1,9,8,1,1,0,1
sjednat,2,6,4,1,1,0,1
vykonávat,3,5,2,1,1,0,1
pobírat,2,3,1,1,1,0,1
moci,14,13,-1,-1,1,0,1
uzavřít,6,4,2,1,-1,0,1
odpracovat,5,3,2,1,-1,0,1
odpracovat,3,3,0,0,-1,0,1
dostat,2,4,2,1,1,0,1
odpracovat,4,3,-1,-1,1,0,1
posoudit,4,6,2,1,1,0,1
odpovídat,3,4,1,1,1,0,1
potvrzovat,2,9,7,1,1,0,1
vyplnit,1,3,2,1,1,0,1
projednat,1,3,2,1,1,0,1
zasílat,1,3,-2,-1,-1,0,1
předvolat,6,4,-2,-1,1,0,1
vyhodnotit,12,3,9,1,-1,0,1
zpracovávat,10,3,-7,-1,1,0,1
předvolat,5,3,2,1,-1,0,1
zpřesňovat,5,5,0,0,1,0,1
organizovat,4,3,-1,-1,1,0,1
docílit,2,5,3,1,1,0,1
provádět,4,4,0,0,1,0,1
upevňovat,9,2,7,1,-1,0,1
zajistit,4,5,1,1,1,0,1
umožnit,6,6,0,0,-1,0,1
rozšířit,5,8,3,1,1,0,1
zavést,7,4,3,1,-1,0,1
dosáhnout,3,3,0,0,-1,0,1
rozvázat,2,3,1,1,1,0,1
skončit,2,3,-1,-1,-1,0,1
zameškat,1,7,6,1,1,0,1
obdržet,7,3,4,1,-1,0,1
ukládat,26,8,18,1,-1,0,1
podat,6,3,3,1,-1,0,1
vydat,2,27,25,1,1,0,1
termínovat,11,12,1,1,1,0,1
zajistit,5,5,0,0,1,0,1
dodávat,4,4,0,0,-1,0,1
pomáhat,2,2,0,0,1,0,1
převést,28,5,23,1,-1,0,1
přijmout,25,7,18,1,-1,0,1
kontrolovat,10,3,7,1,-1,0,1
usměrnit,3,12,9,1,1,0,1
vytvořit,4,5,-1,-1,-1,0,1
předložit,15,5,10,1,-1,0,1
udržovat,6,5,-1,-1,1,0,1
vyslat,3,3,0,0,-1,0,1
ustavit,4,9,-5,-1,-1,0,1
obdržet,19,3,16,1,-1,0,1
konkretizovat,2,6,4,1,1,0,1
vypracovat,19,8,-11,-1,1,0,1
učinit,36,5,31,1,-1,0,1
představovat,2,13,11,1,1,0,1
poskytovat,3,3,0,0,-1,0,1
posílat,13,2,11,1,-1,0,1
nakoupit,6,3,3,1,-1,0,1
oznámit,2,2,0,0,-1,0,1
stanovit,3,3,0,0,1,0,1
plnit,2,9,7,1,1,0,1
zařadit,1,6,5,1,1,1,1
zařadit,1,10,9,1,1,1,1
splnit,7,2,5,1,-1,0,1
dosáhnout,2,4,2,1,1,0,1
vypůjčit,1,4,3,1,1,0,1
přát,17,3,14,1,-1,0,1
přijímat,17,2,15,1,-1,0,1
posílat,2,2,0,0,-1,0,1
zahrnout,4,2,2,1,-1,1,1
splnit,11,2,9,1,-1,0,1
vracet,3,2,1,1,-1,0,1
vracet,14,2,12,1,-1,0,1
nabídnout,8,3,5,1,-1,0,1
dodat,7,2,5,1,-1,0,1
odeslat,3,3,0,0,-1,0,1
uhrazovat,2,3,1,1,1,0,1
ponechat,11,2,9,1,-1,0,1
převzít,2,2,0,0,1,0,1
poslat,2,3,-1,-1,-1,0,1
zajistit,5,3,2,1,-1,0,1
zúčastnit,1,3,2,1,1,0,1
pozvat,2,4,2,1,1,0,1
najít,8,4,4,1,-1,0,1
vypracovat,3,11,8,1,1,0,1
srovnat,1,4,3,1,1,0,1
zajistit,3,3,0,0,-1,0,1
předat,6,3,3,1,-1,0,1
vyřešit,2,3,1,1,1,0,1
připravit,5,3,2,1,-1,0,1
objednat,3,3,0,0,-1,0,1
zajistit,9,19,10,1,1,0,1
zajistit,4,6,2,1,1,0,1
zajistit,10,7,3,1,-1,0,1
projednat,7,3,4,1,-1,0,1
prověřit,13,3,10,1,-1,0,1
podat,11,4,7,1,-1,0,1
odstranit,1,5,4,1,1,0,1
evidovat,3,4,1,1,1,0,1
obdržet,4,8,-4,-1,-1,0,1
odevzdat,1,3,2,1,1,1,1
předávat,1,6,-5,-1,-1,0,1
zajistit,4,3,-1,-1,1,0,1
přesahovat,3,3,0,0,1,0,1
mít,2,2,0,0,-1,1,1
přivést,2,2,0,0,-1,0,1
mít,2,3,1,1,1,0,1
předávat,1,2,1,1,1,0,1
zabezpečit,1,5,4,1,1,1,1
vypínat,3,3,0,0,-1,0,1
používat,4,8,4,1,1,0,1
uložit,1,7,6,1,1,1,1
mít,9,2,7,1,-1,0,1
ovládat,1,3,2,1,1,0,1
zastavit,1,5,4,1,1,0,1
vložit,4,2,2,1,-1,0,1
mít,1,3,2,1,1,0,1
brát,2,2,0,0,-1,0,1
postavit,4,2,-2,-1,1,0,1
zasunout,2,4,2,1,1,0,1
navlhčit,1,3,2,1,1,0,1
vytřít,1,2,1,1,1,1,1
zasílat,3,8,5,1,1,0,1
zavádět,4,3,1,1,-1,0,1
uvádět,4,7,-3,-1,-1,0,1
uvádět,2,10,-8,-1,-1,0,1
poskytovat,2,25,23,1,1,0,1
vyčlenit,1,5,-4,-1,-1,0,1
stanovit,8,3,5,1,-1,0,1
převzít,2,3,1,1,1,0,1
poskytovat,6,3,3,1,-1,0,1
stanovit,6,6,0,0,-1,0,1
rozdělit,2,4,2,1,1,0,1
předložit,5,2,-3,-1,1,0,1
připravovat,8,5,3,1,-1,0,1
začlenit,11,6,5,1,-1,0,1
odevzdat,9,3,6,1,-1,0,1
zvýšit,6,4,2,1,-1,0,1
přitahovat,5,2,3,1,-1,1,1
vést,1,5,4,1,1,0,1
ponechat,1,4,3,1,1,0,1
ukončit,13,3,10,1,-1,0,1
přednést,5,12,7,1,1,0,1
vnést,6,2,4,1,-1,1,1
zahrnout,6,5,-1,-1,1,0,1
zabývat,3,3,0,0,1,0,1
zdůraznit,8,16,8,1,1,0,1
zúčastnit,3,6,3,1,1,0,1
natočit,13,3,10,1,-1,0,1
propůjčit,3,12,9,1,1,0,1
přiložit,1,2,1,1,1,0,1
přiložit,1,3,2,1,1,0,1
soustředit,5,18,13,1,1,0,1
zaručit,5,3,2,1,-1,0,1
dát,5,2,3,1,-1,0,1
zůstávat,1,2,1,1,1,0,1
prosadit,5,2,3,1,-1,0,1
hostit,2,3,-1,-1,-1,0,1
dostat,1,2,1,1,1,1,1
nechat,1,5,4,1,1,1,1
mít,8,2,6,1,-1,0,1
pozvednout,3,3,0,0,1,0,1
přiložit,1,2,1,1,1,0,1
přepočítat,3,2,1,1,-1,0,1
mít,4,3,1,1,-1,0,1
tahat,1,2,1,1,1,0,1
předložit,1,3,2,1,1,0,1
mít,2,2,0,0,-1,0,1
mít,3,2,-1,-1,1,0,1
propracovat,8,7,1,1,-1,0,1
používat,1,5,4,1,1,0,1
vytavit,2,9,7,1,1,0,1
vítat,2,5,3,1,1,0,1
překročit,3,3,0,0,1,0,1
účtovat,2,7,-5,-1,-1,0,1
odhalit,14,17,3,1,1,0,1
uplatnit,3,4,1,1,1,0,1
dojednávat,2,21,19,1,1,0,1
zobecnit,3,6,3,1,1,0,1
uvádět,1,2,1,1,1,1,1
dovést,1,7,6,1,1,0,1
ukazovat,28,2,26,1,-1,0,1
sloužit,2,8,6,1,1,0,1
snížit,2,3,1,1,1,0,1
ušetřit,2,3,-1,-1,-1,0,1
mít,3,9,-6,-1,-1,0,1
zaměřovat,2,4,2,1,1,0,1
připravit,12,4,8,1,-1,0,1
prospět,4,4,0,0,1,0,1
mít,2,2,0,0,-1,1,1
převzít,4,2,-2,-1,1,0,1
dostat,2,2,0,0,1,0,1
zůstat,2,3,-1,-1,-1,0,1
ohrožovat,1,7,6,1,1,0,1
naplnit,4,3,1,1,-1,0,1
dosáhnout,3,3,0,0,-1,0,1
mít,10,2,8,1,-1,0,1
zostřit,1,8,7,1,1,0,1
mít,2,2,0,0,-1,0,1
mít,1,2,1,1,1,0,1
uplatňovat,2,3,1,1,1,0,1
povzbuzovat,5,2,3,1,-1,0,1
psát,1,2,1,1,1,0,1
užívat,2,2,0,0,-1,0,1
převracet,1,4,3,1,1,0,1
číst,1,5,4,1,1,0,1
užívat,1,3,2,1,1,1,1
udržet,3,3,0,0,1,0,1
stát,3,3,0,0,-1,0,1
mít,15,2,13,1,-1,0,1
slyšet,6,3,3,1,-1,0,1
spolknout,2,4,2,1,1,0,1
mít,2,3,1,1,1,0,1
doznat,2,3,-1,-1,-1,0,1
napsat,11,3,8,1,-1,0,1
šířit,5,2,3,1,-1,1,1
chystat,1,3,2,1,1,0,1
dát,1,2,1,1,1,0,1
dát,1,2,1,1,1,0,1
vyřvávat,5,3,2,1,-1,0,1
zaručovat,3,3,0,0,-1,0,1
zdvihat,1,5,4,1,1,0,1
dávat,4,4,0,0,1,0,1
