Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
uvádět,,Acc,změny nebo důvody změn které nastaly,v odstavcích jednotlivých paragrafů,6,4,2,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
odvrátit,,Acc,hrozící nebezpečí,podle svých možností,2,3,-1,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
mít,,Acc,doklady předepsané pro řízení a provoz vozidla,u sebe,7,2,5,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
užít,,Gen,jen vozidla které splňuje stanovené podmínky provozu vozidel na silnicích a jehož náklad odpovídá podmínkám stanoveným pro jeho přepravu,k jízdě,19,2,17,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
překážet,,Dat,rychleji jedoucím vozidlům,v jízdě,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vyhazovat,,Acc,předměty,z vozidla,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vyhazovat,,Acc,předměty,z vozidla,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zadržet,,Acc,řidičský průkaz,do dalšího rozhodnutí,2,3,-1,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vyřadit,,Acc,vozidlo,z provozu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
chránit,,Acc,zrak,za jízdy,1,2,-1,4,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
užívat,,Gen,řádně upevněné ochranné přilby,za jízdy,4,2,2,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
udržovat,,Acc,vozidlo,v řádném technickém stavu,1,4,-3,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
užívat,,Gen,kteréhokoliv jízdního pruhu,k jízdě,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
užívat,,Gen,kteréhokoliv jízdního pruhu,k jízdě,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
upravovat,,Acc,jízdu na silnicích s vozovkou o dvou nebo více jízdních pruzích v jednom směru jízdy mimo obec,bez ohledu na to zda jsou jízdní pruhy na vozovce vyznačeny či nevyznačeny,17,13,4,1,21,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
užít,,Gen,výhradně dvou jízdních pruhů nejbližších k pravému okraji vozovky,k jízdě,9,2,7,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
používat,,Gen,výhradně dvou pruhů nejbližších k pravému okraji vozovky,na silnicích s vozovkou o třech nebo více jízdních pruzích vyznačených na vozovce,8,13,-5,16,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
zavádět,,Acc,zvláštní jízdní pruhy vyhrazené pro autobusy nebo trolejbusy městské hromadné přepravy osob,s cílem zvýhodnit tento druh dopravy,12,6,6,3,14,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
odevzdat,,Acc,byt jeho příslušenství a vybavení,ve stavu způsobilém k řádnému užívání,5,6,-1,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
udržovat,,Acc,dům a společná zařízení,v dobrém stavu,4,3,1,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
provádět,,Acc,stavební úpravy bytu nebo jiné podstatné úpravy v bytě,bez předchozího souhlasu správy domu,9,5,4,2,12,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zřizovat,,Acc,rozhlasové a televizní antény,na střechách,4,2,2,4,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
