Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
udržovat,1,3,2,1,1,-1,1
odstranit,1,5,4,1,1,0,1
převzít,1,2,1,1,1,-1,1
vynášet,1,6,-5,-1,-1,0,1
užívat,3,2,1,1,-1,0,1
uklidit,1,3,2,1,1,-1,1
přijímat,1,3,-2,-1,-1,0,1
splnit,2,3,-1,-1,-1,0,1
příslušet,1,2,1,1,1,-1,1
náležet,2,2,0,0,1,0,1
zajišťovat,3,3,0,0,-1,0,1
ukázat,2,3,1,1,1,0,1
promítnout,2,3,-1,-1,-1,0,1
zajišťovat,2,2,0,0,-1,0,1
realizovat,1,3,-2,-1,-1,1,1
nastupovat,2,2,0,0,1,1,1
připravit,2,4,-2,-1,-1,0,1
vyrovnat,4,3,1,1,-1,0,1
evidovat,11,3,-8,-1,1,0,1
zaslat,2,3,1,1,1,0,1
pořizovat,1,4,3,1,1,-1,1
vyjmout,1,2,1,1,1,-1,1
zapínat,1,4,-3,-1,-1,0,1
třídit,1,3,2,1,1,0,1
vyslat,1,2,1,1,1,-1,1
opakovat,1,2,1,1,1,-1,1
pronést,1,4,-3,-1,-1,0,1
odpuzovat,1,2,-1,-1,-1,0,1
trpět,2,2,0,0,-1,0,1
usilovat,2,3,-1,-1,-1,1,1
sekundovat,1,2,-1,-1,-1,1,1
vyhánět,4,2,2,1,-1,0,1
vrátit,1,5,4,1,1,-1,1
informovat,1,3,-2,-1,-1,1,1
vyřešit,1,2,-1,-1,-1,0,1
odstranit,1,3,2,1,1,0,1
zlepšit,1,3,2,1,1,0,1
potáhnout,3,2,-1,-1,1,1,1
investovat,1,3,-2,-1,-1,1,1
obracet,2,5,-3,-1,-1,0,1
vyhlásit,5,3,2,1,-1,0,1
najít,2,3,1,1,1,0,1
uchovat,1,2,-1,-1,-1,1,1
znamenat,1,2,-1,-1,-1,1,1
zanechat,1,2,-1,-1,-1,-1,1
padnout,1,3,2,1,1,-1,1
dosáhnout,1,3,-2,-1,-1,0,1
reprezentovat,1,2,-1,-1,-1,1,1
vozit,1,2,1,1,1,1,1
narůst,1,3,-2,-1,-1,1,1
realizovat,1,3,-2,-1,-1,0,1
budovat,2,5,-3,-1,-1,0,1
vyžadovat,1,3,-2,-1,-1,0,1
odlidšťovat,1,2,1,1,1,0,1
dosáhnout,7,2,-5,-1,1,1,1
opravovat,1,4,3,1,1,-1,1
uvítat,2,2,0,0,-1,0,1
uvítat,1,3,2,1,1,-1,1
hrát,1,2,1,1,1,1,1
dodržovat,2,3,-1,-1,-1,0,1
řídit,1,3,-2,-1,-1,0,1
hrát,2,2,0,0,-1,0,1
mít,3,2,-1,-1,1,1,1
otevřít,1,3,-2,-1,-1,1,1
myslit,1,4,-3,-1,-1,0,1
nabít,2,7,5,1,1,0,1
rozeznat,1,6,5,1,1,-1,1
schválit,1,4,-3,-1,-1,0,1
zapůjčovat,1,2,-1,-1,-1,1,1
uplatnit,1,3,-2,-1,-1,0,1
hodit,1,2,-1,-1,-1,1,1
přijmout,1,3,-2,-1,-1,1,1
školit,1,5,-4,-1,-1,0,1
pozvat,1,2,1,1,1,-1,1
zhodnotit,1,3,-2,-1,-1,0,1
seznámit,1,3,-2,-1,-1,1,1
zabezpečovat,2,4,-2,-1,-1,0,1
posuzovat,1,2,1,1,1,-1,1
pomáhat,1,3,2,1,1,-1,1
pořádat,1,4,-3,-1,-1,0,1
dojít,1,3,2,1,1,-1,1
doplňovat,3,2,1,1,-1,0,1
stačit,1,2,-1,-1,-1,1,1
činit,1,4,-3,-1,-1,1,1
objevit,2,5,3,1,1,0,1
určovat,1,2,-1,-1,-1,1,1
odsouhlasit,11,3,8,1,-1,0,1
dovršit,3,7,4,1,1,0,1
smát,1,2,-1,-1,-1,1,1
rozumět,1,3,2,1,1,-1,1
vzít,1,2,-1,-1,-1,0,1
zkoušet,1,3,2,1,1,0,1
vychutnat,1,2,-1,-1,-1,0,1
patřit,3,3,0,0,-1,0,1
