Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
sætte,1,3,2,1,1,-1,1
dreje,1,3,2,1,1,1,1
ligne,3,2,1,1,-1,0,1
se,2,9,7,1,1,1,1
stå,2,3,1,1,1,0,1
få,3,2,-1,-1,1,0,1
sætte,2,2,0,0,1,1,1
modtage,1,2,1,1,1,0,1
fastholde,2,4,2,1,1,0,1
anbefale,9,3,6,1,-1,0,1
føre,1,2,1,1,1,0,1
tage,1,4,3,1,1,0,1
have,1,3,2,1,1,0,1
have,3,2,-1,-1,1,0,1
gifte,1,4,3,1,1,1,1
forlade,1,6,5,1,1,0,1
glæde,1,25,24,1,1,1,1
ofre,2,2,0,0,1,0,1
få,2,6,-4,-1,-1,0,1
forkorte,1,16,15,1,1,1,1
få,2,12,10,1,1,0,1
lægge,1,2,1,1,1,0,1
give,2,2,0,0,1,0,1
betale,1,4,3,1,1,1,1
have,3,2,-1,-1,1,0,1
minde,1,21,20,1,1,0,1
tage,2,2,0,0,1,-1,1
genoptrykke,1,3,2,1,1,1,1
elske,2,12,10,1,1,0,1
kæmpe,1,2,1,1,1,1,1
identificere,3,4,1,1,1,0,1
udlægge,2,4,2,1,1,0,1
kriminalisere,5,2,-3,-1,1,0,1
snige,1,2,1,1,1,1,1
lave,20,2,18,1,-1,0,1
fortælle,5,2,-3,-1,1,0,1
skabe,2,2,0,0,1,0,1
være,4,12,8,1,1,0,1
kaste,4,7,3,1,1,0,1
have,11,3,8,1,-1,0,1
udstøde,2,2,0,0,1,0,1
bære,3,2,-1,-1,1,0,1
betyde,1,3,2,1,1,0,1
blande,4,4,0,0,1,0,1
udråbe,3,4,1,1,1,0,1
få,2,2,0,0,1,0,1
skifte,1,3,2,1,1,0,1
få,3,2,-1,-1,1,-1,1
forsvare,1,2,1,1,1,1,1
være,1,2,1,1,1,0,1
åbne,1,2,1,1,1,0,1
få,3,3,0,0,1,0,1
rette,3,9,6,1,1,0,1
være,3,2,-1,-1,1,0,1
suge,2,2,0,0,1,0,1
anke,1,3,2,1,1,0,1
indbyde,3,12,9,1,1,0,1
slå,1,2,1,1,1,0,1
vente,3,2,-1,-1,1,-1,1
ødelægge,1,2,1,1,1,0,1
vise,8,6,-2,-1,1,0,1
anerkende,1,7,6,1,1,0,1
være,2,4,2,1,1,0,1
lægge,5,2,-3,-1,1,0,1
bevilge,1,2,1,1,1,0,1
have,1,2,1,1,1,0,1
hente,1,4,3,1,1,0,1
videregive,2,14,12,1,1,0,1
få,8,2,6,1,-1,0,1
fortjene,1,3,2,1,1,0,1
tænde,1,3,2,1,1,0,1
sætte,2,2,0,0,1,0,1
foretage,7,8,1,1,1,0,1
være,2,5,3,1,1,0,1
holde,1,11,10,1,1,1,1
leve,3,9,6,1,1,0,1
møde,1,5,4,1,1,1,1
fremskynde,6,3,-3,-1,1,0,1
åbne,1,10,9,1,1,0,1
indsprøjte,1,2,1,1,1,0,1
betale,1,2,1,1,1,0,1
synes,11,5,6,1,-1,0,1
male,1,2,1,1,1,0,1
bygge,2,2,0,0,1,0,1
spørge,3,2,-1,-1,1,-1,1
give,1,2,1,1,1,0,1
få,2,6,4,1,1,0,1
købe,2,4,2,1,1,0,1
vise,2,2,0,0,1,0,1
bruge,1,2,1,1,1,0,1
fortælle,2,3,1,1,1,0,1
skrive,5,22,17,1,1,0,1
købe,2,3,1,1,1,0,1
stikke,1,2,1,1,1,-1,1
bede,1,9,8,1,1,0,1
gøre,1,2,1,1,1,0,1
tage,1,4,3,1,1,0,1
få,1,3,2,1,1,0,1
være,2,4,2,1,1,0,1
holde,1,3,2,1,1,1,1
befinde,1,13,12,1,1,1,1
dreje,1,9,8,1,1,1,1
yde,4,6,2,1,1,0,1
drive,1,7,6,1,1,0,1
lægge,1,3,2,1,1,0,1
alliere,1,3,2,1,1,1,1
sige,1,2,1,1,1,-1,1
stille,1,6,5,1,1,0,1
forsvinde,3,4,1,1,1,0,1
få,4,3,-1,-1,1,0,1
lægge,1,2,1,1,1,-1,1
finde,1,6,5,1,1,0,1
sælge,4,2,-2,-1,1,0,1
levere,6,4,-2,-1,1,0,1
have,3,2,-1,-1,1,0,1
give,2,6,4,1,1,0,1
kvæle,2,3,1,1,1,0,1
skabe,5,12,7,1,1,0,1
søge,1,5,4,1,1,0,1
holde,1,4,3,1,1,0,1
indstille,1,14,13,1,1,1,1
skifte,1,20,19,1,1,0,1
have,1,2,1,1,1,0,1
holde,1,7,6,1,1,0,1
have,1,6,5,1,1,0,1
danne,1,29,28,1,1,0,1
tænde,1,21,20,1,1,0,1
finde,4,13,9,1,1,-1,1
oprette,2,3,1,1,1,0,1
trække,1,2,1,1,1,0,1
se,1,3,2,1,1,1,1
møde,14,2,12,1,-1,0,1
elske,2,4,2,1,1,0,1
have,1,4,3,1,1,1,1
anvende,1,15,14,1,1,0,1
hævne,1,11,10,1,1,0,1
kalde,1,2,1,1,1,0,1
lægge,9,2,-7,-1,1,-1,1
spille,6,3,-3,-1,1,0,1
profilere,1,3,2,1,1,1,1
tilbringe,2,4,2,1,1,0,1
drikke,6,3,-3,-1,1,0,1
indsmugle,3,5,2,1,1,0,1
tage,9,3,6,1,-1,0,1
betale,2,5,3,1,1,0,1
gøre,1,2,1,1,1,1,1
levere,1,3,2,1,1,0,1
høre,1,4,3,1,1,1,1
udgøre,3,3,0,0,-1,0,1
holde,1,2,1,1,1,0,1
foregå,3,4,1,1,1,0,1
udstyre,2,2,0,0,1,0,1
servere,2,4,2,1,1,0,1
miste,2,3,1,1,1,0,1
få,1,2,1,1,1,0,1
bevæge,1,8,7,1,1,0,1
opleve,6,4,-2,-1,1,1,1
vække,1,2,1,1,1,0,1
få,5,2,-3,-1,1,0,1
betegne,1,8,7,1,1,0,1
dampe,1,2,1,1,1,0,1
binde,2,3,1,1,1,0,1
skære,6,12,6,1,1,0,1
mærke,1,2,1,1,1,1,1
få,1,5,4,1,1,0,1
hverve,1,4,3,1,1,0,1
vise,1,35,34,1,1,0,1
have,1,12,11,1,1,0,1
bruge,1,2,1,1,1,0,1
sende,3,13,10,1,1,0,1
tage,4,5,1,1,1,0,1
skabe,3,2,-1,-1,1,-1,1
drøfte,1,3,2,1,1,0,1
servere,1,2,1,1,1,0,1
meddele,2,3,1,1,1,0,1
opstå,2,2,0,0,1,0,1
afvikle,1,3,2,1,1,0,1
sætte,3,2,-1,-1,1,0,1
sælge,2,2,0,0,1,0,1
give,8,7,1,1,-1,0,1
eksportere,2,2,0,0,1,0,1
