Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
sætte,,,ild,til sig selv,1,3,-2,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
dreje,,Acc,sig,om 240 hektar,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
ligne,,,afslaget fra Jyllands-Posten,til forveksling,3,2,1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
se,,Acc,sig selv,som en general i en ny-nazistisk kamp mod amerikanerne,2,9,-7,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
stå,,,noget vås,i en film-anmeldelse,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
få,,,alle 227 hestekræfter,i arbejde,3,2,1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
sætte,,Acc,sig selv,på skolebænken,2,2,0,2,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
modtage,,,henvendelser,fra politiet,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
fastholde,,,metallets stoflighed,i det grafiske tryk,2,4,-2,2,6,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
anbefale,,,at de gamle transfer-bestemmelser fra før 9. marts anvendes,på det kraftigste,9,3,6,16,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
føre,,,krigen,på hjemmefronten,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
tage,,,erhvervsarbejde,ved siden af eksamenslæsning,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
have,,,følere,til andre banker,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
have,,,utroligt vanskelige vilkår,i Danmark,3,2,1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
gifte,,Acc,sig,med en aldrende mand,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
forlade,,,Sandbygaard,på en måde som loven tillader,1,6,-5,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
glæde,,Acc,sig,til den religiøse trommedans eller optrinnet over traditionen i Kamphaengphet hvor folk ofrer gule gevandter til munkene den nat i november hvor det er fuldmåne,1,25,-24,1,5,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
ofre,,,gule gevandter,til munkene,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
få,,,Sætternisse Prisen,i forbindelse med sin 70-års fødselsdag,2,6,-4,9,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
forkorte,,Acc,det,til et par i sig selv problematiske idéer om flere folkeafstemninger og højere spærregrænse til folketingsvalgene,1,16,-15,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
få,,,et svar,i økonomichefens fortsatte brug af rent forretningsmæssige argumenter for eksempel om indsamlingsvirksomheden,2,12,-10,4,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lægge,,,rouge,på kinderne,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
