Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
lossen,1,3,-2,-1,-1,-1,1
hebben,2,5,-3,-1,-1,0,1
ontvangen,1,5,4,1,1,1,1
tonen,5,4,1,1,-1,0,1
doen,1,2,1,1,1,0,1
geven,3,2,-1,-1,1,0,1
verslaan,3,2,-1,-1,1,0,1
verdringen,1,4,3,1,1,0,1
behouden,3,9,6,1,1,0,1
spelen,2,7,5,1,1,0,1
hebben,1,21,20,1,1,0,1
betekenen,3,5,-2,-1,-1,0,1
trekken,3,2,1,1,-1,0,1
stellen,2,5,-3,-1,-1,0,1
krijgen,2,36,34,1,1,0,1
bezingen,1,11,10,1,1,0,1
vinden,2,5,3,1,1,0,1
dragen,24,4,20,1,-1,0,1
ontdekken,2,3,-1,-1,-1,0,1
bestrijden,2,3,1,1,1,0,1
doen,1,3,2,1,1,1,1
schetsen,13,2,-11,-1,1,0,1
weten,2,15,-13,-1,-1,0,1
verdienen,7,2,-5,-1,1,0,1
delen,4,7,3,1,1,0,1
voorzien,5,3,2,1,-1,0,1
hervinden,3,2,1,1,-1,0,1
verslaan,1,4,3,1,1,0,1
hebben,8,2,6,1,-1,0,1
houden,1,6,5,1,1,0,1
hebben,4,3,1,1,-1,0,1
vraag,1,10,9,1,1,1,1
spreken,9,14,-5,-1,-1,0,1
stellen,4,5,1,1,1,-1,1
doen,2,9,7,1,1,0,1
maken,2,6,4,1,1,0,1
verwachten,5,3,2,1,-1,0,1
hebben,24,10,14,1,-1,0,1
hebben,2,6,-4,-1,-1,0,1
organiseren,12,5,7,1,-1,0,1
produceren,6,2,-4,-1,1,0,1
veroveren,3,2,1,1,-1,0,1
overmeesteren,2,3,1,1,1,0,1
laten,1,3,2,1,1,1,1
nemen,1,2,1,1,1,0,1
bieden,3,3,0,0,-1,0,1
blesseren,2,8,-6,-1,-1,0,1
schuiven,2,4,2,1,1,0,1
sluiten,2,7,5,1,1,0,1
krijgen,18,4,14,1,-1,0,1
graaien,3,3,0,0,1,0,1
richten,1,6,-5,-1,-1,0,1
krijgen,9,7,2,1,-1,0,1
hebben,2,3,-1,-1,-1,0,1
wijzen,2,3,1,1,1,0,1
brengen,3,4,-1,-1,-1,0,1
doen,2,3,-1,-1,-1,0,1
leveren,1,2,-1,-1,-1,0,1
bevatten,2,7,5,1,1,0,1
publiceren,18,2,16,1,-1,0,1
vormen,19,2,17,1,-1,1,1
brengen,2,6,4,1,1,0,1
overhandigen,2,5,3,1,1,0,1
vormen,7,19,-12,-1,-1,1,1
bieden,2,13,-11,-1,-1,0,1
gebruiken,13,3,10,1,-1,0,1
voegen,4,3,1,1,-1,1,1
krijgen,2,3,1,1,1,0,1
bellen,3,3,0,0,1,0,1
tonen,2,2,0,0,-1,0,1
liggen,4,20,16,1,1,0,1
hebben,15,3,12,1,-1,-1,1
zeggen,3,4,1,1,1,0,1
claimen,3,10,7,1,1,0,1
ruilen,2,3,1,1,1,0,1
doen,1,8,7,1,1,0,1
vormen,2,4,2,1,1,0,1
schrijven,2,4,2,1,1,0,1
eisen,5,4,1,1,-1,0,1
leveren,1,2,-1,-1,-1,0,1
schuwen,7,4,3,1,-1,0,1
leggen,2,3,1,1,1,0,1
smijten,2,3,1,1,1,0,1
verwijderen,3,3,0,0,1,0,1
verwachten,4,14,-10,-1,-1,0,1
behartigen,1,3,-2,-1,-1,0,1
rijden,2,9,7,1,1,0,1
hebben,2,21,19,1,1,0,1
weten,1,2,1,1,1,1,1
krijgen,3,3,0,0,-1,0,1
kloppen,1,2,1,1,1,0,1
presenteren,3,22,19,1,1,0,1
hebben,2,9,7,1,1,0,1
brengen,3,2,1,1,-1,0,1
hebben,2,3,1,1,1,0,1
halen,2,2,0,0,1,0,1
doen,1,10,9,1,1,1,1
breken,2,5,-3,-1,-1,0,1
hielen,2,8,6,1,1,0,1
nemen,4,3,-1,-1,1,0,1
nemen,5,2,3,1,-1,0,1
doen,2,4,-2,-1,-1,0,1
hebben,1,3,2,1,1,1,1
stellen,1,3,2,1,1,0,1
hielen,2,8,6,1,1,0,1
hebben,6,2,4,1,-1,0,1
vinden,6,9,3,1,1,0,1
ontmoeten,1,2,1,1,1,1,1
kopen,2,2,0,0,1,1,1
scheppen,2,3,1,1,1,0,1
garneren,3,3,0,0,-1,0,1
bestrooien,2,3,1,1,1,0,1
kijken,2,4,-2,-1,-1,0,1
verlenen,2,7,5,1,1,0,1
kondigen,5,19,-14,-1,-1,0,1
reiken,2,2,0,0,1,0,1
bereiken,4,3,-1,-1,1,0,1
winnen,2,9,7,1,1,0,1
vellen,2,13,11,1,1,0,1
organiseren,11,4,7,1,-1,0,1
vinden,2,22,20,1,1,0,1
weten,2,2,0,0,1,0,1
krijgen,2,2,0,0,1,-1,1
laten,2,4,-2,-1,-1,0,1
zoeken,1,24,23,1,1,0,1
bouwen,9,2,7,1,-1,0,1
vormen,5,4,1,1,-1,0,1
onderstrepen,7,2,5,1,-1,0,1
verslaan,4,3,1,1,-1,0,1
lijden,3,2,1,1,-1,0,1
winnen,2,2,0,0,1,0,1
doen,2,3,1,1,1,1,1
bieden,10,3,7,1,-1,0,1
brengen,2,13,11,1,1,0,1
ondergaan,2,2,0,0,1,0,1
zien,1,17,-16,-1,-1,0,1
hebben,14,2,12,1,-1,0,1
starten,4,8,-4,-1,-1,0,1
bouwen,13,4,9,1,-1,0,1
doen,2,3,-1,-1,-1,0,1
bespoedigen,2,2,0,0,1,0,1
vinden,13,7,6,1,-1,0,1
houden,3,4,-1,-1,-1,0,1
schrijven,7,5,2,1,-1,0,1
doen,1,5,4,1,1,1,1
richten,2,4,2,1,1,0,1
nemen,3,4,-1,-1,-1,0,1
