Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
storten,2,3,-1,-1,-1,0,1
hebben,2,3,-1,-1,-1,0,1
wegzuigen,1,3,-2,-1,-1,0,1
behandelen,2,3,-1,-1,-1,0,1
tonen,1,4,-3,-1,-1,1,1
produceren,8,8,0,0,1,0,1
beschermen,1,15,-14,-1,-1,1,1
zenden,4,3,-1,-1,1,0,1
zenden,2,5,3,1,1,0,1
houden,2,3,-1,-1,-1,0,1
maken,1,4,-3,-1,-1,1,1
brengen,4,3,1,1,-1,0,1
oplichten,5,7,-2,-1,-1,0,1
hebben,2,2,0,0,1,0,1
verschaffen,3,3,0,0,1,0,1
ondervinden,5,7,2,1,1,0,1
dekken,1,3,-2,-1,-1,1,1
geven,4,5,1,1,1,0,1
natrappen,1,5,4,1,1,0,1
grijpen,2,5,3,1,1,0,1
leveren,5,7,2,1,1,0,1
krijgen,1,6,5,1,1,0,1
winnen,4,2,2,1,-1,0,1
herbergen,3,4,-1,-1,-1,0,1
noemen,1,6,5,1,1,0,1
toevoegen,7,3,4,1,-1,0,1
verdienen,3,3,0,0,1,0,1
halen,2,13,11,1,1,0,1
openen,4,9,5,1,1,0,1
hebben,3,3,0,0,1,0,1
beperken,10,5,5,1,-1,0,1
merken,1,3,2,1,1,-1,1
geven,4,3,1,1,-1,0,1
brengen,3,2,1,1,-1,-1,1
krijgen,2,9,7,1,1,0,1
treffen,1,4,-3,-1,-1,1,1
brengen,4,2,2,1,-1,-1,1
vergasten,3,3,0,0,1,0,1
steken,6,2,-4,-1,1,0,1
afwerpen,1,15,14,1,1,0,1
gevoelen,2,5,-3,-1,-1,0,1
blootleggen,8,3,-5,-1,1,0,1
doen,1,6,-5,-1,-1,1,1
staken,2,4,2,1,1,0,1
voorzien,14,4,10,1,-1,0,1
terugroepen,6,2,4,1,-1,0,1
begeleiden,13,4,9,1,-1,0,1
overtuigen,2,2,0,0,-1,0,1
bewegen,4,5,-1,-1,-1,0,1
brengen,5,7,2,1,1,0,1
stellen,5,4,1,1,-1,0,1
maken,13,2,11,1,-1,0,1
handhaven,6,7,-1,-1,-1,0,1
afzetten,10,3,7,1,-1,0,1
leggen,3,3,0,0,1,0,1
doen,2,3,-1,-1,-1,0,1
goedmaken,9,5,-4,-1,1,0,1
afsluiten,30,3,27,1,-1,0,1
trainen,1,3,-2,-1,-1,1,1
lichten,6,7,1,1,1,0,1
zien,2,10,8,1,1,0,1
vastleggen,3,3,0,0,-1,0,1
deponeren,1,3,-2,-1,-1,0,1
doorspreken,2,3,1,1,1,0,1
hebben,2,6,4,1,1,0,1
regeren,2,3,-1,-1,-1,0,1
drukken,1,3,-2,-1,-1,1,1
vraag,1,3,2,1,1,0,1
uitspreken,14,4,-10,-1,1,0,1
kennen,2,8,6,1,1,0,1
vervaardigen,2,11,9,1,1,0,1
bereiken,17,2,-15,-1,1,1,1
maken,3,3,0,0,1,0,1
gebruiken,4,4,0,0,1,0,1
verkopen,10,2,8,1,-1,0,1
wijzigen,2,5,-3,-1,-1,0,1
opleggen,2,4,2,1,1,0,1
vegen,1,3,-2,-1,-1,1,1
redden,1,3,2,1,1,-1,1
citeren,3,3,0,0,1,0,1
oplopen,1,3,2,1,1,0,1
doen,1,3,2,1,1,0,1
zenden,18,3,15,1,-1,0,1
voeren,1,9,-8,-1,-1,0,1
aantreffen,3,3,0,0,1,0,1
ontwikkelen,2,4,2,1,1,0,1
maken,1,3,2,1,1,0,1
voeren,2,5,3,1,1,0,1
fotograferen,3,4,1,1,1,0,1
aanbieden,2,8,6,1,1,0,1
rijden,1,2,-1,-1,-1,0,1
omschakelen,3,16,13,1,1,0,1
betekenen,1,2,-1,-1,-1,1,1
inzamelen,4,8,4,1,1,0,1
hebben,2,2,0,0,-1,0,1
ontmoeten,2,2,0,0,-1,0,1
krijgen,1,2,-1,-1,-1,1,1
brengen,1,3,-2,-1,-1,1,1
betalen,2,3,1,1,1,0,1
zetten,2,4,-2,-1,-1,0,1
aanhouden,16,6,10,1,-1,0,1
aanbrengen,2,5,3,1,1,0,1
dragen,1,4,-3,-1,-1,1,1
verduidelijken,5,3,-2,-1,1,0,1
stoven,2,6,4,1,1,0,1
mengen,3,9,-6,-1,-1,0,1
aanleggen,1,4,3,1,1,0,1
brengen,2,2,0,0,-1,-1,1
uitkeren,7,2,5,1,-1,0,1
vieren,3,3,0,0,1,0,1
schrijven,2,3,1,1,1,0,1
afhalen,2,3,-1,-1,-1,0,1
uitspreken,8,4,-4,-1,1,0,1
antwoorden,2,3,1,1,1,0,1
verhalen,2,3,-1,-1,-1,0,1
laten,2,6,4,1,1,0,1
stellen,2,2,0,0,1,0,1
stilzetten,1,3,-2,-1,-1,0,1
hebben,1,4,3,1,1,0,1
stellen,1,4,3,1,1,0,1
storten,3,3,0,0,-1,0,1
brengen,7,3,4,1,-1,0,1
gooien,2,6,-4,-1,-1,0,1
voorlichten,1,8,-7,-1,-1,1,1
verslaan,1,2,-1,-1,-1,0,1
zien,1,7,6,1,1,0,1
bevestigen,5,3,2,1,-1,0,1
brengen,2,5,-3,-1,-1,0,1
houden,1,2,-1,-1,-1,1,1
hebben,4,3,-1,-1,1,0,1
verwerken,2,5,3,1,1,0,1
ontlasten,2,3,-1,-1,-1,0,1
hebben,4,3,-1,-1,1,0,1
verwerpen,12,3,-9,-1,1,0,1
krijgen,1,3,-2,-1,-1,0,1
houden,1,9,-8,-1,-1,1,1
trekken,2,6,4,1,1,0,1
begroeten,1,11,-10,-1,-1,1,1
zeggen,1,7,-6,-1,-1,1,1
brengen,6,5,1,1,-1,0,1
schilderen,1,4,3,1,1,0,1
overspoelen,1,2,-1,-1,-1,0,1
maken,3,3,0,0,1,0,1
zoeken,3,2,1,1,-1,-1,1
maken,2,2,0,0,1,0,1
aanspannen,2,4,-2,-1,-1,0,1
hielen,1,5,4,1,1,0,1
meten,3,6,-3,-1,-1,0,1
brengen,2,3,-1,-1,-1,0,1
brengen,2,3,-1,-1,-1,0,1
leveren,2,6,4,1,1,0,1
doen,10,2,8,1,-1,0,1
zien,2,3,-1,-1,-1,0,1
vormen,3,12,9,1,1,0,1
kiezen,1,5,4,1,1,0,1
gooien,1,3,-2,-1,-1,0,1
bereiken,2,3,1,1,1,0,1
oefenen,3,2,1,1,-1,-1,1
behalen,6,3,-3,-1,1,0,1
