Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
kill,6,12,6,1,1,0,1
cause,1,4,3,1,1,0,1
manipulate,2,4,2,1,1,0,1
kidnap,1,2,1,1,1,1,1
decline,2,2,0,0,1,0,1
kill,13,2,-11,-1,1,0,1
push,3,6,3,1,1,0,1
punish,1,6,5,1,1,0,1
put,2,3,1,1,1,0,1
shoot,3,3,0,0,1,0,1
set,3,12,9,1,1,0,1
distinguish,5,3,-2,-1,1,0,1
donate,4,2,-2,-1,1,0,1
describe,2,6,4,1,1,0,1
send,5,3,-2,-1,1,0,1
remind,1,3,2,1,1,1,1
use,2,2,0,0,1,0,1
use,1,2,1,1,1,1,1
cause,6,3,-3,-1,1,0,1
report,1,2,1,1,1,1,1
treat,1,6,5,1,1,1,1
host,4,3,-1,-1,1,0,1
make,2,2,0,0,1,0,1
purge,3,8,5,1,1,0,1
defeat,2,3,1,1,1,0,1
arm,3,8,5,1,1,0,1
use,13,6,-7,-1,1,0,1
use,6,2,-4,-1,1,-1,1
put,4,3,-1,-1,1,0,1
pump,1,3,2,1,1,0,1
take,3,4,1,1,1,0,1
hoist,1,4,3,1,1,1,1
bring,1,3,2,1,1,0,1
characterize,3,3,0,0,1,0,1
make,2,10,8,1,1,0,1
confront,1,2,1,1,1,0,1
equate,1,2,1,1,1,0,1
ignore,2,9,7,1,1,0,1
give,1,7,6,1,1,0,1
make,4,3,-1,-1,1,0,1
launch,3,2,-1,-1,1,0,1
see,2,4,2,1,1,0,1
ally,1,26,25,1,1,1,1
publish,2,5,3,1,1,0,1
draw,1,21,20,1,1,0,1
beef,2,3,1,1,1,0,1
hold,7,6,-1,-1,1,0,1
precede,13,23,10,1,1,0,1
keep,3,2,-1,-1,1,0,1
have,2,2,0,0,1,0,1
tell,1,3,2,1,1,0,1
accept,3,3,0,0,1,0,1
reach,2,5,3,1,1,0,1
draw,1,21,20,1,1,0,1
gobble,1,9,8,1,1,0,1
take,3,2,-1,-1,1,0,1
divest,1,10,9,1,1,0,1
convert,1,4,3,1,1,0,1
understand,1,8,7,1,1,1,1
support,6,13,7,1,1,0,1
say,1,12,11,1,1,1,1
get,1,18,17,1,1,1,1
accept,1,4,3,1,1,0,1
back,1,9,8,1,1,0,1
leave,1,14,13,1,1,0,1
take,1,16,15,1,1,0,1
join,2,3,1,1,1,0,1
earn,2,4,2,1,1,0,1
earn,2,4,2,1,1,0,1
earn,12,5,-7,-1,1,0,1
earn,2,4,2,1,1,0,1
earn,2,4,2,1,1,0,1
bring,2,37,35,1,1,0,1
put,1,3,2,1,1,0,1
receive,2,3,1,1,1,0,1
fly,2,3,1,1,1,0,1
blame,1,7,6,1,1,0,1
do,1,5,4,1,1,1,1
regard,5,14,9,1,1,0,1
reduce,2,5,3,1,1,0,1
use,3,2,-1,-1,1,0,1
hand,3,8,5,1,1,0,1
bring,2,3,1,1,1,0,1
educate,2,5,3,1,1,0,1
abuse,6,3,-3,-1,1,0,1
describe,1,13,12,1,1,0,1
dismiss,1,16,15,1,1,0,1
replace,6,11,5,1,1,0,1
hurl,1,3,2,1,1,0,1
describe,3,6,3,1,1,-1,1
dismiss,3,7,4,1,1,0,1
see,1,9,8,1,1,1,1
assume,1,3,2,1,1,0,1
offer,6,4,-2,-1,1,0,1
have,3,3,0,0,1,0,1
root,5,10,5,1,1,0,1
share,2,5,3,1,1,0,1
answer,5,4,-1,-1,1,0,1
take,2,14,12,1,1,0,1
follow,3,3,0,0,1,0,1
harm,1,3,2,1,1,1,1
ask,2,3,1,1,1,0,1
wear,2,4,2,1,1,0,1
identify,10,3,-7,-1,1,0,1
recruit,1,4,3,1,1,1,1
run,1,4,3,1,1,0,1
open,1,4,3,1,1,1,1
sell,3,2,-1,-1,1,0,1
have,8,5,-3,-1,1,0,1
use,2,2,0,0,1,-1,1
involve,8,5,-3,-1,1,0,1
implicate,1,12,11,1,1,0,1
send,1,2,1,1,1,0,1
foresee,25,2,23,1,-1,0,1
take,3,3,0,0,1,0,1
carry,4,20,16,1,1,0,1
have,4,3,-1,-1,1,0,1
bring,1,7,6,1,1,0,1
foresee,25,2,23,1,-1,0,1
give,3,3,0,0,1,0,1
maintain,2,14,12,1,1,0,1
put,9,6,-3,-1,1,0,1
divide,12,10,-2,-1,1,0,1
feel,2,2,0,0,1,0,1
send,2,2,0,0,1,0,1
present,2,10,8,1,1,0,1
take,2,4,2,1,1,0,1
lead,3,17,14,1,1,0,1
strike,4,3,-1,-1,1,0,1
move,6,2,-4,-1,1,0,1
place,1,6,5,1,1,0,1
give,2,7,5,1,1,0,1
show,4,6,2,1,1,0,1
absent,1,2,1,1,1,0,1
give,2,2,0,0,1,-1,1
kill,8,15,7,1,1,0,1
pickle,3,5,2,1,1,0,1
scour,1,24,23,1,1,0,1
see,2,11,9,1,1,0,1
ask,1,7,6,1,1,1,1
organize,4,5,1,1,1,0,1
get,2,2,0,0,1,-1,1
take,2,5,3,1,1,0,1
broach,2,2,0,0,1,-1,1
offer,10,6,-4,-1,1,0,1
initiate,1,13,12,1,1,0,1
spend,2,2,0,0,1,-1,1
smuggle,1,2,1,1,1,0,1
take,7,2,-5,-1,1,0,1
receive,2,2,0,0,1,0,1
bang,2,3,1,1,1,0,1
contract,2,9,7,1,1,0,1
thank,6,3,-3,-1,1,0,1
send,1,2,1,1,1,1,1
bring,1,3,2,1,1,0,1
stir,4,4,0,0,1,0,1
return,1,5,4,1,1,1,1
take,1,3,2,1,1,0,1
marry,4,4,0,0,1,0,1
get,2,3,1,1,1,0,1
look,2,3,1,1,1,0,1
outsource,3,4,1,1,1,0,1
shout,1,2,1,1,1,-1,1
receive,2,4,2,1,1,0,1
absorb,2,4,2,1,1,0,1
see,2,6,4,1,1,0,1
cite,1,7,6,1,1,1,1
guide,2,5,3,1,1,0,1
put,2,2,0,0,1,-1,1
put,2,2,0,0,1,0,1
detect,7,3,-4,-1,1,0,1
grip,2,5,3,1,1,0,1
have,7,3,-4,-1,1,0,1
beat,2,3,1,1,1,0,1
hold,5,2,-3,-1,1,0,1
curate,6,3,-3,-1,1,0,1
give,7,3,-4,-1,1,0,1
make,8,7,-1,-1,1,0,1
use,3,16,13,1,1,0,1
take,7,3,4,1,-1,0,1
provide,5,3,-2,-1,1,0,1
regard,2,18,16,1,1,-1,1
share,12,2,10,1,-1,1,1
