Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
kill,,,Shaikh Abdullah al Ani the preacher,at the mosque in the town of Qaim near the Syrian border,6,12,-6,1,11,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
cause,,,trouble,for years to come,1,4,-3,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
manipulate,,,the market,with his bombing targets,2,4,-2,2,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
kidnap,,Acc,him,in Mosul,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
decline,,,80 percent,in Mosul,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
kill,,,Shaikh Hamid 'Akkab a clan elder of a branch of the Dulaim tribe,in Tikrit,13,2,11,1,16,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
push,,,many Sunni Arabs,into the arms of the guerrillas,3,6,-3,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
punish,,,people,for mere past Baath Party membership,1,6,-5,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
put,,,road blocks,on our street,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
shoot,,,their AK 47's,in the air,3,3,0,4,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
set,,,the road blocks,at the exact same positions they were during the war last year,3,12,-9,3,8,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
distinguish,,,the brave and valiant civilians,from the Fedayeen,5,3,2,5,8,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
donate,,,blood food and medicine,for Fallujah,4,2,2,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
describe,,,Fallujan insurgents,as Ba'athists Saddamites Wahhabis and terrorists,2,6,-4,2,13,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
send,,,their top reporter Ahmed Mansour,to the town,5,3,2,4,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
remind,,Acc,me,of Al Sahhaf,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
use,,,cluster bombs,against civilians,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
use,,Acc,it,against infidels,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
cause,,,many thousands of extra cancer deaths,in neighbouring regions,6,3,3,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
report,,,this,in 1996,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
treat,,Acc,it,with radiation therapy primitive at best,1,6,-5,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
host,,,several of these children,for many years,4,3,1,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
make,,,a coup,in 1999,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
purge,,,his officer corps,of the substantial number of al Qaeda sympathizers,3,8,-5,3,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
defeat,,,the MMA,in fair elections,2,3,-1,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
arm,,,India and Pakistan,into a final settlement of the Kashmir issue,3,8,-5,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
use,,,Musharraf 's lack of progress in helping the Muslims of that Indian state,as a justification for his overthrow,13,6,7,3,16,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
use,,,the Republican Right 's own tactics,against them,6,2,4,6,8,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
put,,,their free market fetishism,for a while,4,3,1,6,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
pump,,,money,into Iraqi households,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
take,,,one 's eyes,off the former ball,3,4,-1,3,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
hoist,,Acc,him,by his own petard,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
bring,,,stability,to the country,1,3,-2,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
characterize,,,the military takeover,as good news,3,3,0,3,7,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
make,,,these comments,about a nation that just last year tested nuclear weapons,2,10,-8,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
confront,,,India,over Kashmir,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
equate,,,dictatorship,with stability,1,2,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ignore,,,vital conflicts,with the potential to blow back on the US,2,9,-7,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
give,,,money,to the families of Palestinian suicide bombers,1,7,-6,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
make,,,behind the scenes overtures,to the Israelis,4,3,1,6,9,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
launch,,,operations against Israel,from Iraq,3,2,1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
see,,,a menace,in the current instability,2,4,-2,2,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ally,,Acc,itself,"with such groups as the Supreme Council for the Islamic Revolution in Iraq whose 15,000 strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards",1,26,-25,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
publish,,,this commentary,in agreement with Agence Global,2,5,-3,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
draw,,,protests,from the Tamil National Alliance TNA which was backed by the LTTE in the April general elections held in Sri Lanka,1,21,-20,1,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
beef,,,military preparedness,with Indian support,2,3,-1,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
hold,,,six rounds of talks with the Tigers,between September 2002 and March 2003,7,6,1,2,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
precede,,,a three day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen,in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002,13,23,-10,5,18,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
