Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
tundma,1,2,-1,-1,-1,0,1
läbima,2,2,0,0,-1,0,1
saama,1,3,2,1,1,1,1
avaldama,2,2,0,0,-1,0,1
valima,5,2,3,1,-1,1,1
tellima,1,2,-1,-1,-1,1,1
pakkuma,4,7,-3,-1,-1,0,1
ostma,6,9,3,1,1,0,1
nõudma,1,2,-1,-1,-1,0,1
maksma,2,12,10,1,1,0,1
seadma,9,2,7,1,-1,0,1
saama,1,4,3,1,1,0,1
laskma,1,2,1,1,1,0,1
saama,1,3,-2,-1,-1,0,1
maksma,6,3,3,1,-1,0,1
kaitsma,2,7,5,1,1,0,1
tegema,3,2,-1,-1,1,0,1
nägema,11,2,9,1,-1,1,1
vallandama,2,2,0,0,-1,0,1
varuma,1,3,2,1,1,0,1
kallutama,2,3,1,1,1,0,1
määrama,1,12,11,1,1,0,1
maalima,5,5,0,0,1,0,1
vaatama,1,4,3,1,1,1,1
avaldama,3,6,3,1,1,0,1
otsima,2,4,2,1,1,0,1
kaitsma,2,2,0,0,1,0,1
avaldama,2,9,7,1,1,0,1
paeluma,1,3,2,1,1,0,1
tundma,1,5,4,1,1,0,1
avaldama,1,8,7,1,1,0,1
kandma,4,15,11,1,1,0,1
ootama,3,4,-1,-1,-1,0,1
saatma,2,2,0,0,1,0,1
koguma,32,2,30,1,-1,1,1
kiskuma,1,2,1,1,1,-1,1
kiskuma,3,2,-1,-1,1,0,1
maksma,1,2,-1,-1,-1,0,1
tõstma,2,3,1,1,1,0,1
mõtlema,2,2,0,0,-1,0,1
pommitama,1,3,2,1,1,0,1
kaitsma,1,5,4,1,1,1,1
kandma,1,3,2,1,1,0,1
tegema,2,4,-2,-1,-1,0,1
ütlema,1,2,-1,-1,-1,0,1
tirima,1,2,1,1,1,0,1
tegema,3,4,-1,-1,-1,0,1
pistma,4,2,2,1,-1,0,1
sahistama,1,2,-1,-1,-1,0,1
ehitama,9,2,7,1,-1,0,1
kinkima,1,2,-1,-1,-1,1,1
kasseerima,4,8,-4,-1,-1,0,1
mõjutama,3,2,-1,-1,1,0,1
jälgima,6,2,4,1,-1,-1,1
saatma,1,2,-1,-1,-1,0,1
kasutama,2,4,2,1,1,1,1
seadma,1,2,1,1,1,0,1
keerama,1,2,1,1,1,0,1
joonistama,1,4,3,1,1,1,1
avastama,4,3,1,1,-1,0,1
nägema,1,3,-2,-1,-1,0,1
ilmutama,3,3,0,0,-1,0,1
unustama,4,3,-1,-1,1,0,1
kirjeldama,10,4,6,1,-1,0,1
heitma,5,3,2,1,-1,0,1
