Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
tundma,,Par,huvi,asja vastu,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
läbima,,Gen,sajameetrise distantsi,kiiruse peale,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
saama,,Nom,mõlemad,ühe inimese käest,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,postverbal
avaldama,,Gen,oma kommentaari,vastulause juures,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
valima,,Gen,riskantse teema pankrotiohus Munamäe suusakeskuse,enda jaoks,5,2,3,4,1,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,postverbal
tellima,,Par,lugusid,nende vastu,1,2,-1,3,1,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,postverbal
pakkuma,,Par,ligi 24 miljonit krooni,kesklinna sadama Admirali basseini äärse maa eest,4,7,-3,12,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
ostma,,Nom,Admirali basseini kõrval seisvad mahajäetud laod,miljoni Inglise naelsterlingi ligi 24 milj Eesti krooni eest,6,9,-3,6,9,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
nõudma,,Par,ettevõtlustoetust,kohtu kaudu,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
maksma,,Par,kõrgemat hinda,toiduainete eest mis ei ole keemiliselt töödeldud ega läbi teinud geenitehnoloogilisi muudatusi,2,12,-10,3,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
seadma,,Gen,kaitseväe juhataja Johannes Kerdi võimekuse kontrollida ja juhtida kaitseväge,kahtluse alla,9,2,7,7,1,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
saama,,Gen,ühenduse,alles mitmetunnise pingutuse järel,1,4,-3,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
laskma,,Par,kedagi,tema juurde,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,postposition,nonshifted,postverbal
saama,,Par,raha,ühe allkirja vastu,1,3,-2,5,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
maksma,,Par,sadu kohati isegi tuhandeid kroone toetust,iga vaataja kohta,6,3,3,6,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,postverbal
kaitsma,,Par,lolli inimest,tema enda vigade ja nende tagajärgede eest,2,7,-5,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,postverbal
