Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
saatma,1,5,-4,-1,-1,1,1
peksma,1,3,2,1,1,-1,1
ostma,1,2,1,1,1,0,1
võtma,2,2,0,0,-1,-1,1
lükkama,1,3,-2,-1,-1,0,1
tundma,1,3,2,1,1,0,1
toimetama,2,2,0,0,1,0,1
peitma,1,2,-1,-1,-1,0,1
nautima,2,3,1,1,1,0,1
tundma,1,2,1,1,1,0,1
tundma,1,2,1,1,1,0,1
võtma,1,3,2,1,1,0,1
tundma,1,4,3,1,1,0,1
avaldama,1,2,1,1,1,0,1
alustama,1,6,5,1,1,0,1
tegema,2,3,-1,-1,-1,0,1
otsima,1,2,-1,-1,-1,0,1
otsima,1,2,1,1,1,0,1
levitama,1,2,1,1,1,1,1
usaldama,1,3,-2,-1,-1,1,1
tundma,1,3,2,1,1,0,1
sööma,1,3,2,1,1,0,1
küsima,1,2,1,1,1,0,1
pakkuma,2,3,1,1,1,0,1
kaitsma,1,2,-1,-1,-1,1,1
tegema,1,2,-1,-1,-1,1,1
lubama,2,4,2,1,1,0,1
soojendama,1,3,-2,-1,-1,1,1
kostitama,5,2,-3,-1,1,0,1
ütlema,1,2,-1,-1,-1,0,1
tõmbama,1,2,-1,-1,-1,0,1
ajama,4,3,1,1,-1,0,1
toimetama,4,2,2,1,-1,0,1
loopima,1,2,-1,-1,-1,0,1
keelama,1,2,-1,-1,-1,0,1
korrigeerima,3,2,1,1,-1,0,1
katsetama,1,3,-2,-1,-1,0,1
tegema,1,2,1,1,1,0,1
ajama,7,6,-1,-1,1,0,1
võtma,3,2,1,1,-1,-1,1
omandama,2,2,0,0,-1,0,1
tekitama,4,2,-2,-1,1,0,1
nägema,2,4,2,1,1,0,1
pidama,1,2,-1,-1,-1,1,1
asuma,1,3,-2,-1,-1,1,1
võtma,2,3,-1,-1,-1,0,1
varustama,1,2,-1,-1,-1,1,1
kasutama,2,2,0,0,-1,0,1
pidama,2,3,-1,-1,-1,0,1
saama,2,3,-1,-1,-1,0,1
jagama,1,2,-1,-1,-1,0,1
vahetama,1,2,-1,-1,-1,1,1
rääkima,1,2,1,1,1,-1,1
kauplema,4,2,-2,-1,1,0,1
edastama,1,3,2,1,1,0,1
tegema,1,2,1,1,1,1,1
kinnitama,2,2,0,0,-1,0,1
arvama,1,2,-1,-1,-1,1,1
leidma,1,3,2,1,1,0,1
valima,1,2,1,1,1,0,1
hoidma,2,3,-1,-1,-1,0,1
pidama,2,2,0,0,-1,0,1
püstitama,1,3,2,1,1,0,1
hoidma,1,2,-1,-1,-1,-1,1
otsustama,1,2,1,1,1,0,1
rakendama,1,2,-1,-1,-1,1,1
kinkima,1,3,2,1,1,0,1
pöörama,4,2,2,1,-1,0,1
tegema,1,2,1,1,1,0,1
korraldama,1,2,-1,-1,-1,1,1
õnnitlema,1,2,-1,-1,-1,1,1
kuivatama,1,2,1,1,1,0,1
valima,1,3,2,1,1,0,1
kergitama,1,2,1,1,1,0,1
viima,1,7,6,1,1,0,1
kasutama,1,6,-5,-1,-1,1,1
tundma,1,2,1,1,1,0,1
rammima,1,2,1,1,1,0,1
võtma,1,4,-3,-1,-1,0,1
saatma,1,2,1,1,1,0,1
vahetama,1,3,2,1,1,0,1
rakendama,2,2,0,0,-1,-1,1
tekitama,1,3,2,1,1,0,1
vahetama,3,2,1,1,-1,0,1
kaitsma,1,5,-4,-1,-1,0,1
remontima,3,3,0,0,1,0,1
maksma,1,4,3,1,1,0,1
leidma,1,7,6,1,1,0,1
vedama,1,2,-1,-1,-1,-1,1
veeretama,1,2,-1,-1,-1,-1,1
seadma,1,2,-1,-1,-1,1,1
võtma,1,2,1,1,1,1,0
kirjutama,1,2,-1,-1,-1,0,0
võtma,1,2,1,1,1,0,0
pidama,1,3,-2,-1,-1,0,0
kuulama,1,7,-6,-1,-1,0,0
hoidma,1,3,2,1,1,-1,0
valima,1,6,5,1,1,-1,0
nõudma,1,3,-2,-1,-1,0,0
sokutama,1,2,1,1,1,0,0
tegema,2,2,0,0,-1,0,0
lööma,1,2,-1,-1,-1,0,0
kutsuma,1,3,2,1,1,-1,0
otsima,2,8,-6,-1,-1,0,0
liigutama,1,4,3,1,1,0,0
püüdma,1,2,-1,-1,-1,0,0
suruma,3,4,1,1,1,0,0
ootama,1,2,1,1,1,-1,0
fikseerima,1,2,1,1,1,-1,0
masseerima,3,4,-1,-1,-1,0,0
korraldama,1,2,1,1,1,0,0
sõnama,1,2,-1,-1,-1,0,0
mõistma,1,2,-1,-1,-1,-1,0
toppima,1,2,1,1,1,-1,0
kaitsma,1,2,1,1,1,0,0
lõksutama,1,2,1,1,1,1,0
kandma,1,2,-1,-1,-1,-1,0
kiitma,1,2,1,1,1,0,0
jätma,3,4,1,1,1,0,0
pöörama,1,2,-1,-1,-1,0,0
saama,1,2,1,1,1,-1,0
katkestama,2,4,-2,-1,-1,-1,0
tegema,1,2,-1,-1,-1,1,0
keerama,4,4,0,0,-1,0,0
kuulma,1,2,-1,-1,-1,0,0
korjama,2,2,0,0,-1,0,0
ajama,1,2,1,1,1,0,0
tõmbama,1,2,1,1,1,0,0
andma,3,4,1,1,1,0,0
otsima,1,2,-1,-1,-1,-1,0
võtma,3,2,-1,-1,1,0,0
haarama,2,2,0,0,1,0,0
sisendama,2,3,-1,-1,-1,0,0
viima,1,2,1,1,1,0,0
päästma,1,2,1,1,1,-1,0
hoidma,1,2,1,1,1,1,0
tirima,1,2,1,1,1,0,0
laduma,1,2,1,1,1,1,0
suruma,1,5,-4,-1,-1,0,0
jätma,1,2,-1,-1,-1,1,0
varjama,1,3,-2,-1,-1,0,0
suruma,1,2,1,1,1,0,0
ütlema,3,2,1,1,-1,1,0
panema,2,2,0,0,1,0,0
kontrollima,2,2,0,0,-1,0,0
töötama,1,3,2,1,1,-1,0
tundma,1,2,1,1,1,-1,0
tegema,4,8,4,1,1,0,0
viima,2,4,2,1,1,0,0
leidma,1,2,-1,-1,-1,0,0
eraldama,1,2,-1,-1,-1,-1,0
lahendama,2,2,0,0,-1,0,0
vahetama,1,3,-2,-1,-1,0,0
tundma,1,2,-1,-1,-1,0,0
diagnoosima,2,6,-4,-1,-1,0,0
ajendama,2,2,0,0,-1,-1,0
ütlema,2,4,-2,-1,-1,1,0
maksma,1,4,-3,-1,-1,0,0
leidma,2,2,0,0,-1,0,0
arvama,1,4,3,1,1,-1,0
põhjustama,4,2,2,1,-1,0,0
saama,2,3,-1,-1,-1,0,0
võtma,1,3,-2,-1,-1,0,0
määrama,1,2,1,1,1,0,0
viima,1,3,2,1,1,-1,0
tegema,1,2,1,1,1,0,0
tähistama,1,2,-1,-1,-1,0,0
panema,2,2,0,0,1,1,0
vahetama,1,2,1,1,1,0,0
täitma,1,2,1,1,1,0,0
koguma,1,2,1,1,1,-1,0
õmblema,2,2,0,0,1,0,0
tutvustama,1,2,-1,-1,-1,0,0
mõtlema,1,2,1,1,1,-1,0
pumpama,1,3,-2,-1,-1,0,0
pakkuma,2,2,0,0,1,1,0
leppima,4,2,2,1,-1,-1,0
tapma,1,5,4,1,1,-1,0
saama,1,2,1,1,1,0,0
