Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
saatma,,Par,teid,teie palve peale koomale võtta,1,5,-4,8,6,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
peksma,,Par,kedagi,tema silma all,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,preverbal
ostma,,Par,aktsiaid,Jagomägede käest,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
võtma,Ill,Par,kogu laenukoormat,enda õlule,2,2,0,5,4,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,preverbal
lükkama,,Nom,artikkel,ühe nädala võrra,1,3,-2,5,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
tundma,,Par,huvi,Tallinna sadamapiirkonna vastu,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
toimetama,,Nom,ärakukkunud sõbrad,peo ajal,2,2,0,3,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
peitma,,Par,ennast,meie eest,1,2,-1,3,2,indefinite,indefinite,pronominal,pronominal,postposition,shifted,preverbal
nautima,,Par,viimset rahu,kõrgete mändide all,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
tundma,,Par,nohugi,reisi ajal,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
tundma,,Par,huvi,ooperi vastu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
võtma,,Par,sõna,oma põlvkonna nimel,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
tundma,,Par,muret,Nukrameelse lüüriku loomevõime suhtes,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
avaldama,,Par,arvamust,ühiskonna kohta,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
alustama,,Par,kriminaalmenetlust,Itaalia passiga ringi liikuva Sposato suhtes,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
tegema,,Par,Ametlikku päringut,riigiraudtee erastamise puhul,2,3,-1,10,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
otsima,,Par,mind,mingitki moodi,1,2,-1,4,3,indefinite,indefinite,pronominal,pronominal,postposition,shifted,preverbal
otsima,,Par,mõttekaaslasi,kuulutuste kaudu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
levitama,,Par,laimujutte,nende kohta,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
usaldama,,Nom,kes,tema hoole alla,1,3,-2,5,3,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
tundma,,Par,huvi,lapsega kohtumise vastu,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
sööma,,Nom,teater,iga hinna eest,1,3,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
küsima,,Par,nõu,eriaalaarsti käest,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
pakkuma,Ill,Par,oma tooteid,ka terviseportaali kaudu,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
kaitsma,,Par,meid,kokkupõrke eest,1,2,-1,3,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
tegema,,Par,seda,telekaamera ees,1,2,-1,3,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
lubama,,Par,kopsakaid hangesid,ka 50 aasta pärast,2,4,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
soojendama,,Nom,need,sooja plekkahju vastas,1,3,-2,5,3,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
kostitama,Ill,Par,oma varasemat lemmikut ning kaitsealust,kanakarja kombel,5,2,3,4,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ütlema,,Par,mida,selle peale,1,2,-1,3,2,indefinite,indefinite,pronominal,pronominal,postposition,shifted,preverbal
tõmbama,Ill,Par,põlvi,lõua alla,1,2,-1,4,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
ajama,,Nom,kelle rinnad ja istmikud,korsetiliste abinõude varal,4,3,1,8,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
toimetama,,Par,seda paljastamist ja piitsutamist,naiste kallal,4,2,2,5,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
loopima,Ill,Par,kroone-dollareid,tantsijate seas,1,2,-1,4,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
keelama,,Nom,mis,minu arust,1,2,-1,5,4,indefinite,indefinite,pronominal,pronominal,postposition,shifted,preverbal
korrigeerima,,Gen,peegli te kuju,vaatluse kestel,3,2,1,4,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
katsetama,,Par,ravivõtteid,nende loomade peal,1,3,-2,4,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
tegema,,Par,sedasama,Inimeste peal,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ajama,,Nom,loe hingamispeetuse ajal on ka suhkrutase veres,kõri kallale tunginud vaenlasega võitlemise käigus,7,6,1,3,13,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
võtma,,Par,ligikaudu 80 meetrit,enda alla,3,2,1,3,2,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,preverbal
omandama,,Gen,selle oskuse,elu jooksul,2,2,0,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
tekitama,,Par,suurt huvi ja hämmastust,turistide seas,4,2,2,3,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
nägema,,Par,kapitaalsemat remonti,viimase kümne aasta jooksul,2,4,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
pidama,,Par,mida,õppesuuna all,1,2,-1,6,4,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
asuma,,Par,seda,60. aasta paiku,1,3,-2,4,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
võtma,,Nom,suured alad,enda kontrolli alla,2,3,-1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
varustama,,Par,end,kindla peale,1,2,-1,3,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
kasutama,,Par,seda teed,ilmastikutingimuste tõttu,2,2,0,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
pidama,Ela,Par,üht inimest,tema võimaluste tõttu,2,3,-1,8,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
saama,,Par,õnnetoovat kirja,teatud aja jooksul,2,3,-1,9,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
jagama,,Nom,hääled,poliitikute vahel,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
vahetama,,Nom,need,hiigelkasumite vastu,1,2,-1,3,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
rääkima,,Par,midagi,ettevõtte kaupa,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,preverbal
kauplema,,Par,konkurentidega võrreldes soodsamaid tingimusi,pististe abil,4,2,2,2,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
edastama,,Par,teavet,soovitud piirkonna kohta,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
tegema,,Par,tööd,enda kallal,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
kinnitama,,Nom,Kaja Tael,aasta tagasi,2,2,0,6,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
arvama,,Nom,ta,eestlaste seast,1,2,-1,4,3,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
leidma,,Par,aset,Molotovi-Ribbentropi pakti pärast,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
valima,,Par,firma,telefoni teel,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
hoidma,,Par,piima varumishinda,kolme krooni peal,2,3,-1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
pidama,,Par,kõnealuseid maid,laenu abil,2,2,0,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
püstitama,,Par,hoonet,tööde kalliduse tõttu,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
hoidma,,Par,võimu,enda käes,1,2,-1,3,2,indefinite,indefinite,nonpronomial,pronominal,postposition,shifted,preverbal
otsustama,,Nom,kõik,meie eest,1,2,-1,2,4,indefinite,indefinite,pronominal,pronominal,postposition,nonshifted,preverbal
rakendama,,Par,neid,liitumise järel,1,2,-1,6,5,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
kinkima,,Gen,kodakondsuse,eriliste teenete eest,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
pöörama,,Gen,maareformi kogu senise mõtte,pea peale,4,2,2,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
tegema,,Par,tööd,kooli kõrvalt,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
korraldama,,Par,midagi,külarahva heaks,1,2,-1,3,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
õnnitlema,,Par,sind,lehekülje puhul,1,2,-1,3,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
kuivatama,,Par,käsi,tule kohal,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
valima,Ine,Par,kutsikaid,Scotland Yardi jaoks,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
kergitama,Ill,Par,mütsi,õuna ees,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
viima,,Par,veine,enda nime all Denominación de Origen DO,1,7,-6,2,11,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
kasutama,,Par,mida,kirjude seinte ja suure peegli tõttu,1,6,-5,9,7,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
tundma,,Par,kiindumust,steppimise vastu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
rammima,,Par,puud,Tabasalu lähedal,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
võtma,,Gen,uurija,teisitimõtlemise ja -otsustamise pärast,1,4,-3,6,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
saatma,,Par,kedagi,minu pärast,1,2,-1,3,5,indefinite,indefinite,pronominal,pronominal,postposition,nonshifted,preverbal
