Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
kulkea,1,2,1,1,1,0,1
hankkia,1,2,-1,-1,-1,0,1
nähdä,1,2,1,1,1,0,1
katsoa,10,2,8,1,-1,0,1
pystyttää,1,2,-1,-1,-1,0,1
estellä,1,2,1,1,1,1,1
haluta,1,2,1,1,1,0,1
skipata,9,2,7,1,-1,1,1
pukea,2,2,0,0,1,0,1
viettää,1,2,1,1,1,0,1
liittää,1,2,1,1,1,0,1
kirjoittaa,2,3,-1,-1,-1,0,1
julkaista,2,3,-1,-1,-1,0,1
levittää,3,2,-1,-1,1,0,1
sekoittaa,7,2,5,1,-1,0,1
antaa,2,3,1,1,1,0,1
heilutella,1,4,3,1,1,0,1
keittää,1,5,-4,-1,-1,0,1
lisätä,2,2,0,0,-1,0,1
tarkistaa,2,2,0,0,-1,1,1
asettaa,1,9,8,1,1,0,1
saada,1,2,-1,-1,-1,1,1
säilyttää,3,4,1,1,1,0,1
seurata,2,3,1,1,1,0,1
täyttää,3,10,7,1,1,0,1
solmia,2,3,1,1,1,0,1
liittää,4,17,13,1,1,0,1
tehdä,1,3,2,1,1,0,1
antaa,2,9,-7,-1,-1,0,1
löytää,2,3,1,1,1,0,1
lähettää,6,5,1,1,-1,0,1
suojella,1,2,1,1,1,0,1
jatkaa,2,2,0,0,1,0,1
tehdä,1,24,23,1,1,0,1
käsitellä,4,4,0,0,-1,0,1
pitää,1,4,3,1,1,0,1
tarjota,1,2,1,1,1,0,1
johtaa,1,3,2,1,1,0,1
järjestää,2,2,0,0,1,0,1
tehdä,2,11,9,1,1,0,1
hyväksyä,2,3,1,1,1,0,1
määrittää,3,2,-1,-1,1,0,1
pitää,4,14,10,1,1,0,1
tuhota,3,24,21,1,1,-1,1
korottaa,1,2,1,1,1,-1,1
löytää,1,2,1,1,1,0,1
soittaa,2,4,2,1,1,0,1
kiertää,1,2,1,1,1,0,1
kävellä,2,3,1,1,1,0,1
nähdä,1,7,6,1,1,1,1
haudata,1,2,1,1,1,0,1
kiskoa,1,2,1,1,1,0,1
etsiä,1,4,3,1,1,1,1
ajatella,1,2,1,1,1,1,1
polttaa,1,5,4,1,1,0,1
nähdä,1,2,1,1,1,0,1
nykiä,1,6,5,1,1,0,1
tavata,2,2,0,0,-1,0,1
rupatella,1,2,-1,-1,-1,1,1
pelata,1,2,1,1,1,0,1
kietoa,1,2,1,1,1,-1,1
asettaa,3,4,-1,-1,-1,0,1
katsastella,1,3,2,1,1,0,1
nauttia,2,2,0,0,1,0,1
pärskiä,1,2,1,1,1,-1,1
ymmärtää,1,2,1,1,1,0,1
heilauttaa,1,2,1,1,1,-1,1
laskea,1,2,-1,-1,-1,0,1
tehdä,2,3,1,1,1,0,1
ristiä,1,2,1,1,1,0,1
taluttaa,1,2,1,1,1,0,1
jatkaa,1,2,-1,-1,-1,0,1
löytää,2,2,0,0,1,1,1
veistää,1,4,-3,-1,-1,0,1
löytää,1,3,2,1,1,0,1
viettää,2,5,3,1,1,-1,1
elää,2,6,4,1,1,0,1
jatkaa,2,2,0,0,1,0,1
ottaa,1,2,1,1,1,0,1
tarvita,3,4,1,1,1,0,1
rakentaa,2,3,1,1,1,0,1
maksaa,4,3,-1,-1,1,0,1
tehdä,1,2,1,1,1,0,1
kuulla,1,2,1,1,1,-1,1
vetää,2,3,1,1,1,0,1
panna,1,3,2,1,1,0,1
valutella,2,3,1,1,1,0,1
pistää,1,2,1,1,1,0,1
varastoida,1,3,2,1,1,0,1
rahoittaa,2,3,1,1,1,0,1
ehdottaa,3,4,-1,-1,-1,0,1
tehdä,1,2,1,1,1,0,1
kehittää,9,4,5,1,-1,0,1
tukea,1,2,-1,-1,-1,0,0
tarkistaa,7,10,-3,-1,-1,0,0
saada,2,8,-6,-1,-1,1,0
luoda,1,6,-5,-1,-1,0,0
jättää,16,4,-12,-1,1,0,0
saada,2,15,-13,-1,-1,0,0
myöntää,3,4,1,1,1,0,0
laatia,3,6,-3,-1,-1,0,0
antaa,4,2,2,1,-1,0,0
yksilöidä,2,3,1,1,1,0,0
luoda,1,4,-3,-1,-1,0,0
määritellä,6,9,-3,-1,-1,1,0
vahvistaa,2,4,-2,-1,-1,0,0
antaa,1,3,-2,-1,-1,0,0
täsmentää,3,3,0,0,-1,0,0
tehdä,2,2,0,0,1,0,0
pitää,1,2,-1,-1,-1,0,0
myöntää,1,4,-3,-1,-1,0,0
täyttää,1,2,1,1,1,-1,0
vaatia,10,4,-6,-1,1,0,0
esitellä,1,2,-1,-1,-1,-1,0
kerätä,4,3,-1,-1,1,0,0
ottaa,2,3,-1,-1,-1,0,0
saada,2,3,1,1,1,0,0
pitää,1,3,-2,-1,-1,0,0
hahmottaa,2,3,-1,-1,-1,0,0
valita,7,9,2,1,1,0,0
tunnistaa,3,2,1,1,-1,0,0
katsoa,1,2,-1,-1,-1,-1,0
herättää,11,6,-5,-1,1,0,0
menettää,1,2,-1,-1,-1,0,0
solmia,1,2,-1,-1,-1,0,0
laskea,1,2,1,1,1,0,0
pitää,2,2,0,0,1,0,0
lähestyä,1,2,-1,-1,-1,0,0
perustaa,1,5,-4,-1,-1,0,0
antaa,2,4,-2,-1,-1,0,0
kuunnella,1,3,-2,-1,-1,0,0
saada,3,2,-1,-1,1,0,0
arvioida,2,5,-3,-1,-1,0,0
lisätä,4,7,-3,-1,-1,0,0
istuttaa,14,3,-11,-1,1,0,0
saada,2,2,0,0,1,0,0
aloittaa,1,2,-1,-1,-1,0,0
harjoittaa,1,3,-2,-1,-1,0,0
menettää,1,2,-1,-1,-1,0,0
hävitä,1,3,-2,-1,-1,0,0
saada,2,3,1,1,1,0,0
poistaa,2,2,0,0,-1,0,0
jättää,3,3,0,0,-1,0,0
jättää,3,4,-1,-1,-1,0,0
jättää,4,3,1,1,-1,0,0
perustaa,1,9,8,1,1,0,0
aloittaa,1,3,-2,-1,-1,0,0
levyttää,2,5,-3,-1,-1,0,0
jakaa,1,2,-1,-1,-1,0,0
saada,1,2,-1,-1,-1,0,0
perustaa,2,3,-1,-1,-1,0,0
tehdä,1,4,-3,-1,-1,0,0
julkaista,7,2,-5,-1,1,-1,0
tehdä,2,2,0,0,1,0,0
auktorisoida,2,2,0,0,1,0,0
tunnustaa,1,2,1,1,1,-1,0
menettää,1,6,-5,-1,-1,0,0
aloittaa,4,6,2,1,1,0,0
jatkaa,5,3,2,1,-1,0,0
vallata,1,3,-2,-1,-1,0,0
lähettää,6,2,-4,-1,1,0,0
hoitaa,2,17,-15,-1,-1,0,0
tehdä,8,3,-5,-1,1,0,0
tuomita,2,9,-7,-1,-1,1,0
antaa,1,2,-1,-1,-1,0,0
tehdä,1,8,-7,-1,-1,0,0
harjoittaa,2,2,0,0,-1,0,0
käydä,1,2,-1,-1,-1,0,0
etsiä,2,3,-1,-1,-1,0,0
rakentaa,1,3,-2,-1,-1,0,0
kestää,3,2,-1,-1,1,0,0
puuhata,2,3,1,1,1,0,0
muuttaa,5,4,1,1,-1,0,0
saada,4,3,-1,-1,1,0,0
saada,1,3,-2,-1,-1,0,0
välttää,1,3,-2,-1,-1,0,0
säilyttää,1,2,-1,-1,-1,0,0
kaataa,1,2,1,1,1,0,0
johtaa,1,3,-2,-1,-1,0,0
nostaa,1,5,-4,-1,-1,0,0
kutsua,3,4,-1,-1,-1,0,0
tuoda,1,4,-3,-1,-1,0,0
muodostaa,1,3,-2,-1,-1,0,0
analysoida,6,3,-3,-1,1,0,0
saada,4,2,-2,-1,1,0,0
