Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
_,2,20,18,1,1,0,1
_,7,6,-1,-1,1,0,1
_,7,3,4,1,-1,0,1
_,3,3,0,0,1,0,1
_,2,33,31,1,1,0,1
ériger,2,2,0,0,1,0,1
_,4,6,2,1,1,0,1
_,3,10,7,1,1,0,1
_,5,10,5,1,1,0,1
_,2,41,39,1,1,0,1
_,3,46,43,1,1,0,1
_,2,11,9,1,1,0,1
_,3,12,9,1,1,0,1
_,52,7,45,1,-1,0,1
_,5,15,-10,-1,-1,0,1
_,3,19,16,1,1,0,1
_,9,4,5,1,-1,0,1
_,5,5,0,0,1,-1,1
_,9,14,5,1,1,0,1
_,2,2,0,0,1,0,1
_,2,3,1,1,1,0,1
_,8,3,5,1,-1,0,1
_,2,10,8,1,1,0,1
_,22,7,15,1,-1,0,1
ajouter,18,2,16,1,-1,1,1
_,2,6,4,1,1,0,1
_,6,19,13,1,1,0,1
_,7,4,-3,-1,1,0,1
_,10,3,-7,-1,1,0,1
_,2,3,1,1,1,0,1
_,2,5,3,1,1,0,1
_,11,13,2,1,1,0,1
_,5,6,1,1,1,0,1
_,3,25,22,1,1,0,1
_,19,4,15,1,-1,0,1
_,7,3,-4,-1,1,0,1
_,5,5,0,0,1,0,1
_,2,4,2,1,1,0,1
_,2,3,1,1,1,0,1
_,21,2,19,1,-1,0,1
_,3,6,3,1,1,0,1
_,9,18,9,1,1,0,1
_,4,4,0,0,-1,0,1
_,11,4,7,1,-1,0,1
_,5,14,9,1,1,0,1
_,7,4,3,1,-1,0,1
_,3,3,0,0,1,0,1
_,4,4,0,0,1,0,1
_,4,10,6,1,1,0,1
_,6,14,8,1,1,0,1
_,2,5,3,1,1,0,1
_,4,9,-5,-1,-1,0,1
_,2,4,2,1,1,0,1
_,3,7,4,1,1,-1,1
_,3,6,3,1,1,0,1
_,3,9,6,1,1,0,1
_,6,8,2,1,1,0,1
_,3,10,7,1,1,0,1
_,1,4,3,1,1,0,1
_,1,4,3,1,1,0,1
_,2,2,0,0,1,0,1
_,10,4,6,1,-1,0,1
_,2,6,4,1,1,0,1
_,1,29,28,1,1,0,1
_,2,2,0,0,-1,0,1
_,5,3,2,1,-1,1,1
_,1,13,12,1,1,0,1
_,6,5,1,1,-1,0,1
_,1,7,6,1,1,0,1
_,2,17,15,1,1,0,1
_,2,2,0,0,-1,0,1
_,3,8,5,1,1,0,1
_,3,6,3,1,1,0,1
_,2,3,1,1,1,0,1
_,6,5,-1,-1,1,0,1
_,3,17,14,1,1,0,1
_,2,10,8,1,1,0,1
_,3,2,1,1,-1,0,1
_,2,3,1,1,1,0,1
_,5,4,1,1,-1,0,1
_,2,3,1,1,1,0,1
_,4,8,4,1,1,0,1
_,4,3,-1,-1,1,0,1
_,2,6,4,1,1,0,1
_,2,4,2,1,1,0,1
_,2,8,6,1,1,0,1
_,6,2,4,1,-1,0,1
_,5,8,3,1,1,0,1
_,8,7,-1,-1,1,0,1
_,7,3,4,1,-1,0,1
_,5,6,1,1,1,0,1
_,3,3,0,0,-1,0,1
_,10,4,6,1,-1,0,1
_,11,22,11,1,1,0,1
_,2,41,39,1,1,0,1
_,2,8,6,1,1,0,1
_,14,3,11,1,-1,0,1
_,7,4,3,1,-1,0,1
_,3,2,-1,-1,1,0,1
_,10,7,3,1,-1,0,1
_,2,21,19,1,1,0,1
_,8,24,16,1,1,0,1
_,12,3,-9,-1,1,0,1
_,2,9,7,1,1,0,1
_,2,2,0,0,-1,0,1
_,15,4,11,1,-1,0,1
_,2,5,3,1,1,0,1
