Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
haber,5,12,7,1,1,0,1
certificar,12,2,10,1,-1,0,1
finalizar,2,33,31,1,1,0,1
ter,1,10,9,1,1,0,1
medir,21,4,17,1,-1,0,1
situar,7,4,3,1,-1,0,1
atopar,1,8,7,1,1,0,1
reembolsar,1,17,16,1,1,1,1
limitar,29,4,25,1,-1,0,1
eliminar,3,6,-3,-1,-1,0,1
integrar,1,5,4,1,1,0,1
xerar,8,6,2,1,-1,0,1
prever,25,2,23,1,-1,0,1
ter,2,14,12,1,1,0,1
acadar,7,4,3,1,-1,0,1
observar,2,4,2,1,1,0,1
protexer,9,13,4,1,1,0,1
experimentar,3,4,1,1,1,0,1
enfrontar,3,3,0,0,1,0,1
obter,21,5,16,1,-1,0,1
trazar,3,21,18,1,1,0,1
xogar,2,5,3,1,1,0,1
impedir,9,18,9,1,1,0,1
concretar,1,14,13,1,1,0,1
comparar,10,6,-4,-1,1,0,1
conformar,2,3,1,1,1,0,1
producir,4,19,15,1,1,0,1
atopar,2,4,2,1,1,0,1
explicar,2,2,0,0,-1,0,1
adxudicar,4,9,5,1,1,0,1
resolver,32,5,27,1,-1,0,1
ter,2,5,3,1,1,0,1
introducir,5,7,2,1,1,0,1
ter,1,8,7,1,1,0,1
previr,5,3,-2,-1,1,0,1
realizar,1,17,16,1,1,0,1
conseguir,9,4,-5,-1,1,0,1
regular,23,3,20,1,-1,0,1
recaer,14,2,12,1,-1,1,1
realizar,35,2,33,1,-1,0,1
superar,3,5,2,1,1,0,1
ir,5,2,3,1,-1,0,1
analizar,4,30,26,1,1,0,1
conseguir,2,3,1,1,1,0,1
sacrificar,1,7,6,1,1,0,1
cambiar,7,6,-1,-1,1,0,1
impulsar,7,3,4,1,-1,0,1
haber,1,18,17,1,1,0,1
facer,3,6,3,1,1,0,1
aportar,48,4,44,1,-1,0,1
ter,1,2,1,1,1,1,1
seleccionar,1,13,12,1,1,0,1
establecer,5,2,-3,-1,1,-1,1
considerar,20,4,16,1,-1,0,1
permitir,3,31,28,1,1,0,1
constituen,3,15,12,1,1,0,1
comentar,2,18,16,1,1,0,1
rebaixar,4,4,0,0,1,0,1
situar,1,4,3,1,1,1,1
comparar,5,14,9,1,1,0,1
presentar,3,5,2,1,1,0,1
conseguir,2,3,1,1,1,0,1
marcar,10,7,-3,-1,1,0,1
manter,22,3,19,1,-1,0,1
centrar,2,3,1,1,1,0,1
ter,2,35,33,1,1,0,1
entender,3,5,2,1,1,0,1
reanalizaron,2,4,2,1,1,0,1
avaliar,2,6,4,1,1,0,1
triplicar,5,2,-3,-1,1,0,1
analizar,5,8,3,1,1,0,1
sofrer,3,11,8,1,1,0,1
complementar,9,4,-5,-1,1,0,1
denunciar,27,2,25,1,-1,0,1
pertencer,2,4,2,1,1,0,1
observar,3,10,7,1,1,0,1
percibir,10,9,-1,-1,1,0,1
destacar,5,3,2,1,-1,0,1
presentar,12,7,-5,-1,1,0,1
encontrar,1,2,1,1,1,-1,1
xogar,2,28,26,1,1,0,1
definímo-la,1,3,2,1,1,0,1
introducir,3,7,4,1,1,0,1
romper,1,4,3,1,1,0,1
constituír,3,6,3,1,1,0,1
contribuír,9,3,6,1,-1,0,1
afrontar,2,7,5,1,1,0,1
avaliar,4,6,2,1,1,0,1
situar,1,14,13,1,1,1,1
conceder,4,3,1,1,-1,0,1
crecer,6,4,-2,-1,1,0,1
ter,31,2,29,1,-1,0,1
compensar,3,3,0,0,1,0,1
explicar,20,2,18,1,-1,0,1
prescindir,5,3,2,1,-1,0,1
facer,1,3,2,1,1,0,1
pesar,9,11,-2,-1,-1,0,1
ver,1,7,6,1,1,0,1
ter,4,7,3,1,1,0,1
depor,1,3,2,1,1,1,1
reducir,2,4,2,1,1,0,1
ter,25,2,23,1,-1,0,1
cambiar,3,4,1,1,1,0,1
contar,23,4,19,1,-1,0,1
expedir,6,5,1,1,-1,0,1
ver,1,2,1,1,1,1,1
aceptar,1,6,5,1,1,0,1
dirixir,3,13,10,1,1,0,1
unir,4,7,3,1,1,0,1
cumprir,1,3,-2,-1,-1,0,1
exceptuar,4,10,6,1,1,0,1
efectuar,1,36,35,1,1,0,1
recoller,4,4,0,0,1,0,1
entrar,26,2,24,1,-1,0,1
caracterizar,3,10,7,1,1,0,1
conleva,2,6,4,1,1,0,1
aceptar,10,3,7,1,-1,0,1
facer,1,9,8,1,1,0,1
obter,5,14,9,1,1,0,1
prever,2,22,20,1,1,-1,1
presentar,3,4,1,1,1,0,1
presentar,7,6,-1,-1,1,0,1
editar,6,13,7,1,1,0,1
estender,3,18,15,1,1,0,1
asoballar,3,2,-1,-1,1,0,1
figurar,6,5,-1,-1,1,0,1
homoxeneizar,5,4,-1,-1,1,0,1
deseñar,7,3,-4,-1,1,0,1
demandar,4,32,28,1,1,0,1
configurar,11,3,8,1,-1,0,1
operar,11,4,7,1,-1,0,1
ofrecer,2,4,2,1,1,1,1
elaborar,4,30,26,1,1,0,1
exercitar,10,3,-7,-1,1,0,1
apreciar,28,2,26,1,-1,0,1
transformar,4,5,1,1,1,0,1
xurdir,3,4,1,1,1,0,1
presentar,3,4,1,1,1,0,1
devir,6,3,3,1,-1,0,1
solicitar,9,3,6,1,-1,0,1
anticipar,2,3,1,1,1,0,1
dixitalizar,4,22,18,1,1,0,1
resultar,32,3,29,1,-1,0,1
eliminar,6,6,0,0,1,0,1
deixar,6,3,3,1,-1,0,1
permitir,2,2,0,0,-1,0,1
respectar,6,7,1,1,1,0,1
realizar,2,4,2,1,1,0,1
traducir,1,4,3,1,1,1,1
