Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
freuen,1,4,3,1,1,1,1
machen,8,5,3,1,-1,0,1
herrschen,3,4,1,1,1,0,1
tragen,1,3,-2,-1,-1,0,1
wünschen,1,12,11,1,1,0,1
verlassen,2,4,-2,-1,-1,0,1
haben,2,3,-1,-1,-1,0,1
wünschen,3,4,-1,-1,-1,0,1
fühlen,1,7,6,1,1,1,1
drehen,2,3,1,1,1,0,1
zeigen,1,4,3,1,1,1,1
stehen,3,3,0,0,1,0,1
bekommen,3,8,-5,-1,-1,0,1
beauftragen,4,4,0,0,1,0,1
finden,7,4,3,1,-1,0,1
freuen,1,3,2,1,1,1,1
freuen,1,7,6,1,1,1,1
haben,3,3,0,0,-1,0,1
bieten,5,3,-2,-1,1,0,1
bieten,4,3,1,1,-1,0,1
freuen,1,3,2,1,1,1,1
freuen,1,3,2,1,1,1,1
haben,1,3,2,1,1,1,1
haben,2,4,2,1,1,0,1
zahlen,4,8,4,1,1,0,1
operieren,3,3,0,0,1,0,1
fühlen,1,2,1,1,1,1,1
heben,1,11,10,1,1,1,1
lassen,1,6,5,1,1,1,1
geben,2,3,-1,-1,-1,0,1
haben,1,3,2,1,1,1,1
stellen,2,3,-1,-1,-1,0,1
geben,3,3,0,0,-1,0,1
zeigen,2,3,-1,-1,-1,0,1
haben,2,3,1,1,1,0,1
lernen,2,17,15,1,1,0,1
machen,3,4,1,1,1,0,1
zeichnen,2,4,2,1,1,0,1
vermitteln,4,7,3,1,1,0,1
haben,2,6,4,1,1,0,1
haben,6,7,1,1,1,0,1
überzeugen,1,6,5,1,1,1,1
haben,3,2,-1,-1,1,-1,1
kümmern,1,4,3,1,1,1,1
verbringen,2,3,1,1,1,0,1
genießen,4,3,1,1,-1,0,1
zahlen,10,2,8,1,-1,0,1
erwarten,4,3,1,1,-1,0,1
fordern,5,2,3,1,-1,0,1
signalisieren,2,3,-1,-1,-1,0,1
entwickeln,1,6,5,1,1,1,1
erwarten,3,4,1,1,1,0,1
stellen,2,3,1,1,1,0,1
registrieren,1,3,2,1,1,0,1
übernehmen,6,5,1,1,-1,0,1
stellen,5,5,0,0,-1,0,1
verbuchen,2,8,6,1,1,0,1
schaffen,4,3,1,1,-1,0,1
machen,1,3,2,1,1,0,1
erwarten,4,2,2,1,-1,1,1
haben,4,3,-1,-1,1,1,1
präsentieren,19,3,16,1,-1,0,1
verlieren,2,3,1,1,1,0,1
haben,4,3,1,1,-1,0,1
lehnen,3,3,0,0,1,0,1
haben,2,2,0,0,1,1,1
entzünden,1,11,10,1,1,1,1
bemühen,1,4,3,1,1,1,1
haben,3,2,-1,-1,1,-1,1
ändern,1,5,4,1,1,1,1
haben,3,3,0,0,-1,0,1
brauchen,2,2,0,0,1,-1,1
stürmen,3,6,3,1,1,0,1
schreiben,2,5,-3,-1,-1,0,1
graben,13,3,10,1,-1,0,1
stellen,1,15,14,1,1,1,1
feiern,2,8,6,1,1,0,1
konzentrieren,1,11,10,1,1,1,1
machen,2,6,4,1,1,0,1
wollen,3,2,-1,-1,1,-1,1
erwarten,3,4,-1,-1,-1,0,1
kündigen,3,8,5,1,1,0,1
entlassen,2,3,1,1,1,0,1
haben,3,4,-1,-1,-1,0,1
bezeichnen,3,8,5,1,1,0,1
handeln,1,12,11,1,1,1,1
erhoffen,19,3,16,1,-1,0,1
bekommen,2,3,1,1,1,0,1
zerstören,3,4,1,1,1,0,1
begründen,2,4,2,1,1,0,1
säubern,2,2,0,0,1,0,1
haben,3,3,0,0,-1,0,1
nehmen,3,6,-3,-1,-1,0,1
bezwingen,8,6,2,1,-1,0,1
erreichen,6,5,1,1,-1,0,1
bringen,2,4,2,1,1,0,1
studieren,3,2,-1,-1,1,0,1
simulieren,4,3,-1,-1,1,0,1
erreichen,8,6,2,1,-1,0,1
bestehen,2,4,2,1,1,0,1
studieren,1,5,4,1,1,0,1
sehen,4,5,1,1,1,0,1
holen,9,2,-7,-1,1,0,1
gründen,9,8,1,1,-1,0,1
absolvieren,1,16,15,1,1,0,1
qualifizieren,1,20,19,1,1,1,1
bekommen,5,3,2,1,-1,0,1
stellen,1,2,1,1,1,0,1
entfernen,1,4,3,1,1,1,1
geben,1,10,9,1,1,0,1
haben,9,5,4,1,-1,0,1
beteiligen,1,4,3,1,1,1,1
setzen,1,5,4,1,1,1,1
entwässern,2,3,-1,-1,-1,0,1
haben,2,2,0,0,-1,0,1
gewinnen,9,6,3,1,-1,0,1
stellen,1,15,14,1,1,1,1
unterhalten,2,5,-3,-1,-1,0,1
beschäftigen,3,4,-1,-1,-1,0,1
verarbeiten,7,3,4,1,-1,0,1
gewinnen,4,7,3,1,1,0,1
widmen,1,2,1,1,1,0,1
weisen,4,4,0,0,-1,0,1
stellen,2,4,2,1,1,0,1
gewinnen,1,8,-7,-1,-1,0,1
sprechen,1,14,13,1,1,1,1
fesseln,2,8,6,1,1,0,1
suchen,3,3,0,0,-1,0,1
beginnen,2,11,9,1,1,0,1
finden,1,4,3,1,1,1,1
weisen,1,5,4,1,1,1,1
veröffentlichen,4,5,-1,-1,-1,0,1
versammeln,36,8,-28,-1,1,0,1
sammeln,1,4,3,1,1,0,1
führen,2,4,-2,-1,-1,0,1
schreiben,4,4,0,0,1,0,1
studieren,1,13,12,1,1,0,1
ermöglichen,1,15,14,1,1,1,1
schreiben,3,2,1,1,-1,0,1
richten,2,5,-3,-1,-1,0,1
bitten,1,2,1,1,1,0,1
gründen,3,2,-1,-1,1,0,1
braten,1,5,4,1,1,0,1
leihen,2,3,-1,-1,-1,0,1
überliefern,7,9,-2,-1,-1,0,1
lassen,1,6,5,1,1,1,1
handeln,1,25,24,1,1,1,1
