Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
freuen,,Acc,sich,auf jede Minute Behandlung,1,4,-3,2,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
machen,,Acc,seine ganz eigene Politik oder besser gesagt Show,auf die Kosten der Patienten,8,5,3,11,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
herrschen,,Acc,eine nette Stimmung,in dem ganzen Salon,3,4,-1,3,7,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
tragen,,Dat,Kontaktlinsen,seit 3 Monaten,1,3,-2,4,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
wünschen,,Acc,Untersuchung,in dem Hinblick auf Gegenanzeigen und Hinderungsgründe für das Tragen von Kontaktlinsen,1,12,-11,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
verlassen,,Acc,das Untersuchungszimmer,ohne ein weiteres Wort,2,4,-2,7,5,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
haben,,Acc,genügend Platz,zu 8 Personen,2,3,-1,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
wünschen,,Acc,einen vollen Erfolg,für die Saison 2010,3,4,-1,10,7,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
fühlen,,Acc,sich,an einem warmen Frühlingssonntag in dem April,1,7,-6,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
drehen,,Acc,das Wort,in dem Munde,2,3,-1,3,6,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zeigen,,Acc,sich,in Bezug auf Roaccutan,1,4,-3,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
stehen,,Nom,viele kostenlose Parkplätze,zu der Verfügung,3,3,0,3,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
bekommen,,Acc,volle 5 Sterne,für den Service die Speisen und das Ambiente,3,8,-5,12,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
beauftragen,,Acc,die Firma Ideengut Berroth,schon seit vielen Jahren,4,4,0,4,9,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
finden,,Acc,eine große Auswahl an verschiedenen chinesischen Spezialiäten,auf der einen Seite,7,4,3,8,5,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
freuen,,Acc,mich,auf ein Wiedersehen,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
freuen,,Acc,uns,auf ein Wiedersehen jetzt in dem Dezember,1,7,-6,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
haben,,Acc,ein schlechtes Bild,in beiden Zimmern,3,3,0,7,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
bieten,,Acc,gute bis sehr gute Qualität,zu annehmbaren Preisen,5,3,2,5,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
bieten,,Acc,keine besonders gute Leistung,für den Preis,4,3,1,7,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
freuen,,Acc,mich,auf ein Feedback,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
freuen,,Acc,mich,auf weitere Geschäfte,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
haben,,,viel,auf dem Teller,1,3,-2,1,4,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
haben,,Acc,sein Rad,nach ein paar Tagen,2,4,-2,3,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
