Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
haben,2,2,0,0,-1,-1,1
finden,1,3,-2,-1,-1,1,1
haben,3,3,0,0,-1,0,1
bekommen,2,3,1,1,1,0,1
nehmen,1,2,-1,-1,-1,0,1
erklären,1,3,-2,-1,-1,1,1
bestellen,1,6,5,1,1,0,1
haben,1,3,-2,-1,-1,0,1
geben,4,5,1,1,1,0,1
ausstatten,2,3,-1,-1,-1,0,1
trinken,3,3,0,0,1,0,1
weiterempfehlen,2,3,-1,-1,-1,0,1
sehen,1,2,1,1,1,1,1
lassen,2,3,-1,-1,-1,0,1
ausstatten,3,9,-6,-1,-1,0,1
ergänzen,1,3,-2,-1,-1,1,1
versehen,2,3,-1,-1,-1,0,1
schieben,1,3,-2,-1,-1,1,1
haben,2,3,-1,-1,-1,0,1
verlieren,1,3,-2,-1,-1,1,1
essen,3,3,0,0,1,0,1
kaufen,2,2,0,0,-1,0,1
kennenlernen,2,5,-3,-1,-1,0,1
einladen,3,3,0,0,-1,0,1
machen,6,4,2,1,-1,0,1
entscheiden,1,4,-3,-1,-1,1,1
bekommen,2,2,0,0,1,0,1
haben,2,5,-3,-1,-1,0,1
äußern,1,5,-4,-1,-1,1,1
auszahlen,1,3,-2,-1,-1,1,1
zahlen,2,3,-1,-1,-1,0,1
versuchen,1,5,-4,-1,-1,1,1
nutzen,2,3,1,1,1,0,1
verschlagen,2,4,2,1,1,0,1
machen,1,4,-3,-1,-1,0,1
verbringen,2,2,0,0,-1,0,1
genießen,1,3,-2,-1,-1,1,1
abbrechen,2,3,-1,-1,-1,0,1
weiterempfehlen,2,2,0,0,-1,0,1
empfehlen,2,4,2,1,1,0,1
erhalten,1,9,-8,-1,-1,1,1
machen,2,3,-1,-1,-1,0,1
besuchen,2,3,1,1,1,0,1
bekommen,4,4,0,0,-1,0,1
wechseln,1,3,2,1,1,0,1
machen,3,3,0,0,1,0,1
bekommen,6,3,-3,-1,1,0,1
hören,1,4,3,1,1,0,1
verbringen,2,3,-1,-1,-1,0,1
beraten,1,6,-5,-1,-1,1,1
akzeptieren,2,3,-1,-1,-1,0,1
sehen,2,3,-1,-1,-1,0,1
lassen,1,4,-3,-1,-1,1,1
reservieren,2,3,1,1,1,0,1
machen,3,3,0,0,1,0,1
kaufen,4,3,1,1,-1,0,1
entschließen,1,3,-2,-1,-1,1,1
erfahren,1,4,-3,-1,-1,1,1
fühlen,1,2,-1,-1,-1,1,1
gönnen,3,6,3,1,1,0,1
verbringen,2,4,-2,-1,-1,0,1
einbauen,3,3,0,0,-1,0,1
stecken,3,3,0,0,-1,0,1
handeln,1,4,-3,-1,-1,1,1
feiern,2,4,-2,-1,-1,0,1
machen,2,4,-2,-1,-1,0,1
aufbauen,2,7,5,1,1,0,1
kennenlernen,3,3,0,0,1,0,1
ärgern,1,3,-2,-1,-1,1,1
äußern,1,2,-1,-1,-1,0,1
verschreiben,1,3,-2,-1,-1,0,1
beraten,1,5,-4,-1,-1,1,1
einbringen,3,3,0,0,-1,0,1
reißen,2,3,-1,-1,-1,0,1
einstellen,1,5,-4,-1,-1,1,1
zulassen,5,2,3,1,-1,0,1
