Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
πετυχαίνω,2,5,3,1,1,0,1
μειώνω,2,3,1,1,1,0,1
αποτελώ,18,3,15,1,-1,0,1
μεταφέρω,2,8,6,1,1,0,1
ανοίγω,1,14,13,1,1,0,1
παραδίνω,1,11,10,1,1,0,1
ανανεώνω,8,8,0,0,1,0,1
χρησιμοποιώ,8,7,-1,-1,1,0,1
βασίζω,2,10,8,1,1,0,1
παρέχω,1,2,1,1,1,0,1
χρησιμοποιώ,5,5,0,0,1,0,1
εντάσσω,4,2,-2,-1,1,-1,1
έχω,14,4,10,1,-1,0,1
αναμένω,10,3,7,1,-1,0,1
αποτελώ,1,10,9,1,1,-1,1
ασκώ,1,7,6,1,1,0,1
συνδυάζω,4,5,1,1,1,0,1
παίρνω,3,14,11,1,1,0,1
περιλαμβάνω,1,12,11,1,1,0,1
διατηρώ,3,2,-1,-1,1,-1,1
τρέφω,2,16,14,1,1,-1,1
θέτω,1,2,1,1,1,-1,1
εξετάζω,8,22,14,1,1,0,1
πετυχαίνω,2,5,3,1,1,0,1
στέλνω,1,4,3,1,1,0,1
ξεκινώ,4,17,13,1,1,0,1
ενώνω,4,4,0,0,1,0,1
συγχαίρω,3,19,16,1,1,0,1
προκαλώ,3,3,0,0,-1,0,1
έχω,10,3,7,1,-1,0,1
έχω,2,4,2,1,1,0,1
αποδίδω,6,3,3,1,-1,0,1
διαδραματίζω,4,11,7,1,1,0,1
αναμένω,6,3,3,1,-1,0,1
ενθαρρύνω,3,2,1,1,-1,0,1
συνεχίζω,8,2,6,1,-1,0,1
θεσπίζω,11,4,7,1,-1,0,1
διακρίνω,3,12,9,1,1,0,1
κρίνω,8,8,0,0,1,0,1
προσφέρω,15,3,12,1,-1,0,1
κρίνω,3,6,3,1,1,0,1
ενισχύω,3,3,0,0,1,0,1
ενθαρρύνω,2,2,0,0,-1,0,1
ενισχύω,3,3,0,0,1,0,1
διασφαλίζω,7,8,-1,-1,-1,0,1
θέτω,12,4,8,1,-1,0,1
αναζητώ,1,3,2,1,1,0,1
επιλέγω,11,2,9,1,-1,0,1
αναζητώ,1,5,4,1,1,0,1
πείθω,2,4,-2,-1,-1,0,1
βοηθώ,2,3,1,1,1,0,1
βοηθώ,2,11,9,1,1,0,1
στέλνω,1,3,2,1,1,0,1
στέλνω,4,11,7,1,1,0,1
εντοπίζω,5,5,0,0,-1,0,1
προκαλώ,1,6,5,1,1,0,1
επισκέπτομαι,3,3,0,0,1,0,1
στέλνω,1,4,3,1,1,0,1
ευχαριστώ,2,5,3,1,1,0,1
τελειώνω,3,15,12,1,1,0,1
δίνω,8,19,11,1,1,0,1
θεωρώ,4,3,-1,-1,1,0,1
προξενώ,2,3,1,1,1,0,1
οδηγώ,5,7,2,1,1,0,1
έχω,2,3,1,1,1,0,1
προσελκύω,1,3,2,1,1,0,1
αλλάζω,13,3,10,1,-1,0,1
ωφελώ,2,4,2,1,1,0,1
δημιουργώ,3,3,0,0,1,0,1
συνεχίζω,4,4,0,0,1,0,1
υπόσχομαι,2,3,1,1,1,0,1
δίνω,7,3,4,1,-1,0,1
αρνιέμαι,7,3,4,1,-1,0,1
