Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
πετυχαίνω,,Acc,δύο τέρματα,με τους Όσκαρ ντε Μάρκος,2,5,-3,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
μειώνω,,,το σκορ,για την Μάντσεστερ,2,3,-1,2,5,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
αποτελώ,,Acc,το δρόμο μέσω του οποίου ο Άδης μετέφερε τις ψυχές σ το βασίλειό του σ τη λίμνη Αχερουσία,κατά τη μυθολογία,18,3,15,5,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
μεταφέρω,,Acc,τις ψυχές,σ το βασίλειό του σ τη λίμνη Αχερουσία,2,8,-6,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ανοίγω,,Acc,πυρ,με αποτέλεσμα πέντε άτομα να χάσουν τη ζωή τους και άλλα είκοσι να τραυματιστούν,1,14,-13,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
παραδίνω,,Acc,προμήθειες,σε περιοχές κοντά σ την γειτονιά Μπάμπα Αμρ της πόλης Χομς,1,11,-10,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ανανεώνω,,Acc,την συμφωνία για την χρήση τοπικού σταθμού ανεφοδιασμού,μετά την λήξη της τον Ιούλιο του 2014,8,8,0,2,11,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
χρησιμοποιώ,,Acc,τον εναέριο χώρο της και σιδηροδρομικές γραμμές της,για την μεταφορά προμηθειών σ το Αφγανιστάν,8,7,1,3,11,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
βασίζω,,Acc,μια συνεργασία,σ την έννοια της εκτέλεσης της απόφασης του κράτους έκδοσης,2,10,-8,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
παρέχω,,Acc,συνεργασία,κατόπιν αιτήσεως,1,2,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
χρησιμοποιώ,,Acc,το υπάρχον σύστημα σημείων επαφής,σ το Ευρωπαϊκό Δικαστικό Δίκτυο,5,5,0,3,10,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
