Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
הגיש,2,2,0,0,-1,1,1
אחז,1,4,-3,-1,-1,0,1
הוציא,3,5,2,1,1,0,1
תקף,3,6,3,1,1,0,1
ניפץ,3,3,0,0,1,0,1
פצע,5,4,-1,-1,1,0,1
הסיר,3,20,17,1,1,0,1
תקף,20,2,18,1,-1,0,1
יידה,1,2,1,1,1,0,1
הגדיר,11,2,-9,-1,1,0,1
פצע,2,3,1,1,1,1,1
ניפץ,19,3,16,1,-1,0,1
ניהל,2,18,16,1,1,0,1
הוביל,2,16,14,1,1,1,1
תיעד,6,2,4,1,-1,0,1
הלך,1,7,6,1,1,0,1
מחק,2,10,8,1,1,0,1
קבע,7,8,1,1,1,0,1
אפיין,8,7,1,1,-1,0,1
מצא,2,29,27,1,1,1,1
נשא,2,11,9,1,1,0,1
ציווה,3,2,1,1,-1,1,1
ביטא,2,4,2,1,1,1,1
הדליק,2,5,3,1,1,0,1
הביא,2,29,27,1,1,0,1
שאב,4,10,6,1,1,0,1
פתח,3,2,-1,-1,1,-1,1
הפקיע,3,2,1,1,-1,1,1
החדיר,20,5,15,1,-1,0,1
חיפש,3,2,1,1,-1,1,1
הפיק,14,2,12,1,-1,1,1
הביע,4,5,1,1,1,0,1
המציא,3,6,3,1,1,0,1
הזעיק,3,5,2,1,1,0,1
הצית,6,4,2,1,-1,0,1
הרחיב,8,7,-1,-1,1,0,1
הרים,7,6,-1,-1,1,0,1
שם,1,3,2,1,1,0,1
סיבך,3,12,9,1,1,0,1
נקם,3,5,2,1,1,0,1
הקל,1,36,35,1,1,0,1
הכין,7,5,2,1,-1,0,1
סימן,2,4,2,1,1,1,1
ביצע,1,6,5,1,1,0,1
רצח,2,3,1,1,1,0,1
למד,1,12,11,1,1,0,1
סילק,2,3,1,1,1,1,1
ראה,2,3,-1,-1,-1,0,1
חנן,1,8,7,1,1,0,1
השמיע,4,3,-1,-1,1,0,1
שם,1,7,6,1,1,0,1
פתר,2,20,18,1,1,1,1
ראה,3,4,-1,-1,-1,0,1
שחרר,9,4,-5,-1,1,0,1
מנע,2,3,1,1,1,0,1
העביר,3,3,0,0,1,0,1
תיאר,2,8,6,1,1,1,1
תיאר,2,11,9,1,1,1,1
שלף,2,4,-2,-1,-1,0,1
קרע,2,2,0,0,1,1,1
עשה,2,5,3,1,1,0,1
ייצג,2,4,2,1,1,1,1
הציג,6,3,-3,-1,1,0,1
העריך,7,2,5,1,-1,0,1
שמע,8,2,6,1,-1,1,1
עשה,1,5,4,1,1,0,1
העניק,7,2,5,1,-1,1,1
נטע,2,11,9,1,1,0,1
שחזר,14,4,10,1,-1,0,1
שיתף,1,3,2,1,1,0,1
גרר,2,4,2,1,1,1,1
ירה,2,2,0,0,1,0,1
צחק,2,2,0,0,-1,1,1
שטף,2,4,2,1,1,0,1
שאל,2,3,1,1,1,1,1
עשה,3,16,13,1,1,0,1
ייסר,2,5,3,1,1,1,1
מסר,2,9,7,1,1,0,1
שלח,5,2,3,1,-1,1,1
אימץ,2,3,1,1,1,1,1
נוצר,2,2,0,0,-1,1,1
עורר,1,16,15,1,1,0,1
ניהל,1,6,5,1,1,0,1
רשם,12,6,6,1,-1,0,1
פתח,5,4,1,1,-1,0,1
שם,3,13,10,1,1,0,1
שילב,5,5,0,0,-1,0,1
שם,1,5,4,1,1,0,1
הגדיר,2,3,1,1,1,1,1
חש,2,3,1,1,1,0,1
ראה,1,2,-1,-1,-1,1,1
_,2,3,-1,-1,-1,0,1
ראה,9,2,7,1,-1,0,1
חש,1,5,4,1,1,0,1
סינן,1,4,3,1,1,0,1
המשיך,5,2,3,1,-1,0,1
הדגים,6,6,0,0,-1,0,1
חיפש,1,3,2,1,1,0,1
הכניס,2,4,-2,-1,-1,0,1
לבש,2,4,-2,-1,-1,0,1
קרא,11,3,8,1,-1,0,1
דיכא,3,3,0,0,1,0,1
חיפש,6,2,4,1,-1,1,1
שם,1,2,1,1,1,0,1
ראה,3,5,2,1,1,0,1
זכר,2,7,5,1,1,1,1
נתן,1,4,3,1,1,0,1
נתן,1,8,7,1,1,0,1
קרא,1,2,-1,-1,-1,1,1
הרחיק,2,3,1,1,1,1,1
אימץ,3,5,2,1,1,0,1
השיב,1,8,7,1,1,0,1
הביא,3,5,-2,-1,-1,0,1
חזר,5,3,2,1,-1,0,1
ראה,13,2,11,1,-1,1,1
ראה,1,4,-3,-1,-1,0,1
גרם,2,2,0,0,1,0,1
האשים,2,11,9,1,1,1,1
ייחס,4,13,9,1,1,0,1
העניק,4,7,3,1,1,0,1
העדיף,7,18,11,1,1,0,1
זיכה,2,3,1,1,1,1,1
העניק,3,2,1,1,-1,1,1
_,2,4,2,1,1,1,1
החזיק,1,10,9,1,1,0,1
מצא,2,9,7,1,1,0,1
השאיר,4,2,2,1,-1,1,1
הוציא,2,4,2,1,1,1,1
העניק,3,2,-1,-1,1,0,1
שטף,1,4,3,1,1,0,1
העביר,22,3,19,1,-1,0,1
מצא,4,23,19,1,1,0,1
הרג,3,3,0,0,1,0,1
עיצב,2,2,0,0,1,1,1
משך,4,12,8,1,1,0,1
ראה,1,12,11,1,1,0,1
נתן,1,20,19,1,1,0,1
ראה,32,2,30,1,-1,1,1
ביטא,6,7,-1,-1,-1,0,1
העלה,3,3,0,0,-1,0,1
פינה,3,4,1,1,1,0,1
הקנה,4,2,2,1,-1,1,1
הביא,27,2,25,1,-1,1,1
גינה,2,5,3,1,1,1,1
מסר,4,19,15,1,1,0,1
סידר,2,2,0,0,-1,1,1
מצא,11,2,9,1,-1,0,1
הפך,8,7,-1,-1,1,0,1
ראה,2,3,1,1,1,1,1
לקח,2,7,5,1,1,1,1
לקח,2,2,0,0,1,0,1
ניהל,2,4,2,1,1,0,1
הציב,9,2,7,1,-1,0,1
קיבל,1,13,12,1,1,0,1
שלח,1,3,2,1,1,0,1
נשא,2,2,0,0,1,0,1
השלים,2,5,3,1,1,0,1
פנה,1,2,-1,-1,-1,1,1
פנה,1,2,-1,-1,-1,1,1
חיקה,6,3,3,1,-1,0,1
הותיר,4,2,2,1,-1,1,1
הביא,28,2,26,1,-1,0,1
הפך,3,9,6,1,1,0,1
הביא,3,2,1,1,-1,1,1
ביצע,9,4,5,1,-1,0,1
שמע,10,4,6,1,-1,0,1
סיגל,4,2,2,1,-1,1,1
הרשה,1,2,-1,-1,-1,1,1
הלעיט,2,2,0,0,1,0,1
הפך,3,5,2,1,1,0,1
העניק,8,2,6,1,-1,1,1
העניק,14,3,11,1,-1,0,1
הפך,2,6,4,1,1,1,1
ביקש,14,3,11,1,-1,0,1
שילב,4,4,0,0,-1,0,1
הושיט,2,2,0,0,-1,1,1
סינן,11,2,9,1,-1,1,1
נשא,4,2,2,1,-1,1,1
התיר,3,7,4,1,1,0,1
ראה,15,2,13,1,-1,1,1
האיר,4,5,1,1,1,0,1
חזה,4,19,15,1,1,0,1
העלה,9,4,5,1,-1,0,1
ראה,2,8,6,1,1,1,1
הגדיר,5,4,-1,-1,1,0,1
ראה,12,2,10,1,-1,0,1
שאב,6,2,4,1,-1,1,1
קרע,8,4,4,1,-1,0,1
הקנה,16,3,13,1,-1,0,1
הציע,13,2,11,1,-1,1,1
זימן,18,4,14,1,-1,0,1
_,6,2,4,1,-1,1,1
שם,1,3,2,1,1,0,1
המיט,2,2,0,0,1,0,1
חילק,6,3,-3,-1,1,0,1
פלט,23,7,16,1,-1,0,1
כיוון,4,9,5,1,1,0,1
שחרר,1,4,3,1,1,0,1
הניח,22,3,19,1,-1,0,1
קרא,1,6,5,1,1,0,1
_,3,8,-5,-1,-1,0,1
נגזר,13,2,11,1,-1,1,1
פרע,3,2,-1,-1,1,0,1
חרש,10,3,7,1,-1,0,1
תחם,3,6,3,1,1,0,1
העמיד,4,5,1,1,1,0,1
העמיד,2,4,2,1,1,1,1
העמיד,2,3,1,1,1,1,1
חולל,4,9,5,1,1,0,1
צירף,5,4,1,1,-1,0,1
השיג,2,5,-3,-1,-1,0,1
צייר,1,3,2,1,1,0,1
הדליף,3,3,0,0,1,0,1
צירף,2,4,-2,-1,-1,0,1
החזיר,5,3,2,1,-1,0,1
קיבל,4,2,2,1,-1,1,1
תלה,11,7,-4,-1,1,0,1
סיפק,4,3,1,1,-1,0,1
גרם,2,4,2,1,1,0,1
הפך,7,3,-4,-1,1,0,1
העמיד,6,23,17,1,1,0,1
חשב,13,3,-10,-1,1,0,1
שלח,1,6,5,1,1,0,1
שיגר,27,6,21,1,-1,0,1
תיאר,2,3,1,1,1,0,1
הציל,2,3,1,1,1,1,1
סמך,4,2,2,1,-1,1,1
העלה,6,4,2,1,-1,0,1
פטר,2,9,7,1,1,1,1
סיים,7,5,-2,-1,1,0,1
יישב,8,8,0,0,1,0,1
לימד,2,8,6,1,1,1,1
טפלל,4,4,0,0,1,0,1
עירבב,2,3,1,1,1,0,1
הותיר,3,5,2,1,1,0,1
מחק,2,3,1,1,1,0,1
הביע,1,11,10,1,1,0,1
השליט,3,3,0,0,1,0,1
העמיד,2,4,2,1,1,0,1
הקים,3,4,1,1,1,0,1
שלח,31,3,28,1,-1,0,1
שם,11,6,5,1,-1,0,1
הזמין,7,12,5,1,1,0,1
סיפר,3,2,1,1,-1,1,1
הגביה,4,7,3,1,1,0,1
ידע,4,3,-1,-1,1,0,1
למד,8,3,5,1,-1,0,1
חבש,1,4,3,1,1,0,1
לימד,3,5,2,1,1,0,1
שיגר,14,2,12,1,-1,0,1
הטיל,1,4,3,1,1,0,1
הצעיד,4,5,1,1,1,0,1
ניצח,3,4,-1,-1,-1,0,1
