Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
देख,9,2,-7,-1,1,0,1
रख,4,9,5,1,1,0,1
देख,11,3,8,1,-1,0,1
बसा,1,3,-2,-1,-1,0,1
बनवा,6,3,3,1,-1,0,1
कर,3,2,1,1,-1,0,1
निहार,1,3,-2,-1,-1,1,1
कह,1,2,1,1,1,0,1
बना,1,4,-3,-1,-1,1,1
देख,5,2,-3,-1,1,1,1
कर,5,2,3,1,-1,0,1
देख,5,3,-2,-1,1,0,1
डाल,1,3,2,1,1,0,1
जमा,2,3,1,1,1,0,1
ले,1,3,2,1,1,0,1
देख,7,5,-2,-1,1,0,1
बच,4,2,-2,-1,1,1,1
निहार,5,6,1,1,1,0,1
बदल,1,6,-5,-1,-1,1,1
कह,2,4,2,1,1,0,1
दे,1,2,-1,-1,-1,1,1
रख,8,6,-2,-1,1,0,1
दिखा,9,5,-4,-1,1,0,1
निहार,5,7,2,1,1,0,1
रख,6,3,-3,-1,1,0,1
बिता,2,8,6,1,1,0,1
कर,2,2,0,0,-1,0,1
दबा,1,2,1,1,1,0,1
लगा,2,4,2,1,1,0,1
है,3,3,0,0,1,1,1
कर,3,2,1,1,-1,-1,1
बन,3,3,0,0,-1,0,1
रख,6,3,-3,-1,1,0,1
पा,9,6,-3,-1,1,0,1
देख,5,2,-3,-1,1,0,1
बाँट,1,2,-1,-1,-1,1,1
जुड़,6,4,-2,-1,1,0,1
फिल्‍मा,11,3,-8,-1,1,0,1
हरा,5,2,3,1,-1,0,1
उकेर,9,3,-6,-1,1,0,1
देख,2,11,-9,-1,-1,0,1
कर,5,3,2,1,-1,0,1
रह,2,4,-2,-1,-1,0,1
उबाल,3,3,0,0,1,0,1
कर,5,2,-3,-1,1,0,1
रख,2,2,0,0,1,1,1
बना,6,3,-3,-1,1,0,1
बन,10,4,6,1,-1,0,1
बना,5,3,-2,-1,1,0,1
बना,5,2,-3,-1,1,1,1
कर,1,2,-1,-1,-1,0,1
खोल,2,3,1,1,1,0,1
रोक,3,4,1,1,1,0,1
कर,1,2,1,1,1,0,1
दिखा,2,3,1,1,1,0,1
करा,2,2,0,0,1,0,1
ले,2,11,-9,-1,-1,0,1
रख,1,2,1,1,1,0,1
कर,1,5,4,1,1,0,1
करा,2,2,0,0,1,0,1
कर,4,2,-2,-1,1,0,1
कर,7,9,2,1,1,0,1
बना,2,4,2,1,1,0,1
दे,2,2,0,0,1,0,1
उतार,2,2,0,0,-1,0,1
कर,10,5,-5,-1,1,0,1
कर,10,3,-7,-1,1,0,1
कर,2,2,0,0,1,0,1
भेज,2,3,-1,-1,-1,0,1
रख,5,3,-2,-1,1,0,1
जा,7,2,5,1,-1,0,1
कर,2,2,0,0,1,0,1
बता,9,6,3,1,-1,0,1
दे,4,2,-2,-1,1,1,1
बना,1,2,1,1,1,0,1
रख,1,2,-1,-1,-1,1,1
देख,9,5,4,1,-1,0,1
खरीद,1,4,-3,-1,-1,1,1
बना,6,2,4,1,-1,0,1
कर,2,2,0,0,1,0,1
पहना,3,4,1,1,1,0,1
पहन,3,7,-4,-1,-1,0,1
देख,1,3,-2,-1,-1,1,1
सौंप,2,10,-8,-1,-1,0,1
बना,2,2,0,0,-1,0,1
ला,3,3,0,0,1,0,1
रोक,1,2,1,1,1,0,1
कर,7,2,-5,-1,1,0,1
लगा,2,4,2,1,1,0,1
मंगवा,3,2,-1,-1,1,0,1
लगा,3,2,-1,-1,1,0,1
कर,2,2,0,0,1,0,1
कर,2,4,2,1,1,0,1
पड,12,2,-10,-1,1,0,1
कर,6,6,0,0,1,0,1
ले,2,2,0,0,-1,0,1
कर,1,3,2,1,1,0,1
ले,3,2,1,1,-1,0,1
करा,2,6,-4,-1,-1,0,1
कर,9,2,7,1,-1,0,1
कर,7,2,5,1,-1,1,1
मार,2,3,1,1,1,0,1
मार,2,3,1,1,1,0,1
मार,3,5,2,1,1,0,1
मार,2,2,0,0,1,0,1
मार,3,3,0,0,1,0,1
मार,2,3,1,1,1,0,1
मार,2,5,3,1,1,0,1
मार,3,4,1,1,1,0,1
मार,3,4,1,1,1,0,1
मार,2,3,1,1,1,0,1
मार,3,4,1,1,1,0,1
मार,3,5,2,1,1,0,1
मार,4,2,-2,-1,1,0,1
मार,3,4,1,1,1,0,1
मार,3,5,2,1,1,0,1
मार,5,5,0,0,1,0,1
लड,1,7,6,1,1,0,1
बना,2,4,2,1,1,0,1
उखाड,3,2,-1,-1,1,0,1
कह,6,3,-3,-1,1,0,1
चला,3,5,2,1,1,0,1
कर,2,3,1,1,1,0,1
पहुंचा,2,3,-1,-1,-1,0,1
कर,7,4,-3,-1,1,0,1
बढा,4,4,0,0,1,0,1
कर,3,3,0,0,1,0,1
ले,4,2,-2,-1,1,1,1
कर,3,12,9,1,1,0,1
पहुंच,3,11,8,1,1,0,1
पहुंच,3,2,-1,-1,1,0,1
पहुंचा,2,2,0,0,1,0,1
बेच,1,2,1,1,1,0,1
मिल,12,2,10,1,-1,0,1
कर,4,2,2,1,-1,0,1
ले,2,2,0,0,-1,0,1
ले,7,2,5,1,-1,0,1
ले,5,3,2,1,-1,0,1
हटा,1,4,3,1,1,0,1
कर,2,2,0,0,-1,-1,1
मना,2,2,0,0,1,1,1
कर,2,14,12,1,1,0,1
कर,4,2,-2,-1,1,0,1
कर,1,3,2,1,1,0,1
छोड,1,2,-1,-1,-1,0,1
है,3,2,-1,-1,1,1,1
कर,2,2,0,0,1,0,1
परोस,1,4,3,1,1,0,1
कर,1,3,2,1,1,0,1
भुना,6,3,-3,-1,1,0,1
हटा,1,2,1,1,1,0,1
हटा,1,2,1,1,1,0,1
हटा,1,2,1,1,1,0,1
बढ,2,6,4,1,1,0,1
रख,6,2,4,1,-1,0,1
बढा,4,2,-2,-1,1,0,1
जोड,3,3,0,0,-1,0,1
कर,1,5,4,1,1,0,1
जोड,5,5,0,0,-1,0,1
हट,3,2,-1,-1,1,1,1
कर,1,4,3,1,1,0,1
चला,1,2,1,1,1,0,1
कर,4,2,-2,-1,1,1,1
कर,2,2,0,0,1,0,1
फेंक,2,2,0,0,1,1,1
कर,3,2,-1,-1,1,1,1
बना,4,2,-2,-1,1,0,1
ला,3,2,1,1,-1,0,1
आ,6,4,-2,-1,1,0,1
कर,13,3,10,1,-1,0,1
लगा,11,7,-4,-1,1,0,1
दे,1,5,4,1,1,0,1
कर,6,15,9,1,1,0,1
हो,7,3,-4,-1,1,0,1
उगल,1,3,2,1,1,0,1
कर,1,7,6,1,1,0,1
रख,15,4,11,1,-1,0,1
रख,3,4,-1,-1,-1,0,1
