Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
mensarangkan,5,5,0,0,1,0,1
menbuat,2,2,0,0,1,0,1
terjadi,1,3,2,1,1,0,1
menrasa,1,2,1,1,1,0,1
menakui,2,3,1,1,1,0,1
menkenakan,1,10,9,1,1,0,1
menafkah,1,5,4,1,1,0,1
mengamputasi,9,4,-5,-1,1,0,1
jatuh,1,5,4,1,1,0,1
menlakukan,1,5,4,1,1,0,1
menlacak,4,2,-2,-1,1,0,1
disertifikasi,1,2,1,1,1,0,1
mencatat,1,4,3,1,1,0,1
mentulis,1,9,8,1,1,0,1
menubah,2,3,1,1,1,0,1
mentawarkan,6,8,2,1,1,0,1
menjadi,2,5,3,1,1,0,1
bernama,4,4,0,0,1,0,1
merupakan,6,22,16,1,1,0,1
menlarikan,1,10,9,1,1,0,1
ada,1,3,2,1,1,1,1
berbahasa,1,4,3,1,1,0,1
menhibur,1,4,3,1,1,0,1
menbawakan,6,3,-3,-1,1,0,1
menakhiri,2,2,0,0,1,0,1
merupakan,2,2,0,0,1,0,1
mentaruh,2,3,1,1,1,0,1
jatuh,1,16,15,1,1,0,1
menrekam,4,2,-2,-1,1,0,1
mensebutkan,3,3,0,0,1,0,1
menmulai,1,4,3,1,1,0,1
menunduh,3,17,14,1,1,0,1
mentindak,4,5,1,1,1,0,1
ada,1,4,3,1,1,0,1
menlakukan,1,16,15,1,1,1,1
masukkan,1,6,5,1,1,0,1
menbutuhkan,4,13,9,1,1,0,1
mencuri,2,3,1,1,1,-1,1
menberikan,4,18,14,1,1,0,1
menjabat,2,3,1,1,1,0,1
menbela,4,4,0,0,1,0,1
mendirikan,5,3,-2,-1,1,0,1
diterapkan,3,6,3,1,1,0,1
menloloskan,1,5,4,1,1,0,1
menjadi,2,4,2,1,1,0,1
disebut,6,2,4,1,-1,0,1
berbagi,1,3,2,1,1,0,1
menalihkan,1,4,3,1,1,0,1
menblokade,1,3,2,1,1,0,1
menbutuhkan,1,4,3,1,1,0,1
menjadikan,2,10,8,1,1,0,1
menperlukan,2,4,2,1,1,0,1
belajar,9,15,6,1,1,0,1
menjaga,1,3,2,1,1,0,1
mendapat,2,3,1,1,1,0,1
kelembaban,1,5,4,1,1,0,1
menbutuhkan,1,18,17,1,1,0,1
memnyebabkan,4,2,-2,-1,1,0,1
menjadi,2,9,7,1,1,0,1
menlakukan,1,6,5,1,1,0,1
menbalas,1,2,1,1,1,0,1
menalami,2,7,5,1,1,0,1
menpaksa,4,6,2,1,1,0,1
mengambarkan,2,3,1,1,1,0,1
menmiliki,2,5,3,1,1,0,1
menselesaikan,4,5,1,1,1,0,1
menresmikan,3,3,0,0,1,0,1
mendudukkan,5,12,7,1,1,0,1
menkembalikan,1,3,2,1,1,0,1
mentemukan,2,3,1,1,1,0,1
dirilis,1,4,3,1,1,0,1
menjadikan,1,6,5,1,1,0,1
menbawakan,4,10,6,1,1,0,1
menberikan,2,7,5,1,1,0,1
menambil,1,4,3,1,1,0,1
terdapat,4,4,0,0,1,0,1
mensemangati,2,2,0,0,1,0,1
mensarangkan,1,2,1,1,1,0,1
bermurah,1,7,6,1,1,-1,1
menjual,3,4,1,1,1,0,1
mensebabkan,1,2,1,1,1,-1,1
menlayani,1,2,1,1,1,0,1
mentunjuk,2,4,2,1,1,0,1
menpakai,1,3,2,1,1,0,1
mentonton,2,3,1,1,1,0,1
menserang,1,2,1,1,1,0,1
menakhiri,1,3,2,1,1,0,1
mentempatkan,3,4,1,1,1,0,1
bersifat,1,6,5,1,1,0,1
menbatalkan,1,3,2,1,1,0,1
menberikan,4,3,-1,-1,1,0,1
menproklamirkan,1,2,1,1,1,0,1
menberikan,2,2,0,0,1,0,1
menjadi,4,3,-1,-1,1,0,1
menlakukan,1,3,2,1,1,0,1
mencair,3,5,2,1,1,0,1
menambil,2,5,3,1,1,0,1
mentaklukkan,1,6,5,1,1,0,1
menraih,2,7,5,1,1,0,1
menluncurkan,1,2,1,1,1,0,1
mensamai,2,3,1,1,1,0,1
menperkenalkan,2,3,1,1,1,0,1
jatuh,1,3,2,1,1,0,1
mentinggalkan,5,2,-3,-1,1,0,1
menpunyai,5,19,14,1,1,0,1
menbedakan,1,2,1,1,1,0,1
menhubungkan,2,3,1,1,1,0,1
menjadi,1,3,2,1,1,0,1
mendominasi,1,2,1,1,1,0,1
terjadi,5,11,6,1,1,0,1
latih,1,2,1,1,1,1,1
menmasuki,2,2,0,0,1,0,1
mementaskan,9,4,-5,-1,1,0,1
menberitahu,2,12,10,1,1,0,1
menjadikan,18,3,-15,-1,1,0,1
menpertahankan,4,4,0,0,1,0,1
menpertahankan,3,2,-1,-1,1,0,1
menbayar,2,5,3,1,1,0,1
mennyatakan,1,9,8,1,1,0,1
menmulai,2,3,1,1,1,0,1
menmulai,2,3,1,1,1,0,1
menjadi,2,3,1,1,1,0,1
naik,1,3,2,1,1,0,1
belajar,1,3,2,1,1,0,1
menjadi,1,3,2,1,1,0,1
menlindungi,1,8,7,1,1,0,1
menserahkan,2,3,1,1,1,0,1
menlarikan,1,2,1,1,1,0,1
berjarak,2,4,2,1,1,0,1
mentiru,2,12,10,1,1,0,1
menkirimkan,3,6,3,1,1,0,1
menlayani,3,3,0,0,1,0,1
menadakan,2,6,4,1,1,0,1
menlakukan,1,2,1,1,1,0,1
diterbitkan,1,3,2,1,1,0,1
mennamakan,4,15,11,1,1,0,1
menikuti,1,6,5,1,1,0,1
menberikan,1,2,1,1,1,0,1
menmonopoli,1,3,2,1,1,0,1
menbiarkan,1,2,1,1,1,1,1
menbuat,1,2,1,1,1,1,1
menlakukan,3,3,0,0,1,0,1
ada,3,16,13,1,1,0,1
mendaftarkan,3,4,1,1,1,0,1
menjadi,2,3,1,1,1,0,1
menjadi,2,4,2,1,1,0,1
mentampilkan,10,6,-4,-1,1,0,1
menjadi,5,3,-2,-1,1,0,1
membentengi,1,4,3,1,1,0,1
menundurkan,1,2,1,1,1,0,1
menpatuhi,2,8,6,1,1,0,1
ada,2,5,3,1,1,0,1
menperkuat,2,4,2,1,1,0,1
menhilangkan,3,2,-1,-1,1,0,1
mendirikan,2,6,4,1,1,0,1
mendirikan,1,5,4,1,1,0,1
menbentuk,1,2,1,1,1,0,1
menkembalikan,4,5,1,1,1,0,1
mengunakan,3,3,0,0,1,0,1
menlibatkan,2,4,2,1,1,0,1
menpegang,1,7,6,1,1,0,1
menpecahkan,1,11,10,1,1,0,1
mentetapkan,10,7,-3,-1,1,0,1
menlakukan,1,2,1,1,1,0,1
dipertanyakan,1,3,2,1,1,0,1
mengunakan,5,4,-1,-1,1,0,1
ada,8,4,-4,-1,1,0,1
menikuti,1,4,3,1,1,0,1
menselesaikan,4,13,9,1,1,0,1
menpunyai,5,6,1,1,1,0,1
menbelenggu,1,3,2,1,1,0,1
berkisar,3,15,12,1,1,0,1
menduduki,12,6,-6,-1,1,0,1
mensebabkan,1,3,2,1,1,0,1
menjadi,1,3,2,1,1,0,1
menkalahkan,2,4,2,1,1,0,1
ada,2,5,3,1,1,0,1
merupakan,8,16,8,1,1,0,1
mennyatakan,4,4,0,0,1,0,1
menpelajari,1,4,3,1,1,0,1
dimulai,2,12,10,1,1,0,1
menperoleh,2,4,2,1,1,0,1
menbentuk,1,13,12,1,1,0,1
mensatukan,2,3,1,1,1,0,1
menjabat,2,3,1,1,1,0,1
mengunakan,1,5,4,1,1,0,1
