Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
bronn,4,3,-1,-1,1,0,1
tabhair,1,5,-4,-1,-1,-1,1
tabhair,1,8,7,1,1,0,1
bronn,1,9,8,1,1,1,1
bain,3,9,6,1,1,0,1
fág,2,2,0,0,1,0,1
cuir,1,2,1,1,1,0,1
measc,3,2,-1,-1,1,0,1
tabhair,1,18,17,1,1,0,1
pléigh,4,3,-1,-1,1,0,1
tabhair,7,2,5,1,-1,0,1
tarraing,2,6,4,1,1,0,1
úsáid,3,18,15,1,1,0,1
deon,2,6,4,1,1,0,1
déan,2,3,1,1,1,0,1
cas,1,3,-2,-1,-1,-1,1
fág,8,2,6,1,-1,0,1
foilsigh,2,4,2,1,1,0,1
pléigh,2,3,1,1,1,0,1
tabhair,3,2,-1,-1,1,0,1
caith,2,5,3,1,1,0,1
tabhair,1,3,2,1,1,0,1
cuir,3,2,-1,-1,1,0,1
tabhair,2,5,3,1,1,0,1
déan,1,4,3,1,1,0,1
doirt,2,4,2,1,1,0,1
déan,1,21,20,1,1,0,1
faigh,2,4,2,1,1,0,1
feic,10,2,8,1,-1,-1,1
cothaigh,2,4,2,1,1,0,1
tabhair,2,3,1,1,1,0,1
bunaigh,4,2,-2,-1,1,0,1
roinn,2,3,1,1,1,0,1
tabhair,6,26,20,1,1,0,1
tabhair,1,7,6,1,1,0,1
tabhair,2,2,0,0,1,0,1
cas,1,16,15,1,1,0,1
faigh,3,2,-1,-1,1,0,1
tóg,2,2,0,0,1,0,1
caith,2,2,0,0,1,0,1
fág,2,5,3,1,1,0,1
déan,1,13,12,1,1,0,1
déan,1,3,2,1,1,0,1
athraigh,2,6,4,1,1,0,1
fág,3,5,2,1,1,0,1
abair,1,2,-1,-1,-1,-1,1
tabhair,2,2,0,0,1,0,1
bain,2,2,0,0,1,0,1
rialaigh,1,9,8,1,1,0,1
tabhair,1,3,-2,-1,-1,-1,1
leag,1,3,-2,-1,-1,-1,1
éirigh,3,3,0,0,1,0,1
cuir,2,3,1,1,1,0,1
faigh,1,4,3,1,1,0,1
déileáil,11,6,5,1,-1,0,1
sáigh,1,2,-1,-1,-1,-1,1
ndícheannaigh,1,2,-1,-1,-1,-1,1
dóigh,1,2,1,1,1,1,0
ceangail,4,3,1,1,-1,0,0
déan,2,3,-1,-1,-1,0,0
úsáid,4,21,-17,-1,-1,0,0
feic,8,3,-5,-1,1,-1,0
fág,3,2,1,1,-1,0,0
faigh,2,19,-17,-1,-1,0,0
cuir,1,3,-2,-1,-1,0,0
leag,1,6,-5,-1,-1,-1,0
pós,1,2,1,1,1,1,0
tabhair,10,2,-8,-1,1,0,0
déan,1,5,-4,-1,-1,0,0
shaor,2,13,-11,-1,-1,0,0
bain,2,6,-4,-1,-1,1,0
cuir,4,3,1,1,-1,0,0
déan,2,11,-9,-1,-1,0,0
cuir,1,4,-3,-1,-1,0,0
tabhair,2,10,-8,-1,-1,0,0
cuir,2,2,0,0,-1,0,0
déan,3,3,0,0,1,0,0
caith,1,10,-9,-1,-1,0,0
múin,11,7,4,1,-1,0,0
roghnaigh,2,4,-2,-1,-1,0,0
glac,1,3,-2,-1,-1,0,0
iompair,2,3,-1,-1,-1,-1,0
tabhair,2,2,0,0,-1,0,0
tabhair,2,2,0,0,-1,0,0
imir,4,4,0,0,-1,0,0
caill,2,2,0,0,-1,0,0
mothaigh,2,4,-2,-1,-1,0,0
cuir,1,6,-5,-1,-1,0,0
glac,1,2,-1,-1,-1,0,0
fág,1,2,1,1,1,1,0
déan,4,2,2,1,-1,0,0
sroich,3,3,0,0,-1,0,0
cuir,2,2,0,0,-1,0,0
áirigh,1,2,1,1,1,1,0
cuir,2,4,-2,-1,-1,0,0
fág,2,4,-2,-1,-1,0,0
lorg,3,39,-36,-1,-1,0,0
léirigh,1,3,-2,-1,-1,-1,0
tiontaigh,2,2,0,0,-1,0,0
tabhair,2,2,0,0,-1,0,0
tabhair,1,2,-1,-1,-1,0,0
bain,1,3,-2,-1,-1,0,0
cuir,1,3,2,1,1,1,0
déan,3,3,0,0,-1,0,0
cuir,5,3,2,1,-1,0,0
tóg,1,4,-3,-1,-1,0,0
tabhair,1,3,-2,-1,-1,0,0
cuir,2,24,-22,-1,-1,-1,0
bain,2,6,-4,-1,-1,0,0
tabhair,2,2,0,0,-1,0,0
cuir,2,3,-1,-1,-1,0,0
tabhair,1,4,3,1,1,1,0
