Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
dedicare,2,5,3,1,1,0,1
mettere,15,2,13,1,-1,0,1
uccidere,2,6,4,1,1,0,1
sfracellare,1,3,2,1,1,1,1
fare,1,8,7,1,1,0,1
fare,2,8,6,1,1,0,1
danneggiare,12,3,9,1,-1,0,1
trascorrere,3,5,2,1,1,0,1
svelare,3,3,0,0,-1,0,1
liberare,2,2,0,0,1,0,1
consegnare,6,6,0,0,1,0,1
fornire,1,6,5,1,1,0,1
realizzare,2,8,6,1,1,0,1
infliggere,2,13,11,1,1,0,1
comprare,3,4,-1,-1,-1,0,1
citare,3,3,0,0,1,0,1
battere,2,3,1,1,1,0,1
rivendicare,5,3,2,1,-1,0,1
leggere,2,6,4,1,1,0,1
leggere,2,3,1,1,1,0,1
avere,7,2,5,1,-1,0,1
saltare,5,2,3,1,-1,0,1
mettere,9,2,7,1,-1,0,1
chiedere,4,6,2,1,1,0,1
collegare,7,7,0,0,1,0,1
unire,7,10,3,1,1,0,1
porre,1,5,4,1,1,0,1
rendere,2,2,0,0,1,0,1
garantire,2,2,0,0,1,0,1
trasformare,5,3,-2,-1,1,0,1
tenere,2,6,4,1,1,0,1
sovrapporre,3,4,-1,-1,-1,0,1
fare,1,3,2,1,1,0,1
prendere,1,3,2,1,1,0,1
portare,6,2,4,1,-1,1,1
affidare,3,27,24,1,1,0,1
dare,2,5,3,1,1,0,1
dare,2,12,10,1,1,0,1
dedicare,2,4,2,1,1,0,1
condurre,3,4,1,1,1,-1,1
contrastare,8,5,3,1,-1,0,1
portare,1,5,4,1,1,0,1
ricevere,1,3,2,1,1,0,1
organizzare,1,4,3,1,1,0,1
finanziare,3,13,10,1,1,0,1
tirare,3,2,1,1,-1,-1,1
invitare,1,2,1,1,1,1,1
cambiare,1,9,8,1,1,0,1
lesinare,2,8,-6,-1,-1,0,1
mettere,2,2,0,0,-1,0,1
presentare,2,5,3,1,1,0,1
mettere,3,6,3,1,1,0,1
frenare,5,8,3,1,1,0,1
alzare,6,9,3,1,1,0,1
varare,11,2,-9,-1,1,0,1
avere,2,5,3,1,1,-1,1
vedere,3,4,-1,-1,-1,0,1
passare,2,5,3,1,1,0,1
decidere,5,4,-1,-1,1,0,1
cullare,5,2,3,1,-1,0,1
trasformare,2,10,8,1,1,0,1
sviluppare,3,3,0,0,-1,0,1
avere,12,2,10,1,-1,0,1
commettere,2,3,1,1,1,0,1
mettere,2,2,0,0,-1,0,1
mandare,2,4,2,1,1,1,1
accomunare,5,3,2,1,-1,0,1
mandare,2,9,7,1,1,0,1
fare,2,4,2,1,1,0,1
dare,5,8,3,1,1,0,1
lasciare,2,3,1,1,1,0,1
studiare,7,2,5,1,-1,0,1
chiedere,2,11,9,1,1,0,1
passare,2,6,4,1,1,0,1
percorrere,3,10,7,1,1,0,1
avere,3,2,-1,-1,1,0,1
toccare,5,2,3,1,-1,0,1
avere,6,2,4,1,-1,0,1
dare,2,3,1,1,1,0,1
filmare,8,2,6,1,-1,0,1
vedere,1,2,1,1,1,1,1
portare,2,2,0,0,-1,0,1
accendere,2,2,0,0,1,0,1
avere,2,2,0,0,1,0,1
collocare,4,7,-3,-1,-1,0,1
formulare,2,2,0,0,1,0,1
mettere,1,3,2,1,1,0,1
demolire,2,2,0,0,-1,0,1
avere,1,2,1,1,1,0,1
bere,1,10,9,1,1,0,1
preparare,2,5,3,1,1,0,1
arrivare,2,3,1,1,1,0,1
rovesciare,6,2,4,1,-1,0,1
dare,1,5,4,1,1,0,1
consentire,4,7,-3,-1,-1,0,1
rivendicare,8,2,6,1,-1,1,1
relegare,1,10,9,1,1,0,1
sostenere,4,2,2,1,-1,0,1
chiamare,6,3,3,1,-1,0,1
discutere,5,5,0,0,-1,0,1
cacciare,5,2,3,1,-1,0,1
vivere,7,11,-4,-1,-1,0,1
minacciare,8,5,3,1,-1,0,1
dare,1,11,10,1,1,0,1
condividere,9,2,7,1,-1,0,1
intaccare,6,3,3,1,-1,0,1
regalare,7,2,5,1,-1,1,1
regalare,14,2,12,1,-1,1,1
mettere,7,4,3,1,-1,0,1
schierare,2,2,0,0,-1,0,1
rilanciare,2,3,-1,-1,-1,0,1
catturare,10,2,8,1,-1,0,1
avere,6,2,4,1,-1,1,1
dare,1,4,3,1,1,0,1
restituire,12,3,9,1,-1,0,1
oscurare,5,4,-1,-1,1,0,1
eliminare,18,5,13,1,-1,0,1
dare,3,8,5,1,1,0,1
cercare,4,8,4,1,1,0,1
trascorrere,2,3,1,1,1,0,1
cadere,5,5,0,0,1,0,1
mandare,1,2,1,1,1,0,1
limitare,2,26,24,1,1,0,1
raccogliere,10,9,-1,-1,1,0,1
affittare,3,2,-1,-1,1,0,1
sganciare,2,3,1,1,1,0,1
legare,1,13,12,1,1,0,1
creare,3,3,0,0,1,0,1
avere,4,8,4,1,1,1,1
portare,6,4,2,1,-1,0,1
