Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
獲得,3,2,-1,-1,1,0,1
失う,6,4,-2,-1,1,0,1
見る,4,21,17,1,1,0,1
する,10,3,7,1,-1,0,1
する,2,2,0,0,-1,0,1
収納,4,3,-1,-1,1,0,1
する,18,2,16,1,-1,0,1
経験,6,5,-1,-1,1,0,1
形成,2,6,4,1,1,0,1
遂げる,4,11,7,1,1,0,1
訴える,4,4,0,0,1,0,1
逃す,3,4,1,1,1,0,1
記録,4,4,0,0,1,0,1
見せる,2,3,1,1,1,0,1
指揮,2,3,1,1,1,0,1
託す,2,4,2,1,1,0,1
集める,2,2,0,0,1,0,1
批判,12,3,-9,-1,1,0,1
使用,2,6,4,1,1,0,1
担当,3,5,2,1,1,0,1
通過,2,3,1,1,1,0,1
指名,2,6,4,1,1,-1,1
競う,2,6,4,1,1,0,1
務める,3,3,0,0,1,0,1
取り除く,2,4,2,1,1,0,1
実行,7,4,-3,-1,1,0,1
する,16,2,14,1,-1,0,1
精査,6,2,-4,-1,1,0,1
組む,2,2,0,0,1,0,1
挙げる,3,7,4,1,1,0,1
出す,3,2,-1,-1,1,0,1
受ける,3,3,0,0,1,0,1
退部,3,2,-1,-1,1,0,1
いう,11,3,8,1,-1,0,1
集める,7,2,5,1,-1,0,1
直結,8,4,-4,-1,1,0,1
いう,2,3,-1,-1,-1,1,1
増やす,4,8,4,1,1,0,1
する,6,2,4,1,-1,0,1
とる,4,14,10,1,1,0,1
覆う,3,2,1,1,-1,0,1
受ける,2,2,0,0,1,0,1
表明,2,5,3,1,1,0,1
移動,2,4,-2,-1,-1,0,1
する,3,3,0,0,-1,0,1
展開,4,5,1,1,1,0,1
見抜く,4,2,-2,-1,1,0,1
する,2,3,1,1,1,0,1
分類,5,2,3,1,-1,0,1
する,16,2,14,1,-1,0,1
繰り広げる,2,2,0,0,1,0,1
負う,2,3,1,1,1,0,1
する,2,3,1,1,1,0,1
伝達,4,4,0,0,1,0,1
持つ,3,2,-1,-1,1,0,1
学ぶ,4,8,4,1,1,0,1
指す,24,10,-14,-1,1,0,1
確保,2,6,4,1,1,0,1
休む,4,2,-2,-1,1,0,1
伝える,8,2,-6,-1,1,1,1
化,3,2,1,1,-1,-1,1
する,2,2,0,0,1,0,1
絶つ,2,3,1,1,1,0,1
する,14,2,12,1,-1,0,1
説明,4,4,0,0,1,0,1
する,3,2,1,1,-1,0,1
する,2,2,0,0,1,1,1
行う,7,3,-4,-1,1,0,1
覚える,3,3,0,0,1,0,1
終える,3,13,10,1,1,0,1
する,29,2,27,1,-1,0,1
する,5,2,-3,-1,1,0,1
迎える,3,3,0,0,1,0,1
言う,11,4,7,1,-1,0,1
手に入れる,7,2,-5,-1,1,0,1
担当,2,12,10,1,1,0,1
する,7,3,4,1,-1,0,1
航行,3,4,1,1,1,0,1
担う,2,8,6,1,1,0,1
求める,3,3,0,0,1,0,1
受ける,2,5,3,1,1,0,1
行う,2,3,1,1,1,0,1
退団,2,2,0,0,-1,0,1
受ける,2,6,4,1,1,0,1
撃破,3,6,3,1,1,0,1
奪い取る,2,2,0,0,1,0,1
設立,6,4,-2,-1,1,0,1
担当,4,4,0,0,1,0,1
引き立てる,4,5,1,1,1,0,1
する,4,2,2,1,-1,0,1
発揮,2,4,2,1,1,0,1
築く,2,2,0,0,1,0,1
搭載,5,3,-2,-1,1,0,1
あわせる,2,20,18,1,1,0,1
追いかける,2,4,2,1,1,0,1
頼む,2,2,0,0,1,0,1
する,10,2,8,1,-1,0,1
する,3,2,1,1,-1,0,1
称する,2,5,-3,-1,-1,0,1
起用,2,5,3,1,1,0,1
解除,2,7,5,1,1,0,1
触れる,3,2,-1,-1,1,1,1
交わす,4,2,-2,-1,1,0,1
果たす,3,2,-1,-1,1,0,1
関連付ける,3,6,-3,-1,-1,0,1
する,14,2,12,1,-1,0,1
残す,2,2,0,0,1,0,1
戦う,7,4,-3,-1,1,0,1
結ぶ,2,4,2,1,1,0,1
開発,8,14,6,1,1,0,1
召し上げる,2,2,0,0,1,0,1
足す,3,4,1,1,1,0,1
