Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
獲得,,,"2,892 ヤード を",トータルオフェンス で,3,2,1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
失う,,,その カオル と 百子 を も,第 40 話 で,6,4,2,3,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
見る,,,政権交代 の 展望 を,小泉 内閣 の 高 支持率 を 背景 に 国政 の 主導権 を 握る 与党 の 自由 民主 ・ 公明 両党 に対して,4,21,-17,2,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
する,,,重光 オーナー の 故郷 である 釜山 ・ 慶尚南道 地域 を,フランチャイズ 保護地域 と,10,3,7,5,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
する,,,釜山 を,本拠地 と,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
収納,,,75 mm 砲 を,先端 部 へ,4,3,1,2,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
する,,,山陽新幹線 厚狭駅 - 新下関駅 - 小倉駅 山陽本線 長府 駅 - 新下関駅 - 幡生 駅 * 当 駅 を,始発 と,18,2,16,4,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
経験,,,オランダ 共和国 と の 交戦 を,ノルウェー の ベルゲン 港 で,6,5,1,2,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
形成,,,人脈 を,多く の 政界 の 人物 と,2,6,-4,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
遂げる,,,長足 の 進歩 を,また 近代 鉱物学 の 延長 に ある 結晶学 的 手法 も,4,11,-7,2,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
訴える,,,風邪 の 症状 を,9 日 夜 から,4,4,0,2,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
逃す,,,オリンピック 出場 を,2 大会 連続 で,3,4,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
記録,,,初登場 87 位 を,全米 アルバム チャート にて,4,4,0,2,6,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
見せる,,,姿 を,ある 事情 により,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
指揮,,,チーム を,4 試合 で,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
託す,,,後事 を,諸葛恪 ・ 孫峻 と共に,2,4,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
集める,,,同情 を,処刑 に対して,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
批判,,,当時 処刑 に対して 同情 を 集め て い た 近藤 勇 を,著書 中 で,12,3,9,3,16,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
使用,,,ツイン を,別会社 の ホテル の 従業員 で,2,6,-4,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
担当,,,デジタル 事業 を,一方 の 産経新聞 グループ で,3,5,-2,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
