Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
salikt,1,2,1,1,1,1,1
uzgrūst,1,3,2,1,1,1,1
aizvest,2,2,0,0,1,0,1
pārdalīt,1,2,1,1,1,1,1
iegādāties,8,4,-4,-1,1,0,1
ietekmēt,2,5,3,1,1,0,1
novest,1,4,3,1,1,0,1
noņemt,2,2,0,0,-1,0,1
sarīvēt,1,3,-2,-1,-1,0,1
atbīdīt,1,3,2,1,1,0,1
uzklāt,8,2,6,1,-1,0,1
pacelt,1,2,-1,-1,-1,0,1
vilkt,1,2,1,1,1,1,1
bāzt,1,4,3,1,1,0,1
aizvest,1,2,1,1,1,1,1
bīdīt,2,2,0,0,-1,0,1
pacelt,3,2,1,1,-1,0,1
žonglēt,3,2,1,1,-1,0,1
nocelt,1,2,1,1,1,0,1
kārt,5,2,3,1,-1,0,1
saķert,1,2,1,1,1,0,1
uzliet,1,2,-1,-1,-1,0,1
triekt,1,2,1,1,1,0,1
atstāt,16,2,14,1,-1,1,1
gaidīt,1,4,3,1,1,1,1
izņemt,2,2,0,0,1,0,1
turēt,1,2,1,1,1,0,1
vest,3,3,0,0,1,0,1
nolikt,2,3,-1,-1,-1,0,1
aizvērt,2,2,0,0,-1,1,1
aizvērt,1,2,1,1,1,-1,1
piespiest,1,3,2,1,1,0,1
aizvērt,1,2,1,1,1,0,1
radīt,1,3,2,1,1,0,1
izraut,1,2,1,1,1,0,1
sūtīt,2,2,0,0,1,0,1
sūtīt,3,3,0,0,1,0,1
sūtīt,3,3,0,0,1,0,1
aizslaucīt,1,2,1,1,1,1,1
pacelt,1,2,1,1,1,0,1
aizvērt,1,2,-1,-1,-1,1,1
nomest,2,2,0,0,1,0,1
pastumt,2,2,0,0,1,0,1
uztvert,1,22,21,1,1,0,1
izbērt,1,2,1,1,1,0,1
izņemt,5,2,3,1,-1,1,1
izglābt,1,4,3,1,1,1,1
iet,2,3,1,1,1,0,1
nomainīt,1,2,1,1,1,0,1
padarīt,1,9,8,1,1,0,1
piespiest,1,2,1,1,1,0,1
zināt,2,6,4,1,1,0,1
sākt,1,2,1,1,1,0,1
laist,1,2,1,1,1,1,1
pavērst,7,8,1,1,1,0,1
nolikt,1,2,-1,-1,-1,0,1
noņemt,1,2,-1,-1,-1,0,1
uzlikt,2,2,0,0,1,0,1
trīt,1,2,1,1,1,0,1
nosiekalot,2,2,0,0,1,0,1
zināt,1,2,1,1,1,1,1
satvert,1,2,1,1,1,1,1
iegremdēt,2,2,0,0,1,0,1
satvert,1,2,1,1,1,1,1
vadīt,1,2,1,1,1,1,1
šķaidīt,1,3,2,1,1,0,1
atraut,1,3,2,1,1,0,1
pazibināt,2,3,-1,-1,-1,0,1
aicināt,1,2,1,1,1,1,1
vērst,1,4,3,1,1,0,1
attiecināt,2,27,25,1,1,0,1
ierobežot,9,3,-6,-1,1,0,1
izvietot,4,4,0,0,1,0,1
izraudzīties,5,5,0,0,1,0,1
nofotografēt,1,3,2,1,1,0,1
apliecināt,3,4,1,1,1,0,1
evakuēt,1,3,2,1,1,0,1
vadīt,3,6,3,1,1,0,1
atvest,1,6,5,1,1,0,1
pārsteigt,1,4,3,1,1,0,1
lasīt,1,2,1,1,1,0,1
sagatavot,1,6,5,1,1,0,1
tulkot,2,3,1,1,1,0,1
atrast,2,2,0,0,1,0,1
iegādāties,1,2,1,1,1,0,1
mainīt,1,2,1,1,1,0,1
deportēt,2,2,0,0,1,0,1
izkāst,1,3,-2,-1,-1,0,1
eksportēt,1,2,1,1,1,0,1
dabūt,2,2,0,0,1,0,1
izcīnīt,1,2,1,1,1,0,1
samazināt,2,4,2,1,1,0,1
piespraust,1,2,-1,-1,-1,0,1
dot,1,2,1,1,1,0,1
sākt,1,2,1,1,1,1,1
izbāzt,1,2,1,1,1,0,1
spiest,2,2,0,0,1,0,1
uzvilkt,1,2,1,1,1,0,1
saglabāt,2,2,0,0,1,0,1
atņemt,3,2,-1,-1,1,0,1
pārbraukt,1,3,2,1,1,0,1
pielīmēt,3,3,0,0,1,0,1
izņemt,1,2,1,1,1,0,1
izsmidzināt,1,3,2,1,1,1,1
noskrāpēt,2,3,1,1,1,0,1
salikt,1,2,1,1,1,0,1
stiept,1,2,1,1,1,0,1
izgrūst,1,3,2,1,1,0,1
apskatīties,1,8,7,1,1,0,1
nosargāt,1,4,-3,-1,-1,0,0
aicināt,1,5,-4,-1,-1,-1,0
kārt,2,2,0,0,-1,0,0
aprakt,2,2,0,0,-1,0,0
izstumt,1,2,-1,-1,-1,0,0
izgrūst,1,2,-1,-1,-1,-1,0
bērt,1,2,-1,-1,-1,0,0
pieņemt,1,4,-3,-1,-1,0,0
paildzināt,2,2,0,0,-1,0,0
novelt,1,3,-2,-1,-1,0,0
vadāt,1,4,-3,-1,-1,0,0
atvilkt,1,3,-2,-1,-1,0,0
atvilkt,1,3,-2,-1,-1,0,0
grauzt,1,4,-3,-1,-1,0,0
norobežot,2,4,-2,-1,-1,0,0
turēt,4,2,2,1,-1,0,0
demonstrēt,2,10,-8,-1,-1,0,0
sākt,1,2,-1,-1,-1,-1,0
samazināt,1,4,-3,-1,-1,0,0
uzlūkot,1,2,-1,-1,-1,0,0
raidīt,1,3,-2,-1,-1,0,0
izspiest,1,2,-1,-1,-1,0,0
apsveikt,1,4,-3,-1,-1,0,0
upurēt,1,4,-3,-1,-1,0,0
pacelt,2,2,0,0,-1,0,0
svītrot,11,2,-9,-1,1,-1,0
saņemt,2,8,-6,-1,-1,0,0
izdzīt,2,2,0,0,-1,0,0
saņemt,1,5,-4,-1,-1,0,0
triekt,1,4,-3,-1,-1,0,0
eksportēt,5,2,-3,-1,1,0,0
izstiept,2,2,0,0,-1,1,0
pārskatīt,3,4,-1,-1,-1,0,0
pārtraukt,7,8,-1,-1,-1,0,0
pieņemt,1,2,-1,-1,-1,-1,0
gūt,2,8,-6,-1,-1,0,0
atcelt,5,2,-3,-1,1,0,0
sagatavot,4,3,-1,-1,1,0,0
pagrūst,1,2,-1,-1,-1,-1,0
atstāt,5,2,-3,-1,1,-1,0
pavērt,1,7,-6,-1,-1,0,0
izlietot,1,4,-3,-1,-1,0,0
attīrīt,1,3,-2,-1,-1,0,0
saglabāt,3,3,0,0,-1,0,0
salikt,1,2,-1,-1,-1,0,0
gaidīt,2,2,0,0,-1,0,0
pārdomāt,2,2,0,0,-1,0,0
raisīt,1,4,-3,-1,-1,0,0
novērtēt,12,2,-10,-1,1,0,0
saņemt,3,3,0,0,-1,0,0
gūt,1,3,-2,-1,-1,0,0
saņemt,1,3,-2,-1,-1,0,0
iegādāties,3,14,-11,-1,-1,0,0
saukt,5,2,-3,-1,1,0,0
rosināt,2,2,0,0,1,0,0
meklēt,1,14,-13,-1,-1,0,0
zināt,2,3,-1,-1,-1,0,0
veicināt,2,4,-2,-1,-1,0,0
meklēt,1,14,-13,-1,-1,0,0
palielināt,5,3,2,1,-1,0,0
veidot,2,2,0,0,-1,1,0
pierādīt,1,3,-2,-1,-1,-1,0
pirkt,2,3,-1,-1,-1,0,0
nopirkt,2,2,0,0,-1,0,0
