Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
salikt,,Acc,visu,pa plauktiņiem,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
uzgrūst,,Acc,tos,uz mašīnas sāniem,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
aizvest,,Acc,manu dēlu,uz vilcienu,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
pārdalīt,,Acc,katru,uz pusēm,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
iegādāties,,Acc,apdares materiālus santehniku durvis un sporta grīdas segumus,par īpaši izdevīgām cenām,8,4,4,2,14,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ietekmēt,,Acc,indivīdu rīcību,ar piespiešanu vai bez tās,2,5,-3,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
novest,,Acc,vecākus,līdz spēku izsīkuma robežai,1,4,-3,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
noņemt,,Acc,atmirušo ādu,no pēdām,2,2,0,4,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
sarīvēt,,Acc,ziepes,uz smalkās rīves,1,3,-2,4,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
atbīdīt,,Acc,kutikulu,pie naga pamatnes,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
uzklāt,,Acc,caurspīdīgo stiprinošo nagu laku kura aizsargās naga emalju,uz nagiem,8,2,6,6,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
pacelt,,Acc,sanešus,no gultnes,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vilkt,,Acc,viņu,pie zemes,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
bāzt,,Acc,purnus,pie Marijas slapjiem vaigiem,1,4,-3,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
aizvest,,Acc,viņu,uz Ameriku,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
bīdīt,,Acc,neredzamu lidmašīnu,uz priekšu,2,2,0,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
pacelt,,Acc,sarkano avārijas trīsstūri,no asfalta,3,2,1,5,2,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
žonglēt,Nom,Acc,Kristīnītes rakstāmgalda skapīti,uz pleca,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
nocelt,,Acc,princesi,no kalna,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
kārt,,Acc,baltu pilošu tikko izmazgātu palagu,uz auklām,5,2,3,9,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
saķert,,Acc,vecmammu,pie elkoņiem,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
uzliet,,Acc,viskiju,uz maizes,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
triekt,,Acc,bļodu,pret sienu,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
atstāt,,Acc,melnu pēdu rakstu ko putenis jau pēc brīža atkal aizvelk padarot arvien blāvāk un blāvāk pelēku,aiz sevis,16,2,14,5,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
gaidīt,,Acc,mani,uz mūsu ielas stūra,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
izņemt,,Acc,elpošanas caurulīti,no elpvada,2,2,0,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
turēt,,Acc,telefonu,zem spilvena,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
vest,,Nom,kaut kāda krava,uz kaut kurieni,3,3,0,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
nolikt,,Acc,biezu paku,uz virtuves galda,2,3,-1,5,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
aizvērt,Nom,Acc,dārza vārtiņus,aiz sevis,2,2,0,4,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
aizvērt,,Acc,durvis,aiz sevis,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,postverbal
piespiest,,Acc,rādītājpirkstu,pie degungala spogulī,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
aizvērt,,Acc,durvis,no ārpuses,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
radīt,Nom,Acc,sevi,ne no kā,1,3,-2,2,5,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,postverbal
izraut,,Acc,Sofiju,no ikdienības,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
sūtīt,,Acc,šo karti,caur Sofiju,2,2,0,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
sūtīt,,Nom,dzimšanas dienas apsveikums,uz Sofijas adresi,3,3,0,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
sūtīt,,Acc,dzimšanas dienas apsveikumu,pa šādiem apkārtceļiem,3,3,0,4,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
aizslaucīt,,Acc,mani,pār bortu,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
pacelt,,Acc,acis,pret draudzeni,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
aizvērt,,Acc,vārtiņus,aiz sevis,1,2,-1,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
nomest,,Acc,skolas somu,uz kāpnītēm,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
pastumt,,Acc,pārējās vēstules,zem kājslauķa,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
uztvert,,Acc,pasauli,par tikpat neizprotamu kā burvju mākslinieka triku ar trusīti ko pēkšņi izvelk ārā no cilindra kas vēl pirms acumirkļa bija pilnīgi tukšs,1,22,-21,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
izbērt,,Acc,akmentiņus,uz grīdas,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
izņemt,,Acc,vairākas ar mašīnu aprakstītas lapas,no tās,5,2,3,7,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
izglābt,Nom,Acc,viņu,no ikdienišķās dzīvošanas vienaldzības,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
iet,,Acc,savu ceļu,gar šo upi,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
