Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
sette,1,2,1,1,1,1,1
føre,4,2,-2,-1,1,0,1
beholde,2,2,0,0,1,0,1
få,2,2,0,0,1,0,1
savne,2,6,4,1,1,0,1
få,6,2,-4,-1,1,0,1
konsentrere,1,4,3,1,1,1,1
få,5,7,2,1,1,0,1
lede,1,4,3,1,1,0,1
forberede,1,2,1,1,1,1,1
overta,1,2,1,1,1,0,1
lede,1,2,1,1,1,0,1
ha,1,4,3,1,1,0,1
si,3,5,2,1,1,0,1
be,2,2,0,0,1,0,1
søke,1,2,1,1,1,0,1
bane,1,3,2,1,1,0,1
foretrekke,8,4,-4,-1,1,0,1
overlate,2,3,1,1,1,0,1
sette,2,5,3,1,1,0,1
gi,2,5,3,1,1,0,1
ha,1,2,1,1,1,0,1
ha,5,3,-2,-1,1,0,1
ta,1,4,3,1,1,0,1
få,2,2,0,0,1,0,1
gjøre,1,13,12,1,1,1,1
gjøre,3,3,0,0,1,0,1
sette,1,6,5,1,1,1,1
sette,2,2,0,0,1,0,1
tenke,1,3,2,1,1,1,1
holde,2,3,1,1,1,0,1
føde,2,2,0,0,1,0,1
fylle,2,10,8,1,1,0,1
ta,1,3,2,1,1,0,1
vende,1,3,2,1,1,1,1
dele,2,11,9,1,1,0,1
samle,1,3,2,1,1,1,1
åpne,1,2,1,1,1,0,1
fremføre,4,6,2,1,1,0,1
lede,2,5,3,1,1,0,1
gjeste,2,2,0,0,1,0,1
få,1,3,2,1,1,0,1
ha,1,2,1,1,1,0,1
nå,3,9,6,1,1,0,1
ha,1,2,1,1,1,0,1
få,1,2,1,1,1,0,1
lese,1,2,1,1,1,0,1
forbedre,1,2,1,1,1,1,1
få,4,6,2,1,1,0,1
senke,2,10,8,1,1,0,1
svømme,1,4,3,1,1,0,1
sette,2,4,2,1,1,0,1
lage,1,2,-1,-1,-1,-1,1
få,2,3,1,1,1,0,1
ha,1,4,3,1,1,0,1
ha,7,2,5,1,-1,0,1
følge,1,3,2,1,1,0,1
få,1,2,1,1,1,0,1
ha,2,2,0,0,1,0,1
forberede,1,3,2,1,1,1,1
forberede,1,5,4,1,1,1,1
plante,2,4,2,1,1,0,1
besøke,1,2,1,1,1,0,1
se,1,6,5,1,1,0,1
lagre,1,2,1,1,1,0,1
ta,1,14,13,1,1,0,1
ta,1,2,1,1,1,0,1
ha,2,3,1,1,1,0,1
få,2,2,0,0,1,0,1
drepe,2,2,0,0,1,0,1
ta,1,2,-1,-1,-1,0,1
ta,1,3,2,1,1,0,1
stikke,1,2,1,1,1,1,1
gi,1,2,1,1,1,0,1
gi,1,4,3,1,1,0,1
utgjøre,3,5,2,1,1,0,1
utgjøre,3,6,3,1,1,0,1
stave,1,4,3,1,1,0,1
gratulere,3,9,6,1,1,0,1
høre,1,18,17,1,1,0,1
sende,2,4,2,1,1,0,1
gratulere,4,4,0,0,1,0,1
sende,3,7,4,1,1,0,1
forberede,1,5,4,1,1,1,1
gjemme,1,2,1,1,1,0,1
stille,1,4,3,1,1,1,1
ta,2,4,2,1,1,0,1
forlenge,1,3,2,1,1,0,1
drive,1,6,5,1,1,0,1
ta,1,2,1,1,1,0,1
få,1,2,-1,-1,-1,1,1
kaste,1,2,1,1,1,0,1
møte,1,3,2,1,1,0,1
ta,2,2,0,0,1,0,1
slå,1,2,1,1,1,0,1
ergre,1,3,2,1,1,1,1
ankomme,1,4,3,1,1,0,1
offentliggjøre,2,2,0,0,1,0,1
velge,4,4,0,0,1,0,1
ta,6,7,-1,-1,-1,0,1
skyte,1,4,3,1,1,0,1
skrive,6,7,1,1,1,0,1
ankomme,1,4,3,1,1,0,1
ha,2,4,2,1,1,0,1
trappe,1,2,1,1,1,0,1
besøke,1,4,3,1,1,0,1
holde,1,2,1,1,1,1,1
begeistre,3,8,5,1,1,0,1
ha,3,4,1,1,1,0,1
ringe,1,3,2,1,1,1,1
gjøre,4,4,0,0,1,0,1
forberede,1,7,6,1,1,0,1
oppdage,3,3,0,0,1,0,1
oppleve,2,5,3,1,1,0,1
snu,1,2,1,1,1,0,1
sette,2,2,0,0,1,0,1
temme,6,3,-3,-1,1,0,1
forholde,1,2,1,1,1,0,1
ha,1,2,-1,-1,-1,0,1
ta,1,3,2,1,1,0,1
kjenne,2,3,1,1,1,0,1
se,4,4,0,0,1,0,1
anmelde,3,3,0,0,1,0,1
få,2,4,2,1,1,0,1
dreie,1,2,1,1,1,1,1
legge,1,18,17,1,1,0,1
spre,1,2,1,1,1,0,1
se,2,7,5,1,1,0,1
slippe,1,3,2,1,1,0,1
passe,1,13,12,1,1,1,1
få,1,4,3,1,1,0,1
ha,1,4,3,1,1,0,1
treffe,1,2,1,1,1,0,1
forbinde,2,4,2,1,1,0,1
gjøre,1,5,4,1,1,0,1
fjerne,1,2,1,1,1,1,1
treffe,5,2,-3,-1,1,0,1
bruke,2,4,2,1,1,0,1
følge,1,3,2,1,1,0,1
holde,1,4,3,1,1,0,1
etterligne,2,5,-3,-1,-1,0,1
bortlede,1,11,10,1,1,0,1
bortlede,1,4,3,1,1,0,1
knytte,1,5,4,1,1,1,1
skape,2,4,2,1,1,0,1
levere,1,2,1,1,1,0,1
oppmuntre,1,2,1,1,1,0,1
ha,6,3,-3,-1,1,0,1
plukke,7,8,1,1,1,0,1
få,3,3,0,0,1,0,1
sende,2,2,0,0,1,0,1
få,2,5,3,1,1,-1,1
få,1,6,5,1,1,0,1
anse,4,3,1,1,-1,0,1
ha,2,3,1,1,1,0,1
forskanse,1,7,6,1,1,1,1
nedklaske,1,4,3,1,1,1,1
gjøre,1,2,1,1,1,-1,1
gjøre,2,7,5,1,1,0,1
sette,4,5,1,1,1,0,1
ta,2,3,1,1,1,0,1
ha,4,2,-2,-1,1,0,1
stange,1,3,2,1,1,0,1
irritere,2,2,0,0,1,0,1
slå,1,2,1,1,1,0,1
sette,1,2,1,1,1,1,1
gjøre,2,5,3,1,1,0,1
beskylde,1,2,1,1,1,0,1
kritisere,1,2,1,1,1,0,1
ta,5,2,-3,-1,1,0,1
låne,1,2,1,1,1,0,1
garantere,1,4,3,1,1,1,1
engasjere,1,2,1,1,1,1,1
gjøre,1,2,1,1,1,1,1
spille,1,4,3,1,1,0,1
gi,1,5,4,1,1,0,1
spille,1,4,3,1,1,0,1
reise,1,2,1,1,1,1,1
skape,1,2,1,1,1,0,1
blåse,1,5,4,1,1,0,1
ta,2,2,0,0,1,0,1
få,1,5,4,1,1,0,1
slå,1,2,1,1,1,1,1
utsette,3,3,0,0,1,0,1
gå,2,2,0,0,1,0,1
sette,6,2,4,1,-1,0,1
gi,2,4,2,1,1,0,1
sammensverge,1,2,1,1,1,0,1
overleve,1,5,4,1,1,0,1
ta,1,6,5,1,1,0,1
utkomme,4,4,0,0,1,0,1
dikte,2,2,0,0,1,0,1
gjøre,3,2,-1,-1,1,0,1
lufte,12,3,9,1,-1,0,1
stille,1,4,3,1,1,0,1
legitimere,9,3,6,1,-1,0,1
tape,1,3,2,1,1,0,1
lære,1,2,1,1,1,0,1
lese,3,3,0,0,1,0,1
skrive,4,2,-2,-1,1,0,1
få,4,2,-2,-1,1,0,1
holde,2,2,0,0,1,0,1
låse,1,3,2,1,1,1,1
grave,2,2,0,0,1,0,1
kritisere,1,5,4,1,1,0,1
redde,3,7,4,1,1,0,1
ta,1,2,1,1,1,0,1
plassere,3,3,0,0,1,0,1
spille,2,4,2,1,1,0,1
utvikle,1,5,4,1,1,1,1
uttale,1,6,5,1,1,1,1
stille,2,2,0,0,1,0,1
få,2,5,3,1,1,0,1
minne,1,2,1,1,1,0,1
sveipe,8,2,6,1,-1,0,1
bøye,1,2,1,1,1,0,1
dra,4,2,2,1,-1,1,1
ha,1,2,1,1,1,0,1
frykte,1,2,1,1,1,0,1
stjele,2,9,7,1,1,0,1
engasjere,1,5,4,1,1,1,1
legge,1,2,1,1,1,-1,1
befinne,1,2,1,1,1,1,1
gi,1,5,4,1,1,1,1
gjøre,3,3,0,0,1,0,1
møte,1,5,4,1,1,1,1
erstatte,5,5,0,0,1,0,1
snu,2,2,0,0,1,1,1
søke,1,3,2,1,1,0,1
ta,1,7,6,1,1,0,1
skremme,1,2,1,1,1,0,1
dekke,2,3,1,1,1,0,1
sette,1,2,1,1,1,-1,1
dempe,1,9,8,1,1,0,1
bringe,1,2,1,1,1,0,1
skjerme,1,8,7,1,1,0,1
ha,4,4,0,0,1,0,1
oppnå,1,8,7,1,1,0,1
dominere,2,9,7,1,1,0,1
gi,1,7,6,1,1,0,1
rette,1,6,5,1,1,0,1
arve,2,3,1,1,1,0,1
ta,3,3,0,0,1,0,1
få,1,2,1,1,1,-1,1
endre,2,4,2,1,1,0,1
legge,1,2,1,1,1,0,1
holde,1,13,12,1,1,0,1
legge,2,4,2,1,1,0,1
levere,2,5,3,1,1,0,1
få,2,9,7,1,1,0,1
vise,1,4,3,1,1,0,1
holde,2,2,0,0,1,0,1
belage,1,10,9,1,1,1,1
bruke,5,2,-3,-1,1,-1,1
forberede,3,6,3,1,1,0,1
reise,2,3,1,1,1,0,1
kaste,1,4,3,1,1,1,1
bruke,1,6,5,1,1,0,1
skyve,1,2,1,1,1,-1,1
begrense,1,3,2,1,1,0,1
holde,1,2,1,1,1,0,1
rette,2,3,1,1,1,0,1
få,2,2,0,0,1,0,1
skyve,1,2,1,1,1,-1,1
strekke,1,5,4,1,1,1,1
gjøre,1,4,3,1,1,0,1
innebære,2,10,8,1,1,-1,1
gi,2,8,6,1,1,0,1
legge,5,2,-3,-1,1,0,1
glede,1,9,8,1,1,0,1
vedta,2,4,2,1,1,0,1
subsidiere,1,12,11,1,1,0,1
sende,2,2,0,0,1,0,1
ha,2,3,1,1,1,0,1
legge,1,4,3,1,1,0,1
sette,1,19,18,1,1,0,1
finne,1,2,1,1,1,0,1
