Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
sette,,Acc,seg,til bords,1,2,-1,2,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
føre,,,brudgommens søster Märtha Louise,til bords,4,2,2,4,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
beholde,,,sine borddamer,fra prosesjonen,2,2,0,8,10,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
få,,,Finlands president,til bords,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
savne,,,sin Ari,med statsminister Jens Stoltenberg som kavaler,2,6,-4,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
få,,,styringen med de store internasjonale spørsmål,på Stortinget,6,2,4,1,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
konsentrere,,Acc,seg,om de nære ting,1,4,-3,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
få,,,ledervervene i finanskomitéen og sosialkomitéen,ved henholdsvis Siv Jensen og John Alvheim,5,7,-2,1,9,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lede,,,sosialkomitéen,også i forrige periode,1,4,-3,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
forberede,,Acc,seg,på opposisjonstilværelsen,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
overta,,,vervet,etter regjeringsskiftet,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lede,,,utenrikskomitéen,ifølge NTB,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ha,,,ledelsen,også i forrige periode,1,4,-3,2,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
si,,,ja eller nei,til en ny regjering Bondevik,3,5,-2,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
be,,,sine fylkespartier,om råd,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
søke,,,støtte,i Fr.p.,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
