Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
زد#زن,3,4,-1,-1,-1,0,1
داد#ده,2,3,1,1,1,-1,1
کرد#کن,5,6,1,1,1,0,1
_,2,4,-2,-1,-1,0,1
داد#ده,7,6,-1,-1,1,0,1
داد#ده,3,3,0,0,-1,0,1
کرد#کن,3,3,0,0,-1,0,1
دید#بین,2,2,0,0,-1,0,1
کشید#کش,2,2,0,0,-1,0,1
آورد#آور,3,5,2,1,1,0,1
کرد#کن,1,2,1,1,1,0,1
کرد#کن,2,3,-1,-1,-1,1,1
کرد#کن,2,3,-1,-1,-1,0,1
_,2,2,0,0,-1,0,1
نهاد#نه,2,2,0,0,-1,1,1
_,2,2,0,0,-1,0,1
داد#ده,1,2,1,1,1,1,1
ماند#مان,2,2,0,0,-1,0,1
_,2,3,-1,-1,-1,0,1
_,2,3,-1,-1,-1,0,1
داد#ده,2,2,0,0,-1,-1,1
داد#ده,2,2,0,0,-1,0,1
داد#ده,2,2,0,0,-1,0,1
آورد#آور,2,2,0,0,-1,-1,1
گرفت#گیر,3,2,1,1,-1,0,1
_,3,2,1,1,-1,0,1
گذراند#گذران,2,3,-1,-1,-1,0,1
داشت#دار,1,2,-1,-1,-1,0,1
گذارد#گذار,2,2,0,0,-1,0,1
داد#ده,2,2,0,0,-1,0,1
کرد#کن,2,3,1,1,1,-1,1
کرد#کن,2,3,1,1,1,-1,1
کرد#کن,2,3,1,1,1,0,1
_,3,3,0,0,1,0,1
داد#ده,1,2,1,1,1,1,1
نهاد#نه,2,2,0,0,-1,0,1
کرد#کن,3,3,0,0,-1,0,1
کرد#کن,4,4,0,0,-1,0,1
کشید#کش,2,3,-1,-1,-1,0,1
کرد#کن,2,3,1,1,1,0,1
کشید#کش,2,3,-1,-1,-1,1,1
کرد#کن,2,2,0,0,-1,0,1
کرد#کن,3,5,-2,-1,-1,0,1
_,3,4,-1,-1,-1,0,1
نهاد#نه,2,2,0,0,-1,0,1
_,3,4,1,1,1,0,1
نهاد#نه,2,2,0,0,-1,0,1
_,2,2,0,0,-1,-1,1
کرد#کن,2,2,0,0,1,0,1
_,3,2,-1,-1,1,0,1
_,2,2,0,0,-1,0,1
کرد#کن,3,6,-3,-1,-1,0,1
زد#زن,2,2,0,0,1,0,1
کرد#کن,5,3,2,1,-1,0,1
آمد#آ,1,4,3,1,1,0,1
کرد#کن,3,3,0,0,-1,0,1
داد#ده,2,4,-2,-1,-1,1,1
کرد#کن,2,2,0,0,-1,1,1
_,4,2,-2,-1,1,1,1
آمد#آ,2,4,2,1,1,0,1
آورد#آور,1,3,2,1,1,0,1
کرد#کن,2,3,-1,-1,-1,1,1
_,3,3,0,0,1,0,1
دید#بین,1,2,-1,-1,-1,0,1
_,9,4,-5,-1,1,0,1
داد#ده,4,2,-2,-1,1,0,1
داد#ده,3,4,-1,-1,-1,1,1
زد#زن,3,2,1,1,-1,-1,1
_,2,4,2,1,1,0,1
داشت#دار,2,5,3,1,1,0,1
کرد#کن,5,5,0,0,-1,0,1
کرد#کن,2,2,0,0,-1,1,1
دید#بین,3,2,-1,-1,1,0,1
داشت#دار,3,4,-1,-1,-1,0,1
داشت#دار,2,4,-2,-1,-1,0,1
داشت#دار,2,2,0,0,1,1,1
_,1,3,-2,-1,-1,-1,1
آورد#آور,6,3,-3,-1,1,0,1
کرد#کن,3,2,1,1,-1,0,1
کرد#کن,2,4,2,1,1,0,1
داشت#دار,2,4,2,1,1,1,1
_,2,3,-1,-1,-1,1,1
_,3,2,-1,-1,1,0,1
_,1,3,-2,-1,-1,0,1
_,3,2,1,1,-1,0,1
_,2,2,0,0,-1,1,1
داد#ده,3,2,1,1,-1,0,1
دید#بین,4,3,1,1,-1,0,1
کرد#کن,2,2,0,0,-1,1,1
کرد#کن,4,3,-1,-1,1,0,1
_,2,3,1,1,1,0,1
گذارد#گذار,2,3,1,1,1,0,1
کرد#کن,4,2,2,1,-1,0,1
کرد#کن,4,8,-4,-1,-1,0,1
داشت#دار,3,3,0,0,-1,0,1
داشت#دار,2,9,-7,-1,-1,0,1
داشت#دار,2,7,5,1,1,0,1
داد#ده,1,8,7,1,1,0,1
کرد#کن,7,5,-2,-1,1,0,1
کرد#کن,2,5,3,1,1,-1,1
داشت#دار,2,3,1,1,1,0,1
داشت#دار,2,5,3,1,1,0,1
کرد#کن,3,3,0,0,-1,0,1
کرد#کن,5,9,4,1,1,0,1
داشت#دار,2,3,-1,-1,-1,0,1
گرفت#گیر,1,4,3,1,1,0,1
کرد#کن,2,2,0,0,-1,1,1
_,8,5,-3,-1,1,0,1
داشت#دار,2,5,-3,-1,-1,0,1
داشت#دار,3,5,-2,-1,-1,0,1
_,2,3,1,1,1,0,1
کرد#کن,1,3,-2,-1,-1,0,1
کرد#کن,2,2,0,0,-1,-1,1
آورد#آور,1,3,-2,-1,-1,0,1
_,3,2,1,1,-1,0,1
داشت#دار,3,4,1,1,1,0,1
کرد#کن,2,2,0,0,-1,0,1
داد#ده,5,3,2,1,-1,-1,1
کرد#کن,2,3,-1,-1,-1,1,1
داد#ده,1,2,1,1,1,1,1
_,3,3,0,0,1,1,1
کرد#کن,2,2,0,0,1,0,1
_,4,2,2,1,-1,0,1
شناخت#شناس,2,4,-2,-1,-1,0,1
کرد#کن,4,3,1,1,-1,0,1
دید#بین,1,3,2,1,1,0,1
کرد#کن,2,2,0,0,-1,1,1
زد#زن,2,5,-3,-1,-1,1,1
کرد#کن,3,3,0,0,1,0,1
داد#ده,2,2,0,0,-1,-1,1
_,3,2,1,1,-1,-1,1
ساخت#ساز,3,2,1,1,-1,0,1
داشت#دار,4,3,-1,-1,1,0,1
رفت#رو,1,3,-2,-1,-1,0,1
_,5,3,2,1,-1,0,1
کرد#کن,2,4,2,1,1,0,1
_,5,5,0,0,-1,0,1
کرد#کن,4,2,-2,-1,1,0,1
آورد#آور,5,2,-3,-1,1,0,1
_,4,3,-1,-1,1,0,1
است,5,4,1,1,-1,0,1
_,1,2,1,1,1,0,1
گفت#گو,11,4,-7,-1,1,0,1
گرفت#گیر,2,2,0,0,-1,-1,1
_,3,3,0,0,1,0,1
کرد#کن,2,3,-1,-1,-1,1,1
زد#زن,3,2,-1,-1,1,1,1
داشت#دار,1,3,2,1,1,0,1
داد#ده,3,3,0,0,-1,0,1
کرد#کن,5,3,2,1,-1,0,1
زد#زن,2,3,-1,-1,-1,0,1
_,2,2,0,0,-1,0,1
کرد#کن,2,5,3,1,1,0,1
_,4,3,-1,-1,1,0,1
_,8,2,-6,-1,1,0,1
گفت#گو,2,2,0,0,1,1,1
کرد#کن,3,2,1,1,-1,-1,1
_,2,2,0,0,-1,-1,1
آورد#آور,10,9,1,1,-1,0,1
دید,1,2,-1,-1,-1,-1,1
_,1,5,4,1,1,0,1
داشت#دار,3,2,1,1,-1,-1,1
داشت#دار,1,3,2,1,1,0,1
داشت#دار,1,3,2,1,1,0,1
کرد#کن,3,4,1,1,1,0,1
داشت#دار,2,2,0,0,1,0,1
دانست#دان,3,11,-8,-1,-1,0,1
داشت#دار,3,4,1,1,1,0,1
گفت#گو,2,6,4,1,1,0,1
داشت#دار,1,5,4,1,1,0,1
کرد#کن,3,3,0,0,-1,0,1
داشت#دار,2,3,1,1,1,-1,1
نمود#نما,4,6,2,1,1,0,1
گرفت#گیر,2,2,0,0,-1,0,1
آمد#آ,4,6,2,1,1,0,1
دانست#دان,2,5,-3,-1,-1,1,1
داشت#دار,5,5,0,0,1,0,1
دید#بین,3,24,-21,-1,-1,0,1
کرد#کن,5,11,6,1,1,0,1
_,2,4,2,1,1,0,1
کرد#کن,10,3,-7,-1,1,0,1
کرد#کن,9,4,5,1,-1,0,1
کرد#کن,4,4,0,0,1,0,1
نمود#نما,2,15,13,1,1,0,1
کرد#کن,4,2,2,1,-1,0,1
کرد#کن,6,6,0,0,-1,0,1
_,2,2,0,0,-1,0,1
نمود#نما,2,2,0,0,-1,0,1
داد#ده,4,10,-6,-1,-1,0,1
خواند#خوان,4,2,2,1,-1,0,1
کرد#کن,6,7,1,1,1,0,1
داد#ده,8,10,2,1,1,0,1
داشت#دار,4,3,-1,-1,1,0,1
نمود#نما,2,3,-1,-1,-1,1,1
_,3,25,-22,-1,-1,0,1
_,8,11,3,1,1,0,1
_,2,6,-4,-1,-1,0,1
نمود#نما,12,4,-8,-1,1,0,1
آورد#آور,3,3,0,0,-1,0,1
داشت#دار,3,4,1,1,1,0,1
کرد#کن,2,2,0,0,-1,0,1
داد#ده,3,3,0,0,-1,0,1
_,4,2,2,1,-1,0,1
گرفت#گیر,3,6,3,1,1,0,1
دید#بین,3,3,0,0,-1,0,1
_,3,2,1,1,-1,0,1
_,3,2,1,1,-1,-1,1
کرد#کن,3,6,-3,-1,-1,0,1
رسانید#رسان,8,3,5,1,-1,0,1
نوشت#نویس,1,4,-3,-1,-1,0,1
خواند#خوان,4,2,2,1,-1,-1,1
کرد#کن,2,3,-1,-1,-1,0,1
کرد#کن,2,3,1,1,1,0,1
کرد#کن,9,2,7,1,-1,0,1
گذاشت#گذار,2,2,0,0,-1,0,1
خواند#خوان,11,2,9,1,-1,0,1
_,2,2,0,0,1,0,1
دید#بین,2,2,0,0,-1,0,1
داشت#دار,1,3,2,1,1,0,1
_,6,2,4,1,-1,0,1
خرید#خر,3,4,-1,-1,-1,0,1
_,2,5,-3,-1,-1,0,1
داد#ده,7,2,5,1,-1,0,1
کرد#کن,2,22,20,1,1,0,1
کرد#کن,7,3,4,1,-1,0,1
داد#ده,6,9,-3,-1,-1,0,1
برد#بر,3,5,-2,-1,-1,0,1
گذاشت#گذار,6,3,3,1,-1,0,1
کرد#کن,2,5,-3,-1,-1,0,1
داد#ده,5,3,2,1,-1,0,1
کرد#کن,1,3,2,1,1,0,1
یافت#یاب,16,3,13,1,-1,0,1
_,6,3,3,1,-1,0,1
کرد#کن,3,4,-1,-1,-1,0,1
_,7,2,5,1,-1,0,1
کرد#کن,3,2,1,1,-1,0,1
داد#ده,2,6,-4,-1,-1,1,1
کرد#کن,9,2,7,1,-1,0,1
کرد#کن,5,4,-1,-1,1,0,1
داد#ده,2,8,-6,-1,-1,0,1
کرد#کن,2,2,0,0,-1,0,1
کرد#کن,10,5,-5,-1,1,0,1
کرد#کن,3,3,0,0,-1,0,1
کرد#کن,3,3,0,0,1,0,1
کرد#کن,2,3,1,1,1,-1,1
کرد#کن,4,9,-5,-1,-1,0,1
کرد#کن,5,3,2,1,-1,0,1
آورد#آور,3,5,2,1,1,0,1
کرد#کن,1,3,2,1,1,0,1
یافت#یاب,5,3,-2,-1,1,0,1
کرد#کن,4,12,-8,-1,-1,0,1
کرد#کن,2,5,-3,-1,-1,0,1
دانست#دان,2,4,2,1,1,-1,1
داد#ده,2,3,-1,-1,-1,0,1
کرد#کن,3,4,-1,-1,-1,0,1
_,11,4,7,1,-1,0,1
گذاشت#گذار,2,3,1,1,1,0,1
_,3,2,1,1,-1,0,1
_,3,3,0,0,-1,0,1
_,3,6,3,1,1,0,1
_,3,5,-2,-1,-1,0,1
_,5,4,1,1,-1,0,1
کرد#کن,3,7,-4,-1,-1,0,1
کرد#کن,3,6,-3,-1,-1,0,1
رفت#رو,10,3,-7,-1,1,0,1
داد#ده,4,6,2,1,1,0,1
گرفت#گیر,1,17,16,1,1,0,1
