Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
زد#زن,,,دنیای واقعیت را,با تخیل و رویا,3,4,-1,8,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داد#ده,,,خود را,در قالب نمادها,2,3,-1,3,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,چهره ترسناک آثار او را,با دفرماسیون و تغییر شکلهای فانتزی,5,6,-1,6,11,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
_,,,روحی شاد,در دل این طرحها,2,4,-2,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داد#ده,,,شکلی ملموس و در عین حال دلنشین,به ترسها اوهام و کابوس‌های آدمها,7,6,1,7,13,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
داد#ده,,,روشهای خود را,به شکل جسورانه‌ای,3,3,0,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,موجودات ش را,به گونه‌ای زنده‌تر,3,3,0,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
دید#بین,,,آفتاب را,در اتاق,2,2,0,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کشید#کش,,,شمد را,روی لحاف,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
آورد#آور,,,زبان ش را,با دیدن خود در آینه,3,5,-2,4,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,نان,برای مریم,1,2,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,او را,از این کار,2,3,-1,6,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,ده‌تومانی را,به طرف ش,2,3,-1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,ده‌تومانی را,در جیب,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
نهاد#نه,,,آنها را,در کیف,2,2,0,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
_,,,بچه‌ها را,به کلاس,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داد#ده,,,زبان,به یکدیگر,1,2,-1,2,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
ماند#مان,,,یازده ساعت,به افطار,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,کیف را,از روی زمین,2,3,-1,5,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,آدم را,از کارهای بد,2,3,-1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داد#ده,,,گز را,به او,2,2,0,4,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
داد#ده,,,گز را,به پدر,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داد#ده,,,گز را,به مریم,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
آورد#آور,,,احمد را,به خود,2,2,0,4,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
گرفت#گیر,,,کیف ش را,روی زانو,3,2,1,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,دفتر انشا را,روی میز,3,2,1,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
گذراند#گذران,,,بچه‌ها را,از زیر نگاه,2,3,-1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داشت#دار,,,لبخندکی,به لب,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
گذارد#گذار,,,گز را,به دهان,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
داد#ده,,,گزها را,در نیمکت,2,2,0,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,خود را,با اراده‌ای قوی,2,3,-1,3,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,خود را,با اراده‌ای قوی,2,3,-1,3,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,بچه‌ها را,از همان پایین,2,3,-1,3,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
_,,,سر به زیر,با اندکی تواضع,3,3,0,3,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
داد#ده,,,زبان,به هم,1,2,-1,2,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
نهاد#نه,,,گزها را,در کیف,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,پای ش را,در جوی آب,3,3,0,6,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,فکر آب خوردن را,از سر به در,4,4,0,8,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کشید#کش,,,کیف را,به طرف خود,2,3,-1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,کودک را,با حرکت سر,2,3,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
کشید#کش,,,آن را,به جانب خود,2,3,-1,5,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,سفره را,میان تخت,2,2,0,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,سبزی خوردن را,سر حوض زیر شیر آب,3,5,-2,8,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,پشنگه‌های آب را,به شمعدانیهای سر حوض,3,4,-1,7,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
نهاد#نه,,,سبزی را,در سفره,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,سر از زانو,از صدای قیژقیژ تخت,3,4,-1,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
نهاد#نه,,,قرآن را,لب طاقچه,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
_,,,وسایل را,در آن,2,2,0,4,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
کرد#کن,,,دعایی را,زیر لب,2,2,0,3,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
_,,,همه چیز را,با نگاه,3,2,1,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
_,,,یه کاری,برا مادر,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
کرد#کن,,,بساط ش را,با خوشحالی که مساله حل شده,3,6,-3,12,8,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
زد#زن,,,دست را,با شانه,2,2,0,3,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,ساخت جست و جو را,با این هدف,5,3,2,11,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
آمد#آ,,,چه,به سر این جامعه,1,4,-3,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
کرد#کن,,,معضلات فرهنگی را,به این خاطر,3,3,0,7,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
