Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
przynieść,1,4,-3,-1,-1,0,1
zastrzelić,1,8,7,1,1,1,1
ostrzelać,4,3,1,1,-1,0,1
zgłosić,3,2,1,1,-1,0,1
odciągnąć,1,2,1,1,1,0,1
spędzić,1,2,-1,-1,-1,1,1
ukryć,1,2,1,1,1,1,1
wypisać,1,2,1,1,1,1,1
zobaczyć,2,2,0,0,1,0,1
powiedzieć,1,2,1,1,1,0,1
poznać,4,4,0,0,1,1,1
wysłać,1,2,1,1,1,0,1
wywieźć,1,2,1,1,1,1,1
używać,4,2,2,1,-1,1,1
wygrać,2,2,0,0,1,0,1
pociągnąć,1,2,1,1,1,1,1
stanowić,1,3,2,1,1,0,1
odbijać,1,4,3,1,1,0,1
powstrzymać,1,2,1,1,1,1,1
widzieć,1,2,1,1,1,0,1
powstrzymać,1,2,1,1,1,1,1
poznać,1,3,2,1,1,1,1
wywrzeć,2,2,0,0,-1,1,1
wziąć,1,2,-1,-1,-1,1,1
wybierać,1,2,1,1,1,0,1
nosić,1,2,-1,-1,-1,1,1
ciągnąć,1,2,1,1,1,1,1
zamówić,1,3,2,1,1,0,1
zrobić,1,4,3,1,1,1,1
zwracać,1,2,-1,-1,-1,1,1
trapić,1,3,2,1,1,0,1
odbierać,1,2,1,1,1,0,1
wynajmować,1,3,2,1,1,0,1
wypijać,3,2,1,1,-1,0,1
porwać,1,2,1,1,1,0,1
zostawić,1,2,1,1,1,1,1
wpychać,1,4,3,1,1,0,1
odnaleźć,1,5,4,1,1,1,1
zdeptać,3,2,1,1,-1,-1,1
żywić,1,3,2,1,1,0,1
stracić,1,3,2,1,1,0,1
wyrzucić,1,2,1,1,1,1,1
przeganiać,1,2,1,1,1,1,1
umieścić,1,2,1,1,1,0,1
kierować,1,3,2,1,1,0,1
kupić,4,2,2,1,-1,0,1
poprosić,1,2,1,1,1,0,1
błagać,1,2,1,1,1,1,1
zarządzić,1,2,-1,-1,-1,0,1
cenić,1,2,1,1,1,0,1
napisać,1,2,-1,-1,-1,1,1
uruchomić,1,4,3,1,1,0,1
upowszechnić,3,3,0,0,1,0,1
dopuścić,3,2,1,1,-1,0,1
skierować,1,4,3,1,1,0,1
odespać,2,3,1,1,1,0,1
powiadomić,1,4,3,1,1,0,1
wyciągnąć,4,2,2,1,-1,0,1
podrzucić,1,2,1,1,1,1,1
złożyć,1,2,-1,-1,-1,0,1
chwalić,1,2,1,1,1,0,1
nawiązać,1,3,2,1,1,0,1
drzeć,1,2,1,1,1,0,1
mleć,1,7,6,1,1,0,1
odgrodzić,1,4,3,1,1,1,1
wziąć,1,2,1,1,1,1,1
wybierać,5,3,-2,-1,1,0,1
ciągnąć,1,2,1,1,1,1,1
zwieźć,1,4,3,1,1,0,1
spowodować,1,2,1,1,1,0,1
wyrwać,2,4,-2,-1,-1,0,1
nakładać,2,3,1,1,1,0,1
cofnąć,1,2,1,1,1,0,1
koncentrować,1,3,2,1,1,0,1
robić,1,7,6,1,1,0,1
otrzymać,1,2,1,1,1,0,1
prasować,1,2,-1,-1,-1,0,1
brać,4,2,2,1,-1,1,1
leczyć,1,3,2,1,1,0,1
złożyć,2,3,1,1,1,0,1
powiedzieć,2,3,1,1,1,0,1
widzieć,1,2,1,1,1,0,1
zapewnić,1,2,1,1,1,0,1
zamienić,3,3,0,0,1,0,1
objąć,1,3,2,1,1,0,1
zdzierać,3,2,1,1,-1,0,1
spowodować,7,3,-4,-1,1,0,1
płacić,1,3,2,1,1,0,1
zacząć,1,3,2,1,1,0,1
zrobić,1,3,2,1,1,1,1
rozpoczynać,2,3,1,1,1,0,1
położyć,2,3,-1,-1,-1,0,1
przekazywać,1,3,2,1,1,0,1
