Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
przynieść,,Acc,granat,do szkoły w Studziankach,1,4,-3,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
zastrzelić,,,się,na warcie w nocy z soboty na niedzielę,1,8,-7,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
ostrzelać,,Acc,mieszkanie w centrum Skarżyska,z broni ostrej,4,3,1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
zgłosić,,Gen,213 swoich produktów,do konkursu,3,2,1,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
odciągnąć,,ase=Npr,ich,od ciebie,1,2,-1,1,3,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,postverbal
spędzić,,Acc,zimę,z nami,1,2,-1,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
ukryć,,,się,w tłumie,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
wypisać,,Acc,mnie,z czytelni,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
zobaczyć,,Acc,gołą dziewczynę,w naturze,2,2,0,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
powiedzieć,,Gen,nic,o niej,1,2,-1,1,3,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,postverbal
poznać,,Acc,mnie w tych łachmanach,pomimo zarostu na gębie,4,4,0,1,7,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
wysłać,,Acc,Roberta,do Kalabrii,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
wywieźć,,ase=Npr,je,do Niemiec,1,2,-1,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
