Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
nosić,1,2,-1,-1,-1,1,1
przenieść,1,2,1,1,1,0,1
odchudzać,1,2,-1,-1,-1,1,1
malować,1,2,1,1,1,0,1
osiągnąć,2,3,-1,-1,-1,1,1
wysuwać,2,2,0,0,-1,0,1
ukryć,1,2,-1,-1,-1,0,1
zamknąć,2,2,0,0,-1,0,1
upatrzyć,5,2,3,1,-1,-1,1
wrobić,1,2,-1,-1,-1,0,1
wytoczyć,2,2,0,0,-1,0,1
pociągać,1,2,-1,-1,-1,0,1
robić,1,3,-2,-1,-1,1,1
robić,1,2,-1,-1,-1,0,1
zrobić,1,2,-1,-1,-1,0,1
ciągnąć,1,2,-1,-1,-1,1,1
zostawić,2,3,-1,-1,-1,0,1
uczynić,1,2,-1,-1,-1,-1,1
ostrzegać,1,2,-1,-1,-1,0,1
opuszczać,1,2,1,1,1,0,1
ugryźć,1,2,1,1,1,-1,1
trzymać,2,2,0,0,-1,0,1
obrócić,1,2,-1,-1,-1,1,1
zawiać,2,2,0,0,1,0,1
gnać,1,2,-1,-1,-1,0,1
wydalić,2,2,0,0,-1,0,1
zakryć,1,2,1,1,1,0,1
podliczyć,1,2,1,1,1,0,1
zrealizować,1,2,-1,-1,-1,0,1
wozić,1,4,3,1,1,1,1
przeszywać,2,3,1,1,1,0,1
zdobywać,3,3,0,0,1,0,1
przynosić,1,4,-3,-1,-1,-1,1
zawijać,1,2,-1,-1,-1,0,1
skarcić,1,2,1,1,1,0,1
zrobić,2,2,0,0,-1,1,1
palić,1,2,-1,-1,-1,0,1
przysłać,1,2,1,1,1,0,1
zostawiać,1,2,1,1,1,0,1
zdjąć,4,3,-1,-1,1,0,1
objąć,3,2,-1,-1,1,0,1
zrobić,1,2,-1,-1,-1,0,1
liczyć,1,4,3,1,1,0,1
wyrzucić,1,2,-1,-1,-1,1,1
oglądać,1,2,1,1,1,0,1
znać,1,2,1,1,1,-1,1
wystawić,2,2,0,0,-1,0,1
zrobić,1,2,-1,-1,-1,0,1
prosić,1,2,1,1,1,0,1
skierować,2,3,-1,-1,-1,0,1
klepnąć,1,2,-1,-1,-1,1,1
przyjmować,1,2,1,1,1,1,1
przespać,2,2,0,0,1,0,1
wypracować,4,3,-1,-1,1,0,1
sprzedać,1,3,2,1,1,0,1
grać,2,3,1,1,1,0,1
zasypać,1,3,2,1,1,0,1
rozpatrzyć,1,3,2,1,1,0,1
zamienić,1,2,1,1,1,0,1
odbierać,1,2,1,1,1,-1,1
przypieczętować,2,3,1,1,1,0,1
pokryć,2,4,2,1,1,0,1
napisać,2,3,1,1,1,-1,1
zajmować,11,3,-8,-1,1,0,1
zdobyć,2,3,1,1,1,0,1
pogłębić,1,3,2,1,1,0,1
opracowywać,1,3,2,1,1,0,1
zapowiedzieć,4,2,-2,-1,1,0,1
zaprowadzić,1,2,-1,-1,-1,1,1
załatwić,2,2,0,0,-1,1,1
nakręcić,2,2,0,0,1,1,1
wsadzić,1,2,-1,-1,-1,0,1
położyć,2,3,1,1,1,0,1
zlikwidować,1,2,1,1,1,0,1
wypuścić,1,3,2,1,1,-1,1
wydawać,1,2,-1,-1,-1,0,1
połączyć,1,2,-1,-1,-1,0,1
zdobyć,2,5,-3,-1,-1,0,1
znać,1,2,1,1,1,-1,1
zawiać,2,2,0,0,1,0,1
przypieczętować,2,3,1,1,1,0,1
uczynić,1,2,-1,-1,-1,-1,1
nosić,1,2,-1,-1,-1,1,1
przysłać,1,2,1,1,1,0,1
zasypać,1,3,2,1,1,0,1
pogłębić,1,3,2,1,1,0,1
wydawać,3,12,9,1,1,0,1
traktować,1,3,-2,-1,-1,0,1
rozwinąć,2,3,-1,-1,-1,0,1
niszczyć,1,4,3,1,1,-1,1
jeść,1,2,1,1,1,0,1
podjąć,2,7,-5,-1,-1,0,1
znaleźć,2,5,3,1,1,0,1
powierzyć,3,2,-1,-1,1,0,1
poprzeć,3,2,-1,-1,1,0,1
transportować,1,6,-5,-1,-1,0,1
napisać,3,3,0,0,1,0,0
wziąć,1,2,-1,-1,-1,0,0
kreować,1,2,-1,-1,-1,0,0
zatwierdzać,1,17,-16,-1,-1,0,0
powołać,1,2,-1,-1,-1,0,0
podjąć,2,5,-3,-1,-1,0,0
przyjąć,2,5,-3,-1,-1,0,0
robić,1,2,-1,-1,-1,0,0
ogarniać,1,2,1,1,1,0,0
zdjąć,1,4,-3,-1,-1,0,0
zrealizować,1,2,1,1,1,-1,0
przyjąć,2,5,-3,-1,-1,0,0
przeprowadzić,2,4,-2,-1,-1,0,0
zabrać,1,3,-2,-1,-1,0,0
stosować,2,3,-1,-1,-1,0,0
formułować,3,4,-1,-1,-1,0,0
prowadzić,3,8,-5,-1,-1,0,0
podpisać,1,3,2,1,1,0,0
płacić,2,8,-6,-1,-1,-1,0
podtrzymać,2,3,1,1,1,0,0
kontrolować,2,5,-3,-1,-1,0,0
odebrać,9,2,7,1,-1,0,0
założyć,2,10,-8,-1,-1,0,0
mówić,1,2,-1,-1,-1,1,0
widzieć,1,3,2,1,1,0,0
podstawiać,1,2,1,1,1,0,0
stawiać,2,3,-1,-1,-1,0,0
obgryźć,1,2,1,1,1,0,0
przeprowadzać,2,4,-2,-1,-1,0,0
wygrać,1,2,1,1,1,0,0
odnaleźć,4,7,3,1,1,0,0
widzieć,1,2,1,1,1,-1,0
ośmieszać,2,4,-2,-1,-1,0,0
podkleić,4,2,2,1,-1,0,0
lubić,1,3,-2,-1,-1,1,0
kreować,1,2,1,1,1,0,0
odbierać,1,2,-1,-1,-1,0,0
składać,1,3,-2,-1,-1,0,0
wykonywać,2,2,0,0,1,0,0
ogłosić,1,7,6,1,1,0,0
zwrócić,12,4,-8,-1,1,0,0
wkurzać,1,2,1,1,1,-1,0
ocenić,2,2,0,0,-1,0,0
przerwać,1,3,-2,-1,-1,0,0
przenosić,1,2,-1,-1,-1,0,0
zawiać,3,2,1,1,-1,-1,0
sprawować,2,2,0,0,-1,0,0
położyć,1,2,1,1,1,1,0
faszerować,1,2,1,1,1,0,0
kierować,2,4,-2,-1,-1,0,0
wyjmować,4,2,-2,-1,1,0,0
widzieć,1,2,-1,-1,-1,1,0
zrobić,2,2,0,0,1,-1,0
przedstawiać,1,9,-8,-1,-1,0,0
wypowiedzieć,1,4,3,1,1,0,0
przekazać,3,3,0,0,-1,0,0
przyjąć,2,5,-3,-1,-1,0,0
