Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
nosić,,Acc,co,w sercu,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
przenieść,,Gen,Polski,do Azji,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
odchudzać,,,się,w życiu,1,2,-1,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
malować,,Acc,to,po co,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
osiągnąć,,Acc,jeszcze coś,w tamtym środowisku,2,3,-1,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
wysuwać,,Acc,króla angielskiego,z flotą,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
ukryć,,Acc,to,przed nim,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
zamknąć,,Acc,moje kury,w sąsieku,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
upatrzyć,,Gen,wzmianek o chodzeniu do kościoła,u niej,5,2,3,8,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
wrobić,,Acc,nas,w to,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
wytoczyć,,Acc,Ciężkie działa,przeciw abolicji,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
pociągać,,Acc,Cię,w nich,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
robić,,Acc,Co,w takim razie,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
robić,,Acc,Co,z nimi,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
zrobić,,Acc,Co,z tym,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
ciągnąć,,ase=Npr,go,do koleżków,1,2,-1,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
zostawić,,Gen,Głupiego samochodu,na parę minut,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
uczynić,,Acc,krzyż,nad nimi,1,2,-1,3,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
ostrzegać,,Acc,mnie,przed nimi,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
opuszczać,,Acc,Francuza,w której,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
ugryźć,,Gen,nikogo,bez brata,1,2,-1,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
trzymać,,Acc,Kij bejsbolowy,pod poduszką,2,2,0,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
obrócić,,Acc,wszystko,w żart,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
zawiać,,Acc,całe okno,u Gontarczyków,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
gnać,,Acc,Ludzi,z chałup,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
wydalić,,Acc,to wszystko,z siebie,2,2,0,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
zakryć,,Acc,twarz,Na chwilę,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
podliczyć,,Acc,wyniki,Na koniec,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zrealizować,,Acc,który,po tygodniu,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
wozić,,Acc,towar,Nie do was jednych,1,4,-3,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
przeszywać,,Acc,serca przychodniów,w każdym momencie,2,3,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zdobywać,,Acc,coraz większą popularność,Od lat siedemdziesiątych,3,3,0,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
przynosić,,Acc,Okulary,od siebie z pokoju,1,4,-3,5,3,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
zawijać,,Acc,druty,za uszy,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
skarcić,,ase=Npr,go,za to,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
zrobić,,Acc,coś jeszcze,w życiu,2,2,0,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
palić,,Gen,Papierosów,w szkole,1,2,-1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
przysłać,,ase=Npr,go,Po co,1,2,-1,2,3,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
zostawiać,,Acc,to,Po co,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
zdjąć,,Acc,punkt o odwołaniu zarządu,Po naszym reportażu,4,3,1,4,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
objąć,,Acc,władzę w Algierii,Po przewrocie,3,2,1,3,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zrobić,,Acc,coś,ze sobą,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
liczyć,,Acc,głosy,Poza Centralną Komisją Wyborczą,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
wyrzucić,,ase=Npr,ich,z partii,1,2,-1,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
oglądać,,Acc,pornole,Przed snem,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
znać,,ase=Npr,jej,Przed wojną,1,2,-1,3,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
wystawić,,Acc,Przeklęty widok,przed oczy,2,2,0,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
zrobić,,Acc,coś,z tym,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
prosić,,Acc,cię,o co,1,2,-1,1,2,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
skierować,,Acc,Starszego aspiranta,w prowincjonalnym ośrodku,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
klepnąć,,Acc,mnie,po plecach,1,2,-1,4,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
przyjmować,,Acc,gości,na czym,1,2,-1,1,2,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
przespać,,Gen,żadnej nocy,do roku,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
wypracować,,Acc,dwie bramki dla Lecha,w ostatnim kwadransie,4,3,1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
sprzedać,,Acc,alkohol,w jednym przypadku,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
grać,,Acc,główną rolę,W marzeniach sennych,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zasypać,,Gen,Warszawy,W najbliższych dniach,1,3,-2,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
rozpatrzyć,,Acc,zażalenia,W obu przypadkach,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zamienić,,Gen,słowa,W ogóle,1,2,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
odbierać,,Gen,tego,W ogóle,1,2,-1,3,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
przypieczętować,,Acc,klęskę kolończyków,W ostatniej minucie,2,3,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
pokryć,,Acc,jej ruiny,W początkach następnego tysiąclecia,2,4,-2,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
napisać,,Gen,niczego dobrego,W takich warunkach,2,3,-1,3,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
zajmować,,Gen,wiele przedziałów w pociągach nad morze w góry i na Mazury,W tej sytuacji,11,3,8,11,13,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zdobyć,,Acc,znaczne wpływy,W tych miastach,2,3,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
pogłębić,,Acc,uszkodzenia,W tym roku,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
opracowywać,,Acc,budżet,W Unii Europejskiej,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zapowiedzieć,,Acc,zaskarżenie ustawy do sądu,Według KAI,4,2,2,4,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zaprowadzić,,Acc,mnie,do grobu,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
załatwić,,ase=Npr,wszystkie je,po kolei,2,2,0,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
nakręcić,,Acc,taki film,u nas,2,2,0,1,3,indefinite,indefinite,nonpronomial,pronominal,preposition,nonshifted,preverbal
wsadzić,,Acc,Wędzidło,w zęby,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
położyć,,Acc,jasne czoło,u stopy braterskiej,2,3,-1,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
zlikwidować,,Acc,bibliotekę,Za Chruszczowa,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
wypuścić,,ase=Npr,go,po trzech miesiącach,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
wydawać,,Acc,Zgodę,na adopcję,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
połączyć,,Acc,mnie,z nim,1,2,-1,3,1,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
zdobyć,,Acc,Złoty medal,w kategorii do 68 kilogramów,2,5,-3,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
znać,,ase=Npr,jej,Przed wojną,1,2,-1,3,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
zawiać,,Acc,całe okno,u Gontarczyków,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
przypieczętować,,Acc,klęskę kolończyków,W ostatniej minucie,2,3,-1,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
uczynić,,Acc,krzyż,nad nimi,1,2,-1,3,1,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,preverbal
nosić,,Acc,co,w sercu,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
przysłać,,ase=Npr,go,Po co,1,2,-1,2,3,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,preverbal
zasypać,,Gen,Warszawy,W najbliższych dniach,1,3,-2,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
pogłębić,,Acc,uszkodzenia,W tym roku,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
wydawać,,Acc,decyzję o odpłatności,W przypadku regionalnej placówki opiekuńczo wychowawczej finansowanej z dochodów własnych samorządu województwa,3,12,-9,3,13,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
traktować,,Acc,Polaków,w owej chwili,1,3,-2,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
rozwinąć,,Acc,Powyższą koncepcję,w latach późniejszych,2,3,-1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
niszczyć,,Acc,wszystko,Po drodze do celu,1,4,-3,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
jeść,,Acc,mięso,na wolności,1,2,-1,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
podjąć,,Acc,Regulaminowe decyzje,po wnikliwej analizie protokołu z tego pojedynku,2,7,-5,10,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
znaleźć,,Acc,zwłoki dziecka,Po prawie dwóch godzinach poszukiwań,2,5,-3,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
powierzyć,,Acc,modernizację owego mechanizmu,W Polsce,3,2,1,3,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
