Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
encontrar,1,3,2,1,1,1,1
especializar,1,3,2,1,1,1,1
dispor,4,4,0,0,-1,0,1
apresentar,12,10,2,1,-1,0,1
ter,1,3,2,1,1,0,1
compor,1,15,14,1,1,1,1
haver,5,3,-2,-1,1,0,1
alargar,4,17,13,1,1,0,1
ceder,1,6,5,1,1,0,1
pedir,1,5,-4,-1,-1,-1,1
tomar,7,4,-3,-1,1,0,1
evocar,21,3,18,1,-1,0,1
ter,5,3,2,1,-1,0,1
vencer,4,5,1,1,1,0,1
escolher,8,6,2,1,-1,0,1
ler,12,7,5,1,-1,0,1
manifestar,1,4,3,1,1,0,1
organizar,2,2,0,0,1,0,1
defender,3,2,-1,-1,1,0,1
traduzir,7,3,4,1,-1,0,1
pisar,6,2,4,1,-1,0,1
haver,5,3,2,1,-1,0,1
dar,3,5,2,1,1,0,1
enviar,2,4,2,1,1,0,1
dirigir,1,3,2,1,1,1,1
apontar,2,3,1,1,1,0,1
instalar,6,10,4,1,1,0,1
adquirir,3,9,6,1,1,0,1
evacuar,2,14,12,1,1,0,1
alertar,3,4,-1,-1,-1,0,1
ir,1,3,2,1,1,1,1
fazer,22,2,20,1,-1,0,1
colocar,6,4,2,1,-1,0,1
dar,2,3,1,1,1,0,1
oferecer,10,5,5,1,-1,0,1
gozar,5,7,2,1,1,0,1
recusar,7,2,5,1,-1,0,1
substituir,1,11,10,1,1,1,1
fechar,1,4,3,1,1,1,1
passar,1,31,30,1,1,0,1
pôr,2,7,5,1,1,0,1
ter,1,2,1,1,1,0,1
ter,14,17,3,1,1,0,1
haver,1,6,5,1,1,0,1
traçar,3,11,8,1,1,0,1
ver,2,30,28,1,1,0,1
acompanhar,5,31,26,1,1,0,1
dividir,2,3,1,1,1,0,1
pintar,11,2,9,1,-1,0,1
deixar,2,6,4,1,1,0,1
criticar,3,4,1,1,1,1,1
praticar,1,3,2,1,1,0,1
vender,2,3,1,1,1,0,1
liderar,23,2,21,1,-1,0,1
defender,34,4,30,1,-1,0,1
encontrar,1,23,22,1,1,1,1
afirmar,3,7,4,1,1,0,1
remeter,5,21,16,1,1,0,1
situar,2,27,25,1,1,0,1
entregar,4,18,14,1,1,0,1
suscitar,2,4,2,1,1,0,1
desempenhar,3,6,3,1,1,0,1
manter,5,3,2,1,-1,0,1
deitar,2,10,8,1,1,-1,1
pôr,13,2,11,1,-1,0,1
negociar,7,8,1,1,1,0,1
ter,1,3,2,1,1,0,1
ter,23,2,21,1,-1,0,1
criar,9,8,1,1,-1,0,1
reunir,1,2,1,1,1,1,1
provocar,1,3,2,1,1,0,1
levar,6,3,3,1,-1,0,1
ter,12,8,4,1,-1,0,1
percorrer,2,6,4,1,1,0,1
reiterar,9,17,8,1,1,0,1
haver,1,6,5,1,1,0,1
fazer,2,3,1,1,1,1,1
fornecer,13,8,5,1,-1,0,1
dar,3,4,1,1,1,0,1
trazer,1,2,1,1,1,1,1
alargar,3,14,11,1,1,0,1
ilustrar,1,5,4,1,1,1,1
aprovar,31,3,28,1,-1,0,1
haver,6,32,26,1,1,0,1
acrescentar,1,12,11,1,1,0,1
condenar,5,2,3,1,-1,0,1
apresentar,2,3,1,1,1,0,1
estrear,1,4,3,1,1,1,1
bater,1,3,2,1,1,1,1
haver,1,5,4,1,1,0,1
dividir,2,3,1,1,1,0,1
retirar,2,5,3,1,1,0,1
evitar,4,19,15,1,1,0,1
reivindicar,8,7,-1,-1,1,0,1
manter,1,7,6,1,1,1,1
manter,1,10,9,1,1,1,1
falar,5,17,12,1,1,0,1
pronunciar,1,10,9,1,1,1,1
representar,4,4,0,0,-1,0,1
ter,33,5,28,1,-1,0,1
proceder,14,7,7,1,-1,0,1
apresentar,1,8,7,1,1,1,1
ter,19,5,14,1,-1,0,1
intrometer,1,6,5,1,1,1,1
dispor,18,4,14,1,-1,0,1
alimentar,3,11,8,1,1,-1,1
fazer,1,3,2,1,1,0,1
apostar,1,22,21,1,1,1,1
conquistar,7,2,-5,-1,1,0,1
explicar,7,4,-3,-1,1,0,1
escolher,2,3,1,1,1,0,1
morrer,6,9,3,1,1,0,1
adiar,9,3,6,1,-1,0,1
dividir,5,20,15,1,1,0,1
abrir,3,3,0,0,1,0,1
confirmar,3,8,5,1,1,0,1
portar,1,3,2,1,1,1,1
provocar,1,23,22,1,1,0,1
reclamar,20,2,18,1,-1,0,1
iniciar,3,12,9,1,1,0,1
instalar,2,8,6,1,1,-1,1
fazer,2,21,19,1,1,0,1
libertar,15,6,9,1,-1,0,1
encontrar,1,9,8,1,1,1,1
sequestrar,2,15,13,1,1,0,1
retirar,3,5,2,1,1,0,1
colocar,1,10,9,1,1,1,1
esticar,2,4,2,1,1,0,1
retomar,2,6,4,1,1,0,1
encontrar,1,6,5,1,1,1,1
interpretar,8,6,-2,-1,1,0,1
mover,1,6,5,1,1,1,1
reconverter,5,5,0,0,1,0,1
buscar,2,3,1,1,1,0,1
servir,6,3,3,1,-1,0,1
transformar,9,6,3,1,-1,0,1
seguir,15,3,12,1,-1,0,1
assentar,1,11,10,1,1,0,1
tornar,1,3,2,1,1,1,1
controlar,4,2,-2,-1,1,0,1
acolher,30,12,18,1,-1,0,1
juntar,1,9,8,1,1,1,1
pedir,9,17,8,1,1,0,1
deitar,5,2,3,1,-1,0,1
significar,3,6,3,1,1,0,1
capturar,13,8,-5,-1,1,0,1
decidir,2,4,2,1,1,0,1
assegurar,3,8,5,1,1,0,1
golear,4,2,-2,-1,1,0,1
elevar,21,2,19,1,-1,0,1
manter,1,13,12,1,1,1,1
manter,13,2,11,1,-1,0,1
conseguir,7,5,-2,-1,1,0,1
depositar,2,3,1,1,1,0,1
tentar,3,4,-1,-1,-1,0,1
conseguir,7,6,1,1,-1,0,1
experimentar,12,2,10,1,-1,0,1
ligar,5,11,6,1,1,0,1
aproveitar,2,3,1,1,1,0,1
dirigir,1,3,2,1,1,1,1
ver,3,2,1,1,-1,1,1
defrontar,13,4,9,1,-1,0,1
empolgar,2,8,6,1,1,0,1
defrontar,13,4,9,1,-1,0,1
bater,9,4,-5,-1,1,0,1
ajudar,2,9,7,1,1,0,1
comprovar,18,7,-11,-1,1,0,1
introduzir,6,3,3,1,-1,0,1
situar,1,15,14,1,1,1,1
detectar,10,2,8,1,-1,0,1
fazer,3,4,1,1,1,0,1
ter,10,3,7,1,-1,0,1
empregar,4,4,0,0,-1,1,1
reinserir,1,4,3,1,1,0,1
governar,1,11,10,1,1,0,1
ver,2,13,11,1,1,0,1
começar,3,11,8,1,1,-1,1
ter,5,4,-1,-1,1,0,1
contar,3,5,2,1,1,0,1
influenciar,10,4,6,1,-1,0,1
efectuar,12,5,7,1,-1,0,1
defender,11,2,9,1,-1,0,1
defender,5,7,2,1,1,0,1
sentir,5,3,2,1,-1,0,1
haver,21,12,-9,-1,1,-1,1
deixar,1,30,29,1,1,0,1
acompanhar,9,2,7,1,-1,0,1
constituir,7,2,5,1,-1,1,1
dar,2,2,0,0,-1,0,1
haver,1,2,1,1,1,0,1
compatibilizar,4,14,10,1,1,0,1
conferir,3,4,1,1,1,0,1
impor,4,10,6,1,1,0,1
manifestar,1,2,1,1,1,1,1
haver,15,3,12,1,-1,0,1
chegar,6,3,3,1,-1,0,1
abrir,2,4,-2,-1,-1,0,1
manter,8,6,2,1,-1,0,1
valorizar,1,2,1,1,1,1,1
confirmar,11,2,9,1,-1,0,1
juntar,1,2,1,1,1,1,1
inaugurar,2,3,1,1,1,0,1
chegar,6,6,0,0,1,0,1
usar,1,11,10,1,1,1,1
enxugar,2,20,18,1,1,0,1
macular,11,3,8,1,-1,0,1
seguir,1,2,1,1,1,1,1
observar,9,2,7,1,-1,0,1
recolher,4,9,5,1,1,0,1
reafirmar,7,4,3,1,-1,0,1
ver,6,3,3,1,-1,0,1
colocar,18,6,12,1,-1,0,1
lançar,3,21,18,1,1,0,1
aplaudir,2,2,0,0,1,0,1
apostar,3,2,-1,-1,1,0,1
significar,17,3,14,1,-1,0,1
juntar,23,3,20,1,-1,0,1
encontrar,1,4,3,1,1,1,1
ter,15,3,12,1,-1,0,1
nascer,15,8,7,1,-1,0,1
limitar,2,7,5,1,1,0,1
posicionar,2,13,11,1,1,0,1
abrir,4,6,2,1,1,0,1
ultrapassar,6,24,18,1,1,0,1
justificar,10,3,7,1,-1,0,1
ter,2,3,1,1,1,0,1
descobrir,2,13,11,1,1,0,1
ter,4,10,6,1,1,0,1
alcançar,31,2,29,1,-1,0,1
adoptar,35,4,31,1,-1,0,1
deixar,3,3,0,0,1,0,1
envolver,10,8,-2,-1,1,0,1
ter,6,2,4,1,-1,0,1
servir,7,4,3,1,-1,0,1
participar,12,6,-6,-1,1,0,1
reivindicar,8,17,9,1,1,0,1
misturar,1,2,1,1,1,0,1
duplicar,3,6,3,1,1,0,1
inserir,1,16,15,1,1,1,1
marcar,2,8,6,1,1,0,1
aceitar,6,15,9,1,1,0,1
ultrapassar,4,5,1,1,1,0,1
deixar,4,2,-2,-1,1,0,1
cortar,2,17,15,1,1,0,1
terminar,8,4,-4,-1,1,0,1
perder,2,4,2,1,1,0,1
dominar,2,4,2,1,1,0,1
instalar,1,3,2,1,1,1,1
manter,7,13,6,1,1,0,1
referir,1,7,6,1,1,1,1
haver,3,18,15,1,1,0,1
registar,27,3,24,1,-1,0,1
terminar,4,3,-1,-1,1,0,1
derrotar,1,4,3,1,1,0,1
conquistar,6,4,2,1,-1,0,1
diminuir,3,3,0,0,1,0,1
averbar,7,5,2,1,-1,0,1
superar,7,5,2,1,-1,0,1
colocar,4,15,11,1,1,0,1
receber,48,2,46,1,-1,1,1
regulamentar,2,9,7,1,1,0,1
pedir,4,3,-1,-1,1,0,1
estimar,3,7,4,1,1,0,1
dividir,2,4,2,1,1,0,1
conseguir,2,4,2,1,1,0,1
atrasar,2,3,1,1,1,0,1
dividir,2,3,-1,-1,-1,0,1
roer,2,10,8,1,1,0,1
entregar,3,2,-1,-1,1,0,1
levantar,1,3,2,1,1,0,1
fazer,2,3,1,1,1,0,1
lembrar,11,7,4,1,-1,0,1
ter,3,2,1,1,-1,0,1
apresentar,4,4,0,0,1,0,1
aceitar,4,2,2,1,-1,0,1
realizar,4,2,2,1,-1,0,1
remeter,2,6,4,1,1,0,1
juntar,5,3,-2,-1,1,0,1
formalizar,9,9,0,0,1,0,1
haver,14,2,12,1,-1,0,1
ocupar,1,8,7,1,1,0,1
expor,15,4,11,1,-1,0,1
cheirar,2,32,30,1,1,0,1
passar,8,3,5,1,-1,0,1
identificar,2,3,-1,-1,-1,0,1
iniciar,2,16,14,1,1,0,1
permitir,2,4,2,1,1,0,1
apresentar,1,2,1,1,1,0,1
pôr,5,2,3,1,-1,0,1
iniciar,3,2,-1,-1,1,0,1
encontrar,2,3,-1,-1,-1,0,1
aguardar,2,2,0,0,1,0,1
fazer,1,23,22,1,1,1,1
fornecer,5,4,-1,-1,1,0,1
negociar,1,3,2,1,1,0,1
cozinhar,2,3,1,1,1,0,1
ter,12,2,10,1,-1,0,1
acompanhar,1,6,5,1,1,0,1
haver,41,3,38,1,-1,0,1
constituir,2,4,2,1,1,0,1
reduzir,16,21,5,1,1,0,1
juntar,19,6,13,1,-1,0,1
assinar,7,2,5,1,-1,0,1
atacar,13,4,9,1,-1,0,1
gerir,3,6,3,1,1,0,1
desencadear,1,5,4,1,1,0,1
retratar,2,11,9,1,1,0,1
ver,1,2,1,1,1,0,1
fazer,3,31,28,1,1,0,1
fazer,3,18,15,1,1,0,1
afunilar,2,3,1,1,1,0,1
conduzir,2,3,1,1,1,0,1
receber,6,4,2,1,-1,0,1
superar,13,2,11,1,-1,1,1
contar,40,14,26,1,-1,0,1
apresentar,3,3,0,0,-1,0,1
pedir,1,3,2,1,1,0,1
preparar,2,2,0,0,1,0,1
ter,2,2,0,0,1,0,1
ter,7,2,5,1,-1,0,1
prejudicar,1,2,1,1,1,0,1
passar,4,4,0,0,-1,0,1
curvar,1,6,5,1,1,1,1
falar,3,16,13,1,1,0,1
chamar,2,44,42,1,1,0,1
visitar,1,2,1,1,1,0,1
emitir,7,2,5,1,-1,0,1
ver,2,2,0,0,1,0,1
aceitar,32,10,22,1,-1,0,1
servir,21,7,14,1,-1,0,1
integrar,6,3,-3,-1,1,0,1
fazer,2,4,2,1,1,0,1
prefaciar,2,14,12,1,1,0,1
leccionar,7,6,-1,-1,1,0,1
fazer,2,2,0,0,1,0,1
olhar,3,3,0,0,-1,0,1
criar,1,6,5,1,1,0,1
ouvir,2,8,6,1,1,0,1
ter,3,3,0,0,1,0,1
submeter,39,7,32,1,-1,0,1
reduzir,3,4,-1,-1,-1,0,1
transportar,3,6,3,1,1,0,1
reconciliar,2,3,1,1,1,0,1
deixar,2,3,1,1,1,0,1
viver,7,3,4,1,-1,0,1
espetar,2,6,4,1,1,0,1
deitar,4,2,2,1,-1,0,1
cortar,2,3,1,1,1,0,1
explodir,2,2,0,0,1,0,1
lançar,3,8,5,1,1,0,1
trazer,10,2,8,1,-1,1,1
levar,2,10,8,1,1,0,1
sugerir,2,21,19,1,1,0,1
opor,26,3,23,1,-1,-1,1
relegar,2,8,6,1,1,0,1
passar,2,3,1,1,1,0,1
assistir,3,3,0,0,1,0,1
acabar,2,4,2,1,1,1,1
defender,14,10,4,1,-1,0,1
inclinar,2,3,1,1,1,0,1
apanhar,24,2,22,1,-1,0,1
atingir,2,3,1,1,1,0,1
marcar,2,9,7,1,1,0,1
atingir,3,7,4,1,1,0,1
indicar,7,6,1,1,-1,0,1
alcançar,4,3,-1,-1,1,0,1
marcar,19,2,17,1,-1,0,1
pegar,3,3,0,0,1,0,1
experimentar,16,2,14,1,-1,0,1
falhar,3,2,1,1,-1,0,1
ganhar,16,2,-14,-1,1,0,1
enviar,2,6,-4,-1,-1,0,1
ter,8,2,-6,-1,1,0,1
colocar,3,10,7,1,1,0,1
ter,2,4,2,1,1,0,1
inscrever,7,5,2,1,-1,0,1
tratar,7,6,1,1,-1,0,1
dar,1,6,5,1,1,0,1
negar,1,6,5,1,1,0,1
seguir,11,2,9,1,-1,0,1
pôr,2,4,2,1,1,0,1
atingir,5,2,-3,-1,1,0,1
repartir,2,4,2,1,1,0,1
pôr,5,2,3,1,-1,0,1
opor,2,4,2,1,1,0,1
depositar,5,10,5,1,1,0,1
levar,1,6,5,1,1,1,1
levar,1,5,4,1,1,1,1
dar,6,6,0,0,1,0,1
vender,7,4,-3,-1,1,0,1
inaugurar,6,5,-1,-1,1,0,1
ver,1,2,1,1,1,0,1
aprovar,16,4,12,1,-1,0,1
revelar,45,3,42,1,-1,0,1
falar,9,6,-3,-1,1,0,1
comer,1,3,2,1,1,0,1
ter,18,2,16,1,-1,0,1
tirar,5,7,2,1,1,0,1
ver,16,2,14,1,-1,0,1
opor,13,3,10,1,-1,0,1
ter,73,4,69,1,-1,0,1
manter,14,20,6,1,1,0,1
haver,6,4,-2,-1,1,0,1
distribuir,3,3,0,0,1,0,1
proceder,6,7,1,1,1,0,1
inserir,3,6,3,1,1,0,1
encontrar,13,3,10,1,-1,0,1
vacinar,2,36,34,1,1,0,1
provocar,2,3,1,1,1,0,1
infectar,1,11,10,1,1,1,1
morrer,6,13,7,1,1,0,1
ceder,18,3,15,1,-1,0,1
abrir,1,28,27,1,1,0,1
bombardear,18,7,11,1,-1,0,1
colocar,12,2,10,1,-1,0,1
mandar,1,3,2,1,1,1,1
falar,5,3,2,1,-1,0,1
interpretar,38,3,35,1,-1,0,1
mexer,2,2,0,0,1,0,1
fundar,3,6,3,1,1,0,1
