Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
encontrar,,Acc,nos,em a Locomia,1,3,-2,1,4,indefinite,definite,pronominal,nonpronomial,preposition,nonshifted,postverbal
especializar,,Acc,se,em fundos comunitários,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
dispor,,,de os técnicos necessários,em os seus quadros,4,4,0,9,5,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
apresentar,,,um equipamento periférico denominado Audioman que permitirá dotar os computadores de orelhas,em uma feira especializada que teve lugar em Basileia Suíça,12,10,2,16,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ter,,,lugar,em Basileia Suíça,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
compor,,Acc,se,de um microfone e de um altifalante que se podem acoplar facilmente a um computador,1,15,-14,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
haver,,,só um pólo de interesse,em o local,5,3,2,3,8,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
alargar,,,o número de projectos-piloto,de modo a cobrir uma parte de o território nacional até a o dia 1 de Julho,4,17,-13,2,7,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ceder,,,lugar,a um processo efectivo de financiamento,1,6,-5,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
pedir,,Acc,se,sob pena de a embraiagem,1,5,-4,22,18,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,postverbal
tomar,,,a defesa de o filme de Chahine,em uma sala atulhada,7,4,3,2,11,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
evocar,,,as propostas feitas a o profeta por a esposa de o mestre que o comprou a a chegada a o Egipto,em termos claros,21,3,18,7,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ter,,,uma boa oportunidade de golo,em os pés,5,3,2,6,3,indefinite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
vencer,,,o Lokomotiv de Moscovo,por a diferença mínima 3-2,4,5,-1,2,7,definite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
escolher,,,a imigração e a política de a imigração,desde Agosto de o ano passado,8,6,2,10,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
ler,,,os comunicados de a direcção e de a administração de este jornal,em a edição de o passado fim-de-semana,12,7,5,11,4,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
manifestar,,,opiniões,em as suas páginas,1,4,-3,1,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
organizar,,,a competição,desde 1948,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
defender,,,os seus direitos,em tribunal,3,2,1,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
traduzir,,,um jogo que ficou em o meio,de forma feliz,7,3,4,5,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
pisar,,,o solo de a sua pátria,como Pontífice,6,2,4,6,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
