Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
avea,4,2,2,1,-1,1,1
potrivi,1,2,1,1,1,0,1
ridica,1,2,1,1,1,0,1
avea,1,6,5,1,1,0,1
strecura,1,2,1,1,1,0,1
citi,7,2,5,1,-1,0,1
simți,4,2,-2,-1,1,0,1
reașeza,1,2,1,1,1,0,1
trimite,2,2,0,0,1,0,1
pune,1,3,2,1,1,1,1
apuca,1,2,1,1,1,0,1
turna,6,2,4,1,-1,0,1
turna,1,3,2,1,1,0,1
lovi,2,2,0,0,1,0,1
zdrobi,1,2,1,1,1,0,1
transforma,2,4,2,1,1,1,1
tăia,1,6,5,1,1,0,1
reda,3,6,3,1,1,0,1
întinde,1,2,1,1,1,0,1
îngropa,1,2,1,1,1,0,1
stoarce,1,15,14,1,1,0,1
domina,3,3,0,0,1,0,1
împărți,4,2,2,1,-1,1,1
compune,18,2,16,1,-1,0,1
lua,16,4,12,1,-1,0,1
pregăti,1,3,2,1,1,0,1
lua,2,9,7,1,1,0,1
cumpăra,1,6,5,1,1,0,1
scrie,1,2,1,1,1,0,1
pune,2,2,0,0,1,0,1
trece,1,2,1,1,1,-1,1
înmuia,1,2,1,1,1,0,1
trece,5,2,-3,-1,1,0,1
scrie,3,5,-2,-1,-1,0,1
stabili,2,9,7,1,1,0,1
privi,2,2,0,0,-1,0,1
avea,3,2,-1,-1,1,0,1
înfunda,5,2,3,1,-1,0,1
schimba,2,10,8,1,1,0,1
ști,1,9,8,1,1,1,1
înfrânge,10,5,-5,-1,1,0,1
scrie,1,6,5,1,1,1,1
avea,3,2,-1,-1,1,0,1
prelua,1,4,3,1,1,0,1
avea,2,2,0,0,1,0,1
avea,1,2,1,1,1,-1,1
auzi,2,2,0,0,-1,0,1
scrie,1,2,1,1,1,1,1
conține,3,2,1,1,-1,0,1
face,2,3,1,1,1,0,1
menține,14,2,12,1,-1,1,1
face,3,6,3,1,1,0,1
simți,4,2,2,1,-1,1,1
da,1,2,1,1,1,1,1
spinteca,1,3,2,1,1,1,1
pune,3,3,0,0,1,0,1
spune,3,2,-1,-1,1,0,1
scoate,8,2,6,1,-1,0,1
înmuia,1,2,1,1,1,0,1
recunoaște,3,4,1,1,1,1,1
șterge,1,2,-1,-1,-1,0,1
freca,1,19,18,1,1,0,1
mișca,1,4,3,1,1,0,1
ține,3,2,-1,-1,1,0,1
pune,1,2,1,1,1,0,1
trezi,3,2,1,1,-1,1,1
arunca,1,2,1,1,1,0,1
pune,1,14,13,1,1,0,1
trage,1,2,1,1,1,0,1
avea,1,2,1,1,1,-1,1
roti,1,2,1,1,1,0,1
băga,1,2,1,1,1,0,1
ține,3,2,1,1,-1,0,1
avea,1,5,4,1,1,0,1
amâna,6,5,1,1,-1,0,1
avea,4,5,1,1,1,0,1
scoate,9,2,7,1,-1,0,1
face,2,5,3,1,1,0,1
imita,1,3,2,1,1,0,1
avea,1,3,2,1,1,0,1
face,3,2,-1,-1,1,0,1
provoca,1,3,-2,-1,-1,0,1
aduna,8,2,6,1,-1,0,1
oferi,6,8,2,1,1,0,1
emite,9,5,4,1,-1,0,1
încasa,4,4,0,0,-1,0,1
finanța,6,11,5,1,1,0,1
analiza,9,3,6,1,-1,0,1
percepe,5,3,-2,-1,1,0,1
avea,1,6,5,1,1,0,1
lua,1,10,9,1,1,0,1
decupa,5,3,2,1,-1,0,1
ara,14,5,-9,-1,1,0,1
extinde,3,5,2,1,1,0,1
organiza,7,9,2,1,1,0,1
solicita,1,5,4,1,1,0,1
întreține,4,8,4,1,1,0,1
pierde,2,11,9,1,1,0,1
prezenta,1,11,10,1,1,0,1
semnala,5,10,5,1,1,0,1
lovi,1,4,3,1,1,1,1
anunța,6,4,-2,-1,1,0,1
scrie,2,5,3,1,1,0,1
omorî,2,2,0,0,-1,0,1
învăța,3,8,5,1,1,0,1
întruni,6,6,0,0,1,0,1
sesiza,1,5,4,1,1,0,1
determina,4,15,11,1,1,0,1
sesiza,1,5,4,1,1,0,1
obține,2,6,4,1,1,0,1
studia,1,9,8,1,1,0,1
convoca,6,10,4,1,1,0,1
începe,5,13,8,1,1,0,1
îndeplini,3,7,4,1,1,0,1
parca,1,3,2,1,1,0,1
pune,1,4,3,1,1,0,1
observa,1,2,-1,-1,-1,0,1
face,2,6,4,1,1,0,1
monitoriza,11,2,9,1,-1,0,1
admira,2,3,1,1,1,0,1
transforma,3,11,8,1,1,0,1
emite,2,11,9,1,1,0,1
obține,1,7,6,1,1,0,1
organiza,4,3,1,1,-1,0,1
aduce,2,7,5,1,1,0,1
lansa,2,18,16,1,1,0,1
afecta,4,5,1,1,1,0,1
da,1,2,1,1,1,0,1
condamna,1,19,18,1,1,0,1
părăsi,1,7,6,1,1,0,1
exercita,1,3,2,1,1,0,1
semna,20,2,18,1,-1,0,1
publica,17,2,15,1,-1,0,1
inaugura,14,2,12,1,-1,0,1
studia,1,2,1,1,1,0,1
suspenda,4,3,-1,-1,1,0,1
opri,5,14,9,1,1,0,1
petrece,1,6,5,1,1,0,1
efectua,2,11,9,1,1,0,1
începe,2,6,4,1,1,0,1
califica,1,5,4,1,1,0,1
înscrie,2,2,0,0,-1,0,1
încasa,3,3,0,0,1,0,1
solicita,16,3,13,1,-1,0,1
face,1,15,14,1,1,0,1
delega,2,13,11,1,1,0,1
lipsi,3,7,4,1,1,0,1
constitui,2,7,5,1,1,0,1
aduce,1,4,3,1,1,0,1
organiza,1,2,1,1,1,0,1
controla,1,2,1,1,1,0,1
primi,15,2,13,1,-1,0,1
implementa,2,23,21,1,1,0,1
bate,3,3,0,0,-1,0,1
aduce,1,5,4,1,1,0,1
petrece,1,3,2,1,1,0,1
recepționa,3,2,-1,-1,1,0,1
avea,5,2,3,1,-1,0,1
lua,3,2,-1,-1,1,0,1
vărsa,1,7,6,1,1,0,1
investi,5,3,-2,-1,1,0,1
suferi,1,3,2,1,1,0,1
fura,3,3,0,0,1,0,1
înregistra,3,7,-4,-1,-1,0,1
propune,30,3,27,1,-1,0,1
conduce,3,5,2,1,1,0,1
livra,2,3,1,1,1,0,1
vaccina,1,3,2,1,1,0,1
aproba,2,2,0,0,-1,0,1
dezvolta,4,2,-2,-1,1,0,1
devasta,5,3,2,1,-1,0,1
pierde,1,12,11,1,1,0,1
prezenta,31,12,19,1,-1,0,1
prezenta,11,3,8,1,-1,0,1
pune,22,2,20,1,-1,0,1
informa,1,4,3,1,1,-1,1
completa,3,15,12,1,1,0,1
avea,2,5,3,1,1,0,1
stabili,13,5,8,1,-1,0,1
revizui,10,3,-7,-1,1,0,1
putea,6,9,3,1,1,0,1
lua,7,2,5,1,-1,0,1
organiza,1,6,5,1,1,0,1
oficia,2,6,4,1,1,0,1
consulta,2,3,1,1,1,0,1
asigura,14,6,-8,-1,1,0,1
permite,23,8,15,1,-1,0,1
avea,5,7,2,1,1,0,1
limita,5,18,13,1,1,0,1
lua,14,2,12,1,-1,0,1
suferi,2,3,1,1,1,0,1
furniza,40,3,37,1,-1,0,1
elabora,12,5,7,1,-1,0,1
asigura,5,3,-2,-1,1,0,1
asista,1,11,10,1,1,0,1
asista,1,9,8,1,1,0,1
prevedea,3,9,6,1,1,0,1
consolida,5,10,5,1,1,0,1
pune,18,2,16,1,-1,0,1
informa,1,4,3,1,1,-1,1
pune,3,2,1,1,-1,0,1
pune,18,2,16,1,-1,0,1
conforma,2,5,3,1,1,0,1
suporta,6,12,6,1,1,0,1
evidenția,18,3,15,1,-1,0,1
întocmi,12,4,8,1,-1,0,1
aproba,10,8,-2,-1,1,0,1
acorda,3,3,0,0,-1,0,1
iniția,5,12,7,1,1,0,1
indica,132,3,129,1,-1,0,1
presupune,10,4,6,1,-1,0,1
exercita,3,18,15,1,1,0,1
prezenta,5,3,2,1,-1,0,1
însuma,2,3,1,1,1,0,1
prezenta,9,6,3,1,-1,0,1
acorda,2,3,1,1,1,0,1
pune,2,4,2,1,1,0,1
face,1,14,13,1,1,0,1
pune,22,9,13,1,-1,0,1
comunica,4,3,-1,-1,1,0,1
include,9,17,-8,-1,-1,0,1
proteja,11,4,-7,-1,1,0,1
prevedea,4,8,4,1,1,0,1
elabora,3,11,8,1,1,0,1
acorda,2,14,12,1,1,0,1
publica,5,3,2,1,-1,0,1
simplifica,2,6,4,1,1,0,1
fi,2,13,11,1,1,0,1
îndeplini,5,3,2,1,-1,0,1
genera,9,3,6,1,-1,0,1
promova,1,6,5,1,1,0,1
conține,9,16,7,1,1,0,1
prevedea,10,3,7,1,-1,0,1
include,3,3,0,0,1,0,1
include,2,3,1,1,1,0,1
include,14,2,12,1,-1,0,1
oferi,3,16,13,1,1,0,1
oferi,4,4,0,0,1,0,1
justifica,3,3,0,0,1,0,1
depăși,3,3,0,0,-1,0,1
deține,7,5,2,1,-1,0,1
menține,1,52,51,1,1,0,1
modifica,2,3,-1,-1,-1,0,1
modifica,2,7,5,1,1,0,1
impune,10,21,11,1,1,0,1
aduce,7,9,2,1,1,0,1
exclude,5,5,0,0,1,0,1
exercita,3,5,2,1,1,0,1
include,2,8,6,1,1,0,1
lua,4,2,2,1,-1,0,1
determina,11,3,8,1,-1,0,1
practica,5,2,-3,-1,1,0,1
prezenta,6,4,-2,-1,1,0,1
ține,1,21,20,1,1,0,1
stabili,26,15,11,1,-1,0,1
mări,5,3,-2,-1,1,0,1
informa,8,4,4,1,-1,0,1
îmbunătăți,6,3,-3,-1,1,0,1
elabora,3,3,0,0,1,0,1
furniza,7,5,-2,-1,1,0,1
face,7,3,4,1,-1,0,1
face,2,22,20,1,1,0,1
determina,1,8,7,1,1,0,1
aproba,2,6,4,1,1,0,1
aproba,8,27,19,1,1,0,1
grupa,1,6,5,1,1,0,1
învăța,1,2,1,1,1,0,1
aborda,6,3,3,1,-1,0,1
agita,2,2,0,0,-1,0,1
împleti,3,3,0,0,1,0,1
abandona,3,4,1,1,1,0,1
face,7,6,-1,-1,1,0,1
îndeplini,6,3,-3,-1,1,0,1
îmbrăca,2,4,2,1,1,0,1
audia,1,2,1,1,1,0,1
face,3,6,3,1,1,0,1
asigura,2,3,1,1,1,0,1
răspândi,3,3,0,0,1,0,1
preda,2,6,4,1,1,0,1
parcurge,3,3,0,0,1,0,1
lua,1,7,6,1,1,0,1
urma,2,3,1,1,1,0,1
accepta,1,5,4,1,1,0,1
recupera,11,3,8,1,-1,0,1
concentra,1,3,2,1,1,0,1
folosi,3,3,0,0,-1,0,1
servi,2,4,-2,-1,-1,0,1
conduce,1,5,4,1,1,0,1
susține,4,3,1,1,-1,0,1
mobiliza,1,4,3,1,1,0,1
părăsi,3,11,8,1,1,0,1
citi,3,2,1,1,-1,0,1
despărți,1,2,1,1,1,0,1
împinge,7,3,-4,-1,1,0,1
declanșa,4,3,1,1,-1,0,1
înțelege,6,2,4,1,-1,1,1
anunța,10,4,6,1,-1,0,1
extinde,2,4,2,1,1,0,1
permite,4,9,5,1,1,0,1
traversa,11,4,-7,-1,1,0,1
căuta,2,3,1,1,1,0,1
amplifica,15,3,12,1,-1,0,1
închipui,3,3,0,0,1,0,1
termina,1,2,1,1,1,0,1
uni,2,14,12,1,1,0,1
cita,1,3,2,1,1,0,1
reconstitui,8,2,6,1,-1,0,1
anunța,17,3,14,1,-1,0,1
vedea,6,2,4,1,-1,0,1
arunca,5,5,0,0,-1,0,1
efectua,5,4,-1,-1,1,0,1
transpune,10,2,8,1,-1,0,1
crea,1,9,8,1,1,0,1
schimba,3,2,-1,-1,1,-1,1
primi,3,2,1,1,-1,0,1
marca,3,3,0,0,-1,0,1
aborda,4,6,-2,-1,-1,-1,1
trece,1,3,2,1,1,1,1
ignora,4,2,2,1,-1,0,1
transforma,2,4,2,1,1,0,1
traduce,16,2,14,1,-1,0,1
sta,1,4,3,1,1,0,1
socoti,2,14,12,1,1,0,1
tipări,9,2,7,1,-1,0,1
urma,1,2,1,1,1,0,1
contesta,2,3,-1,-1,-1,0,1
altera,4,7,3,1,1,0,1
lua,3,2,-1,-1,1,0,1
pune,3,2,1,1,-1,0,1
ataca,6,5,1,1,-1,0,1
aduce,8,8,0,0,1,0,1
transporta,2,3,1,1,1,0,1
da,1,15,14,1,1,0,1
transporta,3,2,1,1,-1,0,1
îmbina,2,2,0,0,1,0,1
introduce,2,2,0,0,1,0,1
menține,1,5,4,1,1,0,1
încerca,5,3,-2,-1,1,0,1
accepta,2,4,-2,-1,-1,0,1
contempla,4,2,2,1,-1,0,1
împărți,1,3,-2,-1,-1,0,1
descifra,4,4,0,0,-1,0,1
obține,5,11,6,1,1,0,1
modela,2,4,-2,-1,-1,0,1
privi,2,2,0,0,-1,0,1
influența,1,6,5,1,1,1,1
stârni,9,2,7,1,-1,0,1
trezi,2,5,-3,-1,-1,0,1
face,4,7,3,1,1,0,1
acoperi,9,2,7,1,-1,0,1
înscrie,4,3,1,1,-1,0,1
autoetala,9,5,4,1,-1,0,1
sluji,3,2,1,1,-1,0,1
inspira,5,4,1,1,-1,0,1
trece,1,2,1,1,1,0,1
avea,3,2,1,1,-1,0,1
înregistra,4,2,2,1,-1,0,1
ține,1,6,5,1,1,0,1
ciopli,1,3,2,1,1,1,1
asculta,1,2,-1,-1,-1,0,1
scrie,3,14,11,1,1,0,1
face,1,2,1,1,1,0,1
vizita,5,3,2,1,-1,0,1
face,2,4,2,1,1,0,1
avea,2,2,0,0,1,-1,1
lăsa,4,3,1,1,-1,0,1
avea,3,3,0,0,-1,0,1
avea,3,2,1,1,-1,0,1
vlăguesc,1,9,8,1,1,0,1
alege,15,2,13,1,-1,0,1
încerca,2,2,0,0,-1,0,1
despărți,1,2,1,1,1,0,1
despărți,5,6,1,1,1,0,1
zări,8,3,5,1,-1,0,1
lipi,2,3,1,1,1,0,1
face,2,4,-2,-1,-1,0,1
găsi,1,4,3,1,1,0,1
aștepta,1,6,5,1,1,0,1
umple,1,2,1,1,1,0,1
avea,2,3,1,1,1,0,1
fi,1,3,2,1,1,0,1
avea,5,2,3,1,-1,1,1
face,2,3,-1,-1,-1,0,1
plasa,3,3,0,0,1,0,1
disputa,2,4,2,1,1,0,1
scoborî,3,8,-5,-1,-1,0,1
avea,11,3,8,1,-1,1,1
face,2,2,0,0,1,0,1
scoate,8,3,5,1,-1,0,1
smulge,1,2,1,1,1,0,1
goni,7,2,5,1,-1,0,1
colinda,4,3,1,1,-1,0,1
atrage,11,2,9,1,-1,0,1
scoate,8,3,5,1,-1,0,1
închide,1,2,1,1,1,0,1
exprima,1,3,-2,-1,-1,0,1
strânge,2,3,-1,-1,-1,-1,1
lăsa,1,2,1,1,1,1,1
trage,2,2,0,0,-1,0,1
pofti,3,2,-1,-1,1,0,1
oferi,2,2,0,0,1,0,1
lua,1,2,-1,-1,-1,0,1
gospodări,2,5,-3,-1,-1,0,1
însufleți,5,4,1,1,-1,0,1
primi,5,2,3,1,-1,0,1
întrebuința,1,4,3,1,1,0,1
cuprinde,7,4,3,1,-1,0,1
mărita,2,7,5,1,1,0,1
nutri,3,2,1,1,-1,1,1
plânge,9,6,3,1,-1,0,1
atârna,1,3,2,1,1,0,1
pune,1,5,4,1,1,0,1
face,1,3,2,1,1,0,1
face,2,2,0,0,1,0,1
revărsa,5,2,3,1,-1,0,1
scoate,4,3,-1,-1,1,0,1
pui,1,2,1,1,1,1,1
forma,7,3,4,1,-1,0,1
lăsa,2,2,0,0,1,0,1
avea,3,7,4,1,1,0,1
lungi,1,2,1,1,1,0,1
bate,2,4,2,1,1,0,1
purta,2,2,0,0,1,0,1
avea,2,2,0,0,1,-1,1
găsi,1,2,1,1,1,0,1
da,1,2,1,1,1,1,1
deosebi,1,2,-1,-1,-1,0,1
vedea,2,3,-1,-1,-1,0,1
avea,1,4,3,1,1,0,1
tăia,4,2,-2,-1,1,0,1
avea,5,2,3,1,-1,0,1
apăra,1,3,2,1,1,1,1
omite,1,3,-2,-1,-1,0,1
lega,3,2,1,1,-1,1,1
căuta,3,2,-1,-1,1,0,1
lua,5,8,3,1,1,0,1
repeta,2,10,8,1,1,0,1
adăuga,5,2,-3,-1,1,0,1
pune,1,10,9,1,1,0,1
dona,1,2,1,1,1,0,1
utiliza,3,3,0,0,1,0,1
introduce,1,4,3,1,1,-1,1
întoarce,1,3,2,1,1,0,1
scoate,1,2,1,1,1,0,1
alege,1,2,1,1,1,-1,1
administra,1,3,2,1,1,0,1
alege,2,5,3,1,1,0,1
purta,4,2,2,1,-1,1,1
conferi,7,7,0,0,1,0,1
exercita,3,10,7,1,1,0,1
alege,3,9,6,1,1,0,1
roti,1,2,1,1,1,0,1
clăti,1,2,1,1,1,0,1
ține,1,2,1,1,1,1,1
spăla,1,4,3,1,1,0,1
urma,1,2,1,1,1,1,1
urmări,3,7,4,1,1,0,1
informa,2,12,10,1,1,0,1
omogeniza,1,5,4,1,1,0,1
apăsa,4,6,2,1,1,0,1
demonstra,4,10,6,1,1,0,1
opri,3,5,2,1,1,0,1
primi,2,2,0,0,1,0,1
înlătura,1,8,7,1,1,0,1
dezinfecta,1,4,3,1,1,0,1
forma,4,9,5,1,1,0,1
lovi,1,2,1,1,1,0,1
prinde,1,6,5,1,1,0,1
presa,3,5,2,1,1,0,1
avea,2,18,16,1,1,0,1
lua,1,2,1,1,1,-1,1
controla,6,2,4,1,-1,0,1
ameliora,5,8,3,1,1,0,1
prezenta,1,19,18,1,1,0,1
citi,2,5,3,1,1,0,0
implica,3,6,-3,-1,-1,0,0
inhiba,3,9,-6,-1,-1,0,0
adăuga,3,2,1,1,-1,0,0
ține,2,4,-2,-1,-1,0,0
deschide,2,2,0,0,1,0,0
răsturna,1,2,-1,-1,-1,0,0
ține,5,4,1,1,-1,0,0
deschide,1,2,1,1,1,0,0
răsturna,1,2,-1,-1,-1,0,0
adăuga,4,2,2,1,-1,0,0
scoate,1,2,-1,-1,-1,0,0
spăla,4,7,-3,-1,-1,0,0
adăuga,1,10,-9,-1,-1,0,0
cataliza,4,3,1,1,-1,0,0
deschide,1,2,1,1,1,0,0
șterge,5,12,-7,-1,-1,1,0
crea,1,2,-1,-1,-1,1,0
trage,1,2,-1,-1,-1,1,0
încărca,1,2,-1,-1,-1,0,0
purta,6,14,-8,-1,-1,0,0
face,2,19,-17,-1,-1,0,0
crea,1,2,-1,-1,-1,1,0
necesita,4,4,0,0,-1,0,0
scoate,1,2,-1,-1,-1,0,0
recunoaște,5,3,2,1,-1,0,0
produce,1,2,-1,-1,-1,1,0
spăla,2,16,-14,-1,-1,0,0
revizui,4,3,-1,-1,1,0,0
declanșa,1,4,-3,-1,-1,0,0
curăța,1,5,-4,-1,-1,0,0
exercita,3,6,-3,-1,-1,0,0
pune,1,2,-1,-1,-1,0,0
menține,1,6,-5,-1,-1,0,0
întârzia,2,3,-1,-1,-1,0,0
revizui,4,3,-1,-1,1,0,0
prezenta,1,3,-2,-1,-1,0,0
lua,1,2,-1,-1,-1,1,0
întreține,2,7,-5,-1,-1,0,0
lua,1,3,-2,-1,-1,0,0
ține,2,4,-2,-1,-1,0,0
trage,1,2,-1,-1,-1,0,0
prinde,1,3,-2,-1,-1,0,0
emite,2,7,-5,-1,-1,0,0
utiliza,1,11,-10,-1,-1,0,0
cerceta,2,8,-6,-1,-1,0,0
utiliza,1,5,-4,-1,-1,0,0
traversa,2,3,-1,-1,-1,0,0
introduce,8,6,2,1,-1,0,0
acorda,14,4,10,1,-1,0,0
constitui,4,4,0,0,-1,0,0
utiliza,1,11,-10,-1,-1,0,0
îmbunătăți,2,8,-6,-1,-1,0,0
acorda,12,6,6,1,-1,0,0
recupera,4,5,-1,-1,-1,0,0
împrumuta,1,5,-4,-1,-1,0,0
face,1,18,-17,-1,-1,0,0
destinde,2,8,-6,-1,-1,0,0
pune,3,2,-1,-1,1,0,0
transmite,11,5,-6,-1,1,0,0
înroși,4,4,0,0,-1,0,0
judeca,5,2,-3,-1,1,0,0
utiliza,1,3,-2,-1,-1,0,0
exercita,1,8,-7,-1,-1,0,0
efectua,3,9,-6,-1,-1,0,0
acorda,1,4,-3,-1,-1,0,0
alege,1,6,-5,-1,-1,0,0
menține,1,5,-4,-1,-1,0,0
face,1,6,-5,-1,-1,0,0
bea,8,3,5,1,-1,0,0
odihni,3,5,-2,-1,-1,0,0
găsi,11,2,-9,-1,1,0,0
absorbi,2,3,-1,-1,-1,0,0
emite,1,5,-4,-1,-1,0,0
revărsa,1,2,-1,-1,-1,0,0
împrăștia,4,2,-2,-1,1,0,0
face,1,3,-2,-1,-1,0,0
avea,1,4,-3,-1,-1,0,0
pierde,1,12,-11,-1,-1,0,0
lăsa,2,8,-6,-1,-1,-1,0
păstra,2,2,0,0,1,-1,0
arbora,3,2,-1,-1,1,0,0
retrage,11,2,-9,-1,1,0,0
lua,3,2,-1,-1,1,-1,0
avea,4,2,2,1,-1,0,0
desfășura,2,2,0,0,1,0,0
folosi,4,3,1,1,-1,0,0
face,1,7,-6,-1,-1,0,0
avea,3,2,-1,-1,1,0,0
afișa,1,3,-2,-1,-1,0,0
avea,2,3,-1,-1,-1,0,0
ține,3,2,1,1,-1,0,0
scoate,5,2,3,1,-1,-1,0
găsi,5,3,-2,-1,1,0,0
descrie,1,5,-4,-1,-1,-1,0
spăla,2,6,-4,-1,-1,0,0
nominaliza,4,6,-2,-1,-1,0,0
termina,2,3,1,1,1,0,0
trata,10,2,-8,-1,1,0,0
axa,1,2,-1,-1,-1,-1,0
prezenta,1,15,-14,-1,-1,0,0
comite,1,3,-2,-1,-1,0,0
comite,4,4,0,0,-1,0,0
costa,6,3,3,1,-1,0,0
cauza,3,3,0,0,-1,0,0
compensa,3,5,-2,-1,-1,0,0
împărți,1,19,-18,-1,-1,0,0
realiza,9,13,-4,-1,-1,0,0
compara,3,8,-5,-1,-1,0,0
chestiona,3,7,-4,-1,-1,0,0
aduce,1,3,-2,-1,-1,0,0
părăsi,8,7,1,1,-1,0,0
fulgera,1,2,-1,-1,-1,-1,0
distruge,1,5,-4,-1,-1,0,0
face,1,10,-9,-1,-1,0,0
suspenda,1,4,-3,-1,-1,0,0
lovi,1,3,-2,-1,-1,0,0
spune,2,4,-2,-1,-1,0,0
face,6,5,-1,-1,1,0,0
face,4,11,-7,-1,-1,0,0
lovi,2,2,0,0,-1,0,0
avea,2,4,-2,-1,-1,0,0
avea,2,3,-1,-1,-1,-1,0
reduce,3,9,-6,-1,-1,0,0
permite,4,6,-2,-1,-1,0,0
lăsa,2,9,-7,-1,-1,0,0
întări,1,2,-1,-1,-1,0,0
număra,1,4,-3,-1,-1,0,0
rezolva,1,2,-1,-1,-1,1,0
ataca,2,5,-3,-1,-1,0,0
planta,1,3,-2,-1,-1,0,0
da,2,2,0,0,-1,0,0
arăta,5,6,-1,-1,-1,0,0
înregistra,5,13,-8,-1,-1,0,0
recunoaște,1,3,-2,-1,-1,0,0
mânca,3,10,-7,-1,-1,0,0
rupe,2,3,-1,-1,-1,0,0
rupe,2,4,-2,-1,-1,0,0
acoperi,1,3,-2,-1,-1,0,0
rupe,2,3,-1,-1,-1,0,0
rupe,2,2,0,0,-1,0,0
rupe,1,5,-4,-1,-1,0,0
înfrunta,1,16,-15,-1,-1,0,0
rupe,1,9,-8,-1,-1,0,0
rupe,2,5,-3,-1,-1,0,0
rupe,1,8,-7,-1,-1,0,0
rupe,1,4,-3,-1,-1,0,0
rupe,1,2,-1,-1,-1,0,0
rupe,1,3,-2,-1,-1,0,0
rupe,2,15,-13,-1,-1,0,0
arde,1,2,-1,-1,-1,0,0
arde,2,4,-2,-1,-1,1,0
face,4,4,0,0,-1,0,0
arde,4,4,0,0,-1,0,0
arde,1,4,-3,-1,-1,0,0
arde,1,3,-2,-1,-1,0,0
tăia,1,2,-1,-1,-1,0,0
pune,2,2,0,0,-1,0,0
oferi,3,4,-1,-1,-1,0,0
avea,2,4,-2,-1,-1,0,0
avea,5,2,3,1,-1,0,0
sculpta,4,2,2,1,-1,0,0
face,1,3,-2,-1,-1,-1,0
tăia,2,3,-1,-1,-1,0,0
lovi,1,2,-1,-1,-1,0,0
încălzi,1,4,-3,-1,-1,-1,0
lovi,1,2,-1,-1,-1,0,0
încleșta,1,2,-1,-1,-1,0,0
face,2,2,0,0,-1,0,0
înfrunta,2,10,-8,-1,-1,0,0
smuci,1,6,-5,-1,-1,0,0
face,4,8,-4,-1,-1,0,0
transforma,1,5,-4,-1,-1,0,0
privi,2,4,-2,-1,-1,0,0
omorî,1,2,-1,-1,-1,0,0
obliga,1,3,-2,-1,-1,-1,0
transmite,1,9,-8,-1,-1,0,0
răni,2,5,-3,-1,-1,0,0
conserva,1,9,-8,-1,-1,0,0
lua,2,3,-1,-1,-1,0,0
răni,1,2,-1,-1,-1,-1,0
pierde,1,4,-3,-1,-1,0,0
juca,1,2,-1,-1,-1,0,0
înfrunta,2,3,-1,-1,-1,0,0
întinde,2,3,-1,-1,-1,0,0
scrânti,2,2,0,0,-1,0,0
scrânti,1,3,-2,-1,-1,0,0
avea,4,2,2,1,-1,0,0
avea,2,2,0,0,-1,0,0
avea,1,9,-8,-1,-1,0,0
întinde,5,6,-1,-1,-1,0,0
întinde,5,2,3,1,-1,0,0
suferi,2,3,-1,-1,-1,0,0
suferi,2,2,0,0,-1,0,0
căra,1,4,-3,-1,-1,0,0
scrânti,2,5,-3,-1,-1,0,0
scrânti,4,4,0,0,-1,0,0
rupe,5,14,-9,-1,-1,0,0
rupe,7,3,4,1,-1,0,0
