Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
avea,,"Acc,Nom",și teamă și dușmănie,în ea,4,2,2,4,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
potrivi,,"Acc,Nom",ochelarii,pe nas,1,2,-1,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ridica,,"Acc,Nom",părul,la ceafă,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
avea,,"Acc,Nom",culoare,cu excepția afișelor lipite peste tot,1,6,-5,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
strecura,,"Acc,Nom",bilețelul,în mână,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
citi,,,un articol al dumitale scris în Nouvorbă,în Times,7,2,5,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
simți,,,un nou junghi dureros,în inimă,4,2,2,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
reașeza,,"Acc,Nom",ochelarii,pe nas,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
trimite,,"Acc,Nom",pe cineva,la dumneata,2,2,0,2,4,indefinite,indefinite,pronominal,pronominal,preposition,nonshifted,postverbal
pune,,Acc,-le,pe masa rotundă,1,3,-2,1,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
apuca,,"Acc,Nom",sticla,de gât,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
turna,,,un lichid de un roșu aprins,în pahare,6,2,4,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
turna,,"Acc,Nom",conținutul,într- un pahar,1,3,-2,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
lovi,,,pe Goldstein,în nas,2,2,0,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
zdrobi,,"Acc,Nom",fețele,cu barosul,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
transforma,,"Acc,Nom",pe fiecare,chiar împotriva voinței sale,2,4,-2,3,7,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
tăia,,"Acc,Nom",beregata,în momentul când ejacula în ea,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
reda,,"Acc,Nom",încrederea în tine,prin simplul fapt că sunt rostite,3,6,-3,1,6,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
întinde,,"Acc,Nom",brațele,către ecran,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
îngropa,,"Acc,Nom",fața,în mâini,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
stoarce,,"Acc,Nom",memoria,după vreo amintire din copilărie care să -i spună dacă Londra fusese întotdeauna chiar așa,1,15,-14,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
domina,,"Acc,Nom",arhitectura din jur,în așa măsură,3,3,0,1,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
împărți,,"Acc,Nom",întreg aparatul de guvernământ,între ele,4,2,2,4,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
compune,,"Acc,Nom",acea expresie de optimism liniștit pe care era indicat să o arborezi când stăteai cu fața la tele-ecran,pe față,18,2,16,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
lua,,"Acc,Nom",o sticlă cu un lichid incolor și cu o etichetă albă pe care scria GIN VICTORIA,de pe un raft,16,4,12,6,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
pregăti,,"Acc,Nom",nervii,pentru un șoc,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
