Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
отрядить,2,3,-1,-1,-1,0,1
нанести,2,2,0,0,1,0,1
провести,2,3,1,1,1,0,1
взять,1,2,-1,-1,-1,1,1
собрать,3,2,1,1,-1,0,1
поставить,1,3,2,1,1,1,1
сократить,3,3,0,0,1,0,1
объединять,13,2,11,1,-1,1,1
записать,1,3,2,1,1,0,1
составлять,2,5,3,1,1,0,1
сфокусировать,2,6,4,1,1,0,1
владеть,11,3,-8,-1,1,0,1
утратить,1,2,1,1,1,0,1
варьировать,1,6,5,1,1,0,1
подать,25,2,23,1,-1,0,1
выдавать,1,4,3,1,1,1,1
занять,2,3,1,1,1,0,1
перевозить,1,2,1,1,1,0,1
совершать,1,3,2,1,1,0,1
рассказывать,2,2,0,0,-1,-1,1
получить,2,9,7,1,1,0,1
путать,2,2,0,0,1,0,1
совершить,1,14,13,1,1,0,1
нести,1,7,6,1,1,0,1
устраивать,2,2,0,0,-1,1,1
проводить,1,2,-1,-1,-1,1,1
взимать,2,2,0,0,-1,1,1
задействовать,3,4,1,1,1,0,1
проводить,5,4,-1,-1,1,0,1
возглавлять,3,3,0,0,-1,0,1
внести,1,19,18,1,1,0,1
составлять,2,3,1,1,1,0,1
замещать,4,3,-1,-1,1,0,1
закончить,2,2,0,0,-1,1,1
пригласить,13,2,11,1,-1,0,1
использовать,2,2,0,0,1,0,1
включать,12,2,10,1,-1,1,1
готовить,1,2,1,1,1,0,1
выпустить,6,3,-3,-1,1,0,1
свести,2,4,-2,-1,-1,0,1
получить,5,6,-1,-1,-1,0,1
привлечь,12,2,10,1,-1,0,1
принять,15,2,13,1,-1,0,1
пересекать,3,4,1,1,1,0,1
возглавлять,4,6,2,1,1,0,1
отправлять,1,3,2,1,1,1,1
составлять,2,2,0,0,1,0,1
отвергать,2,17,15,1,1,0,1
иметь,2,4,2,1,1,0,1
преподавать,2,5,3,1,1,0,1
стать,3,6,3,1,1,0,1
внести,2,9,7,1,1,0,1
восстановить,2,2,0,0,-1,1,1
заканчиваться,4,8,-4,-1,-1,0,1
сделать,1,2,1,1,1,0,1
играть,2,8,6,1,1,0,1
собирать,4,12,8,1,1,0,1
задумать,1,6,5,1,1,1,1
основать,2,2,0,0,-1,0,1
владеть,2,6,-4,-1,-1,0,1
затеять,1,2,-1,-1,-1,1,1
использовать,2,4,2,1,1,0,1
покупать,1,2,1,1,1,-1,1
изучать,1,4,3,1,1,0,1
защитить,7,4,-3,-1,1,0,1
послать,2,2,0,0,-1,0,1
поддерживать,4,2,-2,-1,1,0,1
понять,2,6,4,1,1,0,1
отображать,2,3,1,1,1,0,1
взять,6,3,3,1,-1,0,1
казнить,4,8,4,1,1,0,1
использовать,3,11,8,1,1,0,1
устанавливать,2,5,3,1,1,0,1
начать,2,4,2,1,1,0,1
прислать,4,2,2,1,-1,0,1
сводить,7,2,5,1,-1,0,1
издавать,3,4,1,1,1,0,1
одержать,2,17,15,1,1,0,1
получить,3,4,1,1,1,0,1
одержать,1,4,3,1,1,0,1
потерпеть,1,2,1,1,1,0,1
доставлять,4,11,7,1,1,0,1
создавать,2,3,1,1,1,0,1
заменить,3,6,3,1,1,0,1
пройти,1,3,2,1,1,1,1
достигнуть,2,3,1,1,1,0,1
получить,2,2,0,0,1,0,1
обратить,1,6,5,1,1,0,1
отпугнуть,1,3,2,1,1,0,1
нести,11,2,9,1,-1,1,1
построить,1,4,3,1,1,0,1
наслать,2,11,9,1,1,0,1
представлять,6,2,-4,-1,1,0,1
сосредоточить,1,5,4,1,1,0,1
прописать,2,4,2,1,1,0,1
учитывать,2,4,2,1,1,0,1
нести,4,3,-1,-1,1,0,1
включать,10,2,8,1,-1,1,1
вывести,1,3,2,1,1,0,1
начать,1,13,12,1,1,0,1
оценить,1,6,5,1,1,0,1
провести,4,4,0,0,-1,0,1
основать,5,6,1,1,1,0,1
составлять,6,2,-4,-1,1,0,1
покидать,1,3,2,1,1,0,1
сравнивать,1,4,3,1,1,0,1
принять,1,5,4,1,1,0,1
составлять,2,2,0,0,1,0,1
иметь,3,2,1,1,-1,0,1
метать,1,2,1,1,1,0,1
записать,5,4,1,1,-1,0,1
выпустить,17,4,13,1,-1,0,1
натравить,2,2,0,0,1,0,1
критиковать,1,8,7,1,1,0,1
завоевать,2,3,1,1,1,0,1
забить,1,2,1,1,1,0,1
возбудить,5,3,-2,-1,1,0,1
отправить,2,3,1,1,1,0,1
привести,1,9,8,1,1,1,1
назвать,2,4,2,1,1,0,1
заключать,4,2,2,1,-1,1,1
открывать,1,2,-1,-1,-1,1,1
провести,2,2,0,0,-1,0,1
получить,4,5,1,1,1,0,1
включать,11,2,9,1,-1,0,1
переиздать,1,2,1,1,1,0,1
прервать,6,2,-4,-1,1,-1,1
давать,1,2,1,1,1,0,1
одержать,1,8,7,1,1,0,1
взять,22,2,20,1,-1,1,1
носить,11,2,9,1,-1,1,1
проводить,2,4,2,1,1,0,1
обвинить,2,10,8,1,1,0,1
водить,1,10,9,1,1,0,1
одержать,2,4,2,1,1,0,1
разделить,2,3,1,1,1,0,1
оказать,2,10,8,1,1,0,1
потерять,1,4,3,1,1,0,1
отбросить,1,3,2,1,1,0,1
передавать,3,6,3,1,1,0,1
включать,7,2,5,1,-1,1,1
иметь,1,4,3,1,1,0,1
обыграть,2,3,1,1,1,0,1
дожить,2,3,1,1,1,0,1
сохранять,2,3,1,1,1,0,1
околдовывать,1,9,8,1,1,0,1
обрести,4,2,2,1,-1,1,1
стать,1,2,1,1,1,0,1
заявить,3,2,1,1,-1,0,1
получить,1,8,7,1,1,0,1
рассматривать,2,8,6,1,1,0,1
нанести,1,5,4,1,1,0,1
приводить,1,2,1,1,1,0,1
проводить,1,7,6,1,1,0,1
догнать,1,4,3,1,1,0,1
наставлять,2,5,-3,-1,-1,0,1
исполнять,1,2,1,1,1,0,1
захватить,3,3,0,0,-1,0,1
описывать,9,5,4,1,-1,0,1
стать,2,3,1,1,1,0,1
заменить,1,5,4,1,1,0,1
сыграть,2,7,5,1,1,0,1
посетить,1,3,-2,-1,-1,0,1
заключать,4,2,2,1,-1,0,1
прорвать,2,3,1,1,1,0,1
занимать,1,3,2,1,1,0,1
выложить,1,2,1,1,1,0,1
выпускать,2,8,6,1,1,0,1
собрать,6,3,3,1,-1,0,1
получить,2,4,2,1,1,0,1
достигать,2,4,2,1,1,0,1
достигать,16,2,14,1,-1,1,1
получить,3,2,-1,-1,1,0,1
возвестить,2,5,3,1,1,0,1
включать,3,4,-1,-1,-1,0,1
пройти,1,3,2,1,1,0,1
становиться,1,12,11,1,1,0,1
начать,2,9,7,1,1,0,1
назвать,2,9,7,1,1,0,1
обвинить,1,2,-1,-1,-1,0,1
вовлекать,12,2,10,1,-1,0,1
взять,1,2,1,1,1,-1,1
потерять,2,3,1,1,1,0,1
вывести,5,2,3,1,-1,0,1
бросить,3,3,0,0,1,0,1
занимать,4,4,0,0,1,0,1
использовать,4,4,0,0,1,0,1
предоставить,4,7,3,1,1,0,1
