Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
отрядить,,Acc,генерала Бурцева,против Ахмет бека,2,3,-1,6,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
нанести,,Acc,полное поражение,при Цурцкабе,2,2,0,5,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
провести,,Gen,22 судна,в 16 конвоях,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
взять,,Acc,присягу,с него,1,2,-1,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
собрать,Nom,Gen,9200 кг хлопка,за сезон,3,2,1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
поставить,,Acc,их,на научную основу,1,3,-2,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,postverbal
сократить,,Acc,двадцать третий сезон,до четырнадцати эпизодов,3,3,0,3,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
объединять,,Acc,множество разнообразных стилей которые развивались в различных регионах и эпохах Аргентины и Уругвая,в себе,13,2,11,3,2,indefinite,indefinite,nonpronomial,pronominal,preposition,shifted,postverbal
записать,,Acc,Питу,в секцию танцев,1,3,-2,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
составлять,,Gen,558 человек,на 31 декабря 2005 года,2,5,-3,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
сфокусировать,,Acc,всё внимание,на отношениях между Лугоши и Вудом,2,6,-4,2,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
владеть,,Ins,заводом по сборке газовых плит мощностью 100 тыс. плит в год,в подмосковной Черноголовке,11,3,8,1,16,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
