Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
пользоваться,2,3,1,1,1,0,1
знать,1,6,5,1,1,-1,1
называть,2,2,0,0,1,0,1
сообщать,1,2,1,1,1,-1,1
проходить,4,6,-2,-1,-1,0,1
давать,3,3,0,0,1,0,1
стать,4,3,1,1,-1,0,1
объединить,5,5,0,0,1,0,1
можно,1,3,2,1,1,0,1
достраивать,2,3,-1,-1,-1,0,1
повторить,2,4,2,1,1,0,1
забить,2,2,0,0,-1,0,1
сжечь,1,3,2,1,1,0,1
можно,2,2,0,0,1,0,1
удаться,1,4,3,1,1,0,1
сравнивать,1,2,1,1,1,0,1
поддерживать,1,2,-1,-1,-1,0,1
можно,2,2,0,0,1,0,1
покинуть,2,3,1,1,1,0,1
выделять,1,2,1,1,1,0,1
строить,1,4,3,1,1,-1,1
выселить,1,3,2,1,1,0,1
открыть,2,2,0,0,1,0,1
посетить,1,3,2,1,1,0,1
посетить,2,3,-1,-1,-1,0,1
стать,3,2,1,1,-1,0,1
подразделять,1,4,3,1,1,0,1
посетить,1,3,2,1,1,0,1
называть,8,5,-3,-1,1,0,1
исполнять,2,14,12,1,1,1,1
сменить,1,3,-2,-1,-1,1,1
принимать,1,2,1,1,1,1,1
приговорить,1,2,1,1,1,1,1
взять,2,2,0,0,1,0,1
исполнять,3,9,6,1,1,0,1
сковать,2,2,0,0,-1,0,1
можно,1,3,-2,-1,-1,0,1
планироваться,1,9,-8,-1,-1,1,1
получать,1,3,-2,-1,-1,1,1
писать,1,2,-1,-1,-1,1,1
считать,6,2,-4,-1,1,0,1
зарезать,3,3,0,0,1,0,1
связывать,8,4,-4,-1,1,0,1
пригласить,1,3,2,1,1,0,1
требоваться,7,5,-2,-1,1,0,1
перевести,1,3,2,1,1,0,1
стать,7,4,-3,-1,1,0,1
менять,5,8,-3,-1,-1,0,1
толкать,1,3,-2,-1,-1,1,1
присылать,1,2,-1,-1,-1,1,1
порошить,2,2,0,0,1,0,1
вспоминать,5,4,-1,-1,1,0,1
делать,1,2,1,1,1,-1,1
ремонтировать,1,5,4,1,1,-1,1
определять,6,3,-3,-1,1,0,1
получить,2,5,3,1,1,0,1
держать,4,4,0,0,1,0,1
начать,9,2,-7,-1,1,0,1
обязывать,1,3,-2,-1,-1,-1,1
делить,1,3,-2,-1,-1,0,1
выделить,3,3,0,0,-1,0,1
делить,1,3,-2,-1,-1,0,1
делить,1,3,-2,-1,-1,0,1
сосчитать,1,4,3,1,1,-1,1
потрясти,1,3,2,1,1,0,1
причислить,1,2,-1,-1,-1,1,1
знать,4,3,1,1,-1,0,1
паковать,10,3,7,1,-1,1,1
делать,1,3,-2,-1,-1,1,1
варьировать,1,2,-1,-1,-1,1,1
найти,1,2,1,1,1,0,1
заснять,3,2,1,1,-1,0,1
красть,1,2,-1,-1,-1,-1,1
брать,2,3,1,1,1,0,1
приобрести,2,3,1,1,1,0,1
делать,1,2,-1,-1,-1,1,1
видеть,1,3,2,1,1,0,1
купить,1,3,-2,-1,-1,0,1
занять,2,2,0,0,-1,0,1
хвалить,4,3,1,1,-1,0,1
запускать,2,8,-6,-1,-1,0,1
получить,2,5,3,1,1,0,1
иметь,4,5,-1,-1,-1,0,1
упрекнуть,1,2,-1,-1,-1,0,1
поделать,2,2,0,0,-1,0,1
экранировать,2,2,0,0,1,0,1
проявлять,1,2,1,1,1,0,1
воспринимать,1,3,2,1,1,-1,1
найти,2,3,-1,-1,-1,0,1
ожидать,1,3,2,1,1,0,1
выполнять,2,2,0,0,1,0,1
обыскивать,1,6,5,1,1,-1,1
представить,2,2,0,0,1,1,1
тошнить,1,2,1,1,1,-1,1
прекращать,2,5,3,1,1,0,1
установить,1,4,3,1,1,-1,1
платить,2,3,1,1,1,0,1
решать,1,2,1,1,1,-1,1
связывать,9,2,-7,-1,1,1,1
одобрить,6,7,-1,-1,-1,0,1
облагодетельствовать,1,3,-2,-1,-1,1,1
ожидать,1,3,2,1,1,0,1
поднять,1,8,7,1,1,0,1
проявлять,3,2,-1,-1,1,1,1
вернуть,1,3,2,1,1,-1,1
делать,1,2,1,1,1,1,1
представлять,3,3,0,0,-1,0,1
иметь,5,2,3,1,-1,0,1
принимать,1,2,1,1,1,-1,1
путать,11,3,8,1,-1,0,1
посетить,2,8,6,1,1,0,1
называть,1,2,-1,-1,-1,1,1
хоронить,1,2,1,1,1,0,1
хоронить,1,3,2,1,1,-1,1
покрывать,1,2,1,1,1,0,1
понести,1,3,2,1,1,-1,1
пошатывать,1,2,1,1,1,0,1
напугать,1,2,1,1,1,1,1
справлять,2,2,0,0,1,0,1
нести,1,2,1,1,1,1,1
отложить,3,5,2,1,1,0,1
отпустить,1,3,2,1,1,-1,1
захватить,1,4,3,1,1,0,1
преобразовывать,1,4,3,1,1,0,1
занять,2,3,1,1,1,0,1
поразить,2,3,1,1,1,0,1
отмечать,2,3,-1,-1,-1,0,1
захватить,2,4,-2,-1,-1,0,1
занимать,2,3,-1,-1,-1,0,1
воспитывать,1,2,1,1,1,0,1
прочесывать,1,2,-1,-1,-1,-1,1
делать,1,2,-1,-1,-1,0,1
понять,2,5,-3,-1,-1,0,1
называть,3,2,-1,-1,1,0,1
бросить,1,6,5,1,1,-1,1
брать,2,2,0,0,-1,0,1
получить,2,2,0,0,1,1,1
занимать,5,15,10,1,1,0,1
сместить,3,3,0,0,1,0,1
сказать,1,2,-1,-1,-1,1,1
делать,2,3,-1,-1,-1,1,1
умножать,1,10,9,1,1,-1,1
отнимать,1,3,-2,-1,-1,0,1
связывать,1,2,1,1,1,0,1
покупать,1,4,3,1,1,-1,1
счесть,1,2,-1,-1,-1,1,1
исчерпать,1,14,13,1,1,-1,1
потянуть,2,4,2,1,1,0,1
повторять,3,3,0,0,-1,1,1
вытащить,2,4,-2,-1,-1,0,1
привезти,2,2,0,0,-1,-1,1
крутить,1,4,-3,-1,-1,1,1
видеть,1,3,-2,-1,-1,1,1
видеть,1,2,1,1,1,0,1
сажать,1,2,-1,-1,-1,0,1
производить,1,3,2,1,1,-1,1
сказать,1,2,1,1,1,0,1
использовать,4,6,-2,-1,-1,0,1
разморозить,1,4,3,1,1,-1,1
найти,1,4,-3,-1,-1,0,1
перевозить,14,3,11,1,-1,0,1
сыграть,2,4,2,1,1,0,1
признавать,1,3,2,1,1,-1,1
решать,2,3,1,1,1,0,1
выговорить,3,3,0,0,-1,0,1
контролировать,2,2,0,0,-1,0,1
