Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
obnoviti,1,2,1,1,1,0,1
staviti,10,3,7,1,-1,0,1
steći,3,10,7,1,1,0,1
imati,2,3,1,1,1,0,1
podneti,1,3,2,1,1,0,1
podneti,13,4,9,1,-1,0,1
podnositi,1,4,3,1,1,0,1
podržati,1,2,1,1,1,0,1
iskomplikovati,7,15,8,1,1,0,1
preuzimati,1,5,4,1,1,0,1
imati,2,2,0,0,1,0,1
formirati,2,2,0,0,1,0,1
ponuditi,5,6,1,1,1,0,1
imati,3,2,-1,-1,1,0,1
očekivati,4,3,-1,-1,1,0,1
izgraditi,3,6,3,1,1,0,1
dobiti,1,4,3,1,1,0,1
poslati,2,3,1,1,1,0,1
dobiti,3,4,1,1,1,0,1
potpisati,2,4,-2,-1,-1,0,1
predstojati,2,14,12,1,1,0,1
predstojati,2,14,12,1,1,0,1
okončati,5,3,-2,-1,1,0,1
predstaviti,3,2,-1,-1,1,0,1
predstaviti,8,7,-1,-1,1,0,1
učiniti,4,6,2,1,1,0,1
aktivirati,4,3,-1,-1,1,0,1
staviti,1,3,2,1,1,0,1
pretražiti,2,3,1,1,1,0,1
primenjivati,2,2,0,0,1,0,1
izraziti,1,6,5,1,1,0,1
prevesti,1,3,2,1,1,0,1
napustiti,2,2,0,0,1,0,1
dovesti,9,2,7,1,-1,0,1
prekinuti,2,4,2,1,1,0,1
pokrenuti,2,5,3,1,1,0,1
okriviti,1,3,2,1,1,0,1
izvršiti,1,2,1,1,1,0,1
izdati,31,2,29,1,-1,0,1
učiniti,1,3,2,1,1,0,1
nastaviti,3,11,8,1,1,0,1
preuzeti,2,3,1,1,1,0,1
ubrati,2,2,0,0,1,0,1
okupiti,13,14,1,1,1,0,1
ispuniti,4,20,16,1,1,0,1
suočiti,2,5,3,1,1,0,1
povećati,8,6,-2,-1,1,0,1
tražiti,3,5,2,1,1,0,1
potpisati,9,4,5,1,-1,0,1
igrati,2,2,0,0,1,0,1
potpisati,6,4,-2,-1,1,0,1
isključiti,1,3,2,1,1,0,1
formirati,3,8,5,1,1,0,1
pomoći,7,6,-1,-1,1,0,1
otvoriti,1,3,2,1,1,0,1
prebaciti,1,14,13,1,1,0,1
bombardovati,2,7,5,1,1,0,1
primiti,1,7,6,1,1,0,1
otkriti,2,3,1,1,1,0,1
osetiti,4,4,0,0,1,0,1
opslužiti,3,3,0,0,1,0,1
potvrditi,3,7,4,1,1,0,1
predstaviti,4,4,0,0,-1,0,1
postići,3,3,0,0,1,0,1
postići,2,2,0,0,1,0,1
proći,1,4,3,1,1,0,1
