Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
obnoviti,,Acc,debatu,u Makedoniji,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
staviti,,Acc,svaku slobodnu misao i svako mišljenje koje je protiv njega,pod potpunu kontrolu,10,3,7,6,3,definite,definite,nonpronomial,nonpronomial,preposition,shifted,postverbal
steći,,Gen,"17,5 miliona evra",kroz prevaru kao što je izdavanje računa sa lažnim sadržajem,3,10,-7,3,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imati,,Acc,svoj epilog,na međunarodnim sudovima,2,3,-1,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
podneti,,Acc,ostavku,u svojoj stranci,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
podneti,,Acc,ostavku na mesto potpredsednika Socijaldemokratske partije SDP i dugogodišnjeg člana najvišeg rukovodstva stranke,u utorak 20. marta,13,4,9,8,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
podnositi,,Acc,ostavku,na mesto u stranci,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
podržati,,Nom,SPD,na izborima,1,2,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
iskomplikovati,,Acc,funkcionisanje Predsedništva BiH i ministarstva spoljnih poslova,u pogledu činjenice da je Komšić zajedno sa drugim članovima Predsedništva zadužen za spoljnu politiku,7,15,-8,1,10,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
preuzimati,,Acc,funkciju,nakon tesnog glasanja prošle nedelje,1,5,-4,1,4,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imati,,Acc,većinu glasova,u parlamentu,2,2,0,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
formirati,,Acc,socijalističku frakciju,u parlamentu,2,2,0,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
ponuditi,,Acc,sve svoje znanje i stručnost,u pogledu pravde za ljudska prava,5,6,-1,3,7,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
imati,,Nom,veliki televizijski ekran,u sali,3,2,1,3,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
očekivati,,Acc,nemiran period u regionu,posle nezavisnosti Kosova,4,3,1,2,6,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
izgraditi,,Acc,podjednako dobre odnose,i sa Beogradom i sa Prištinom,3,6,-3,3,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dobiti,,Acc,poziv,na samitu u Bukureštu,1,4,-3,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
poslati,,Acc,svoje mirovnjake,u nekoliko misija,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
dobiti,,Acc,datum o pregovorima,do kraja ove godine,3,4,-1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
potpisati,,Acc,ustavne amandmane,u petak 21. maja,2,4,-2,9,3,definite,indefinite,nonpronomial,nonpronomial,preposition,shifted,postverbal
predstojati,,Acc,veliki posao,u oblasti reforme pravosuđa i državne uprave na primer kao i borbi protiv korupcije,2,14,-12,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
predstojati,,Gen,puno posla,u oblasti reforme pravosuđa i državne uprave na primer kao i borbi protiv korupcije,2,14,-12,2,5,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
okončati,,Acc,pregovore o ulasku sa Hrvatskom,do jeseni 2009,5,3,2,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
predstaviti,,Acc,pregovaračku poziciju Zagreba,do juna,3,2,1,2,5,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
predstaviti,,Acc,indikativni raspored za tehničko okončanje pregovora 2009. godine,pod uslovom da Hrvatska ispuni neke uslove,8,7,1,2,11,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
učiniti,,Acc,sve što je potrebno,radi ispunjenja kriterijuma za punopravno članstvo,4,6,-2,1,6,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
aktivirati,,Acc,proces ulaska u članstvo,za tu zemlju,4,3,1,1,7,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
staviti,,Acc,tačku,na taj spor,1,3,-2,1,4,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
pretražiti,,Gen,šest kuća,u martovskim akcijama,2,3,-1,2,5,indefinite,definite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
primenjivati,,Acc,carinske dažbine,na proizvode,2,2,0,2,4,definite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
izraziti,,Acc,nezadovoljstvo,zbog poteškoća sa kojima se susretala,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,postverbal
