Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
nájsť,4,2,2,1,-1,0,1
dať,7,7,0,0,-1,0,1
mať,3,5,2,1,1,0,1
odovzdať,2,4,-2,-1,-1,0,1
očakávať,2,2,0,0,-1,0,1
vysypať,1,2,-1,-1,-1,1,1
meniť,1,3,2,1,1,0,1
dostať,2,4,2,1,1,0,1
udeľovať,4,2,2,1,-1,0,1
povysávať,2,3,1,1,1,0,1
vziať,2,2,0,0,-1,0,1
hodiť,1,2,1,1,1,1,1
požierať,1,3,2,1,1,0,1
zatláčať,5,2,3,1,-1,0,1
spájať,2,3,-1,-1,-1,0,1
hľadať,4,2,2,1,-1,0,1
držať,2,2,0,0,-1,0,1
posilňovať,4,5,1,1,1,0,1
vyčleniť,2,3,1,1,1,0,1
vnášať,5,2,3,1,-1,0,1
hodiť,1,2,1,1,1,1,1
vymaniť,2,3,1,1,1,0,1
položiť,1,2,1,1,1,0,1
napadnúť,1,4,3,1,1,1,1
pobozkať,1,2,1,1,1,1,1
mať,2,2,0,0,1,-1,1
chytiť,1,2,1,1,1,1,1
vidieť,1,2,1,1,1,1,1
chytiť,1,2,1,1,1,1,1
hodiť,1,2,1,1,1,1,1
mať,1,2,1,1,1,-1,1
mať,2,2,0,0,-1,1,1
mať,1,2,-1,-1,-1,0,1
skočiť,1,2,1,1,1,1,1
mať,2,2,0,0,-1,0,1
naskočiť,1,2,1,1,1,1,1
vziať,1,3,2,1,1,1,1
otvárať,1,2,-1,-1,-1,0,1
odhrnúť,2,2,0,0,-1,0,1
cítiť,4,2,2,1,-1,0,1
mať,2,2,0,0,-1,0,1
napchať,1,8,7,1,1,1,1
objať,1,2,1,1,1,1,1
hladkať,1,2,1,1,1,1,1
pobozkať,1,2,1,1,1,1,1
zdvihnúť,1,2,1,1,1,0,1
sledovať,1,2,1,1,1,1,1
plesnúť,1,2,1,1,1,0,1
vidieť,1,2,1,1,1,-1,1
ospravedlniť,1,2,1,1,1,1,1
postaviť,1,2,1,1,1,1,1
priniesť,4,2,2,1,-1,0,1
chytiť,1,2,1,1,1,1,1
hľadať,4,2,2,1,-1,0,1
zhodiť,1,2,1,1,1,1,1
chytiť,1,2,1,1,1,1,1
zacítiť,2,2,0,0,-1,0,1
mať,1,2,-1,-1,-1,0,1
rozoberať,6,2,4,1,-1,1,1
zaklopať,1,2,1,1,1,0,1
mať,1,2,1,1,1,0,1
zbadať,1,2,-1,-1,-1,0,1
zavesiť,1,2,1,1,1,1,1
hodiť,1,2,1,1,1,1,1
napchať,2,2,0,0,1,0,1
odovzdať,1,2,1,1,1,0,1
objať,1,2,1,1,1,1,1
