Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
čakať,1,4,3,1,1,-1,1
mať,2,3,-1,-1,-1,0,1
dostať,1,2,-1,-1,-1,1,1
zaujať,1,2,1,1,1,-1,1
vybrať,2,3,1,1,1,0,1
vyhrabať,1,3,-2,-1,-1,0,1
niesť,1,3,2,1,1,-1,1
hrnúť,1,2,-1,-1,-1,1,1
hrnúť,1,2,-1,-1,-1,1,1
bozkávať,1,2,1,1,1,-1,1
preskočiť,1,4,-3,-1,-1,1,1
zvládnuť,2,3,-1,-1,-1,0,1
bolieť,1,6,5,1,1,-1,1
predstaviť,1,2,-1,-1,-1,1,1
rozbolieť,1,2,-1,-1,-1,1,1
ovaliť,1,2,1,1,1,-1,1
viesť,1,2,1,1,1,-1,1
dobehnúť,1,2,1,1,1,-1,1
omotať,1,2,-1,-1,-1,1,1
vyhŕknuť,1,2,1,1,1,-1,1
pomôcť,1,3,-2,-1,-1,1,1
stekať,1,2,1,1,1,-1,1
vyhýbať,1,2,-1,-1,-1,0,1
tiecť,1,2,1,1,1,-1,1
stúpať,1,2,1,1,1,-1,1
mať,14,2,12,1,-1,0,1
nasvedčovať,1,3,2,1,1,0,1
recipovať,1,3,2,1,1,-1,1
zakázať,1,2,-1,-1,-1,0,1
nastoľovať,2,2,0,0,1,0,1
odstrániť,1,3,2,1,1,-1,1
zraziť,1,3,-2,-1,-1,1,1
ovládať,1,3,2,1,1,0,1
vypáčiť,1,2,-1,-1,-1,0,1
vystúpiť,1,2,1,1,1,-1,1
znepokojovať,1,3,2,1,1,-1,1
naskočiť,1,2,1,1,1,-1,1
kráčať,1,2,1,1,1,-1,1
obľubovať,1,3,2,1,1,-1,1
zhltnúť,1,3,-2,-1,-1,0,1
chytiť,1,2,-1,-1,-1,1,1
naskočiť,1,2,1,1,1,-1,1
dopadnúť,1,2,1,1,1,-1,1
búchať,1,2,-1,-1,-1,1,1
páliť,1,2,-1,-1,-1,1,1
pozývať,1,2,-1,-1,-1,1,1
vyvolávať,1,2,-1,-1,-1,0,1
doľahnúť,1,2,1,1,1,-1,1
nasledovať,1,2,1,1,1,-1,1
obklopovať,1,5,-4,-1,-1,1,1
vyraziť,1,2,-1,-1,-1,1,1
vziať,1,2,1,1,1,-1,1
viesť,1,2,1,1,1,-1,1
upravovať,2,3,1,1,1,0,1
robiť,3,3,0,0,1,0,1
okríknuť,1,3,2,1,1,-1,1
zísť,1,2,-1,-1,-1,0,1
stekať,1,5,-4,-1,-1,1,1
kvapnúť,1,3,-2,-1,-1,1,1
udať,1,3,2,1,1,-1,1
naskočiť,1,3,2,1,1,-1,1
páliť,1,2,-1,-1,-1,1,1
doľahnúť,1,2,1,1,1,-1,1
vyraziť,1,2,-1,-1,-1,1,1
fabrikovať,1,2,-1,-1,-1,-1,1
tisnúť,1,2,-1,-1,-1,1,1
naskočiť,1,2,-1,-1,-1,1,1
prijať,9,4,-5,-1,1,-1,0
obľubovať,1,3,-2,-1,-1,1,0
pokúšať,1,2,1,1,1,0,0
zvládnuť,1,3,2,1,1,-1,0
porúčať,1,3,-2,-1,-1,1,0
prispôsobiť,1,2,-1,-1,-1,1,0
nachádzať,2,2,0,0,1,1,0
čakať,1,3,-2,-1,-1,1,0
zhodiť,1,2,1,1,1,0,0
zasiahnuť,1,2,1,1,1,-1,0
vyzliekať,1,2,1,1,1,-1,0
čakať,1,5,-4,-1,-1,1,0
sužovať,1,2,-1,-1,-1,1,0
jsť,1,2,-1,-1,-1,-1,0
pripraviť,1,4,-3,-1,-1,1,0
zostať,1,3,-2,-1,-1,1,0
poznať,1,3,-2,-1,-1,1,0
nadávať,1,2,-1,-1,-1,1,0
čakať,1,2,-1,-1,-1,1,0
páliť,1,2,-1,-1,-1,1,0
zblížiť,1,3,-2,-1,-1,1,0
vylúčiť,1,2,1,1,1,-1,0
spôsobiť,1,2,-1,-1,-1,0,0
priviesť,1,2,-1,-1,-1,1,0
vytiahnuť,1,2,-1,-1,-1,1,0
zostať,1,2,-1,-1,-1,1,0
počuť,1,3,-2,-1,-1,1,0
priviesť,1,2,-1,-1,-1,0,0
zaznieť,1,2,-1,-1,-1,1,0
zastať,1,2,1,1,1,-1,0
zničiť,8,3,5,1,-1,0,0
slušať,1,3,-2,-1,-1,1,0
zasypávať,2,4,-2,-1,-1,0,0
zachvieť,1,2,1,1,1,-1,0
poskočiť,1,2,1,1,1,-1,0
znieť,1,2,1,1,1,-1,0
zdvihnúť,1,2,-1,-1,-1,0,0
minúť,1,2,1,1,1,-1,0
potulovať,1,2,1,1,1,-1,0
ukryť,1,2,1,1,1,-1,0
vyhrávať,1,3,-2,-1,-1,1,0
zaraziť,1,2,-1,-1,-1,1,0
viesť,1,2,-1,-1,-1,0,0
chytiť,1,2,1,1,1,-1,0
hľadieť,1,2,1,1,1,-1,0
zjaviť,1,2,1,1,1,-1,0
sledovať,1,2,1,1,1,-1,0
potrebovať,1,2,-1,-1,-1,0,0
sedieť,1,2,-1,-1,-1,-1,0
prísť,1,2,-1,-1,-1,1,0
okovať,1,3,-2,-1,-1,0,0
nájsť,1,2,1,1,1,0,0
púšťať,1,3,2,1,1,-1,0
vyrásť,1,4,-3,-1,-1,1,0
vyrušiť,1,2,-1,-1,-1,1,0
strpieť,3,3,0,0,-1,0,0
zabzučať,1,2,1,1,1,-1,0
oslepiť,1,2,-1,-1,-1,0,0
zažiť,1,2,1,1,1,-1,0
bolieť,1,3,-2,-1,-1,1,0
ospravedlňovať,1,3,-2,-1,-1,0,0
nájsť,1,2,1,1,1,0,0
privítať,1,2,-1,-1,-1,1,0
páčiť,1,2,1,1,1,0,0
posilniť,2,3,-1,-1,-1,0,0
