Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
čakať,,Acc,nás,Na zastávke na Záhradkách,1,4,-3,1,4,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
mať,,Acc,tú potrebu,V ROVNAKEJ MIERE,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
dostať,,Acc,HO,PO ROKU,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
zaujať,,Acc,ma,Okrem chuti,1,2,-1,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
vybrať,,Acc,svojho favorita,v tejto kategórii,2,3,-1,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
vyhrabať,,Acc,ktorú,v jeho knižnici,1,3,-2,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
niesť,,Acc,ju,Pri slávnostných obradoch,1,3,-2,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
hrnúť,,Dat,mi,do hlavy,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
hrnúť,,Dat,mi,do hlavy,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
bozkávať,,Acc,ma,v ktorom,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
preskočiť,,Dat,mu,v tej krátkej vete,1,4,-3,5,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
zvládnuť,,Acc,Tú šóru,v žiadnom prípade,2,3,-1,4,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
bolieť,,Acc,ma,Po známej zrážke s okrajom bazéna,1,6,-5,1,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
predstaviť,,Acc,ťa,v uniforme,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
rozbolieť,,Acc,ma,od smiechu,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
ovaliť,,Acc,nás,V Bullocku,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
viesť,,Acc,ma,Cez parkovisko,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
dobehnúť,,Acc,ma,pred školou,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
omotať,,Dat,mi,pod vodou,1,2,-1,3,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
vyhŕknuť,,Dat,mi,Z očí,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
pomôcť,,Dat,ti,podľa svojich možností,1,3,-2,4,1,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
stekať,,Dat,mi,po tvári,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
vyhýbať,,Dat,Chrisovi,v škole,1,2,-1,3,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
tiecť,,Dat,mi,po tvári,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
stúpať,,Dat,mi,do líc,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
mať,,Acc,Žiadne údaje o prípadných ďalších tunajších aktivitách Leva IX napríklad o snahách presadzovť refory,k dispozícii,14,2,12,18,1,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
nasvedčovať,,Dat,tomu,Okrem spomínaných listov,1,3,-2,2,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
recipovať,,Acc,ich,Z veľkej časti,1,3,-2,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
zakázať,,Acc,ktorú,v Ostrihome,1,2,-1,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
nastoľovať,,Acc,tieto požiadavky,s akou,2,2,0,1,3,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
odstrániť,,Acc,ťa,Z dejinného procesu,1,3,-2,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
zraziť,,Acc,ho,do tejto polohy,1,3,-2,5,2,indefinite,indefinite,pronominal,nonpronomial,preposition,shifted,preverbal
ovládať,,Acc,život,na všetkých stupňoch,1,3,-2,1,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,nonshifted,preverbal
vypáčiť,,Acc,čo,z neho,1,2,-1,4,2,indefinite,indefinite,pronominal,pronominal,preposition,shifted,preverbal
vystúpiť,,Dat,mu,Na chrbtici,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
znepokojovať,,Acc,ho,Po celý deň,1,3,-2,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
naskočiť,,Dat,mu,V mysli,1,2,-1,2,3,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
kráčať,,Dat,mu,v pätách,1,2,-1,1,2,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
obľubovať,,Acc,ju,V poslednom čase,1,3,-2,4,5,indefinite,indefinite,pronominal,nonpronomial,preposition,nonshifted,preverbal
zhltnúť,,Acc,to,s hlúposťou zvieraťa,1,3,-2,4,2,indefinite,indefinite,nonpronomial,nonpronomial,preposition,shifted,preverbal
