Verb,NP_len,PP_len,Len_diff,Len,Arg_status,Pronominality,Order
izločiti,1,3,2,1,1,0,1
povzročiti,1,13,12,1,1,0,1
zadovoljiti,2,3,1,1,1,0,1
zapreti,1,2,1,1,1,-1,1
imeti,3,3,0,0,-1,0,1
imeti,7,2,5,1,-1,0,1
vzeti,2,2,0,0,-1,1,1
kupovati,2,3,1,1,1,0,1
imeti,5,4,1,1,-1,0,1
potrebovati,4,4,0,0,1,0,1
imeti,2,5,3,1,1,0,1
imeti,6,4,-2,-1,1,0,1
voditi,1,2,1,1,1,0,1
imeti,5,7,2,1,1,0,1
dostaviti,1,4,3,1,1,1,1
izdolbsti,2,3,1,1,1,0,1
odkriti,8,3,5,1,-1,0,1
načeti,2,9,7,1,1,0,1
varovati,1,3,2,1,1,1,1
loviti,1,4,3,1,1,1,1
dajati,4,2,2,1,-1,0,1
zavrteti,1,5,4,1,1,0,1
jesti,1,2,1,1,1,1,1
dajati,1,4,3,1,1,0,1
dati,2,3,-1,-1,-1,0,1
prebirati,1,3,2,1,1,0,1
odrecitirati,4,2,2,1,-1,0,1
ščititi,1,2,1,1,1,0,1
imeti,4,2,2,1,-1,0,1
pognati,4,2,-2,-1,1,0,1
črpati,1,10,9,1,1,0,1
stegniti,1,2,1,1,1,0,1
prijeti,2,2,0,0,1,0,1
pripraviti,15,3,12,1,-1,0,1
imeti,2,5,3,1,1,0,1
buriti,1,2,1,1,1,0,1
najti,1,5,4,1,1,0,1
spustiti,1,2,1,1,1,0,1
oceniti,1,3,2,1,1,0,1
imeti,2,2,0,0,-1,0,1
določati,4,4,0,0,1,0,1
namenjati,2,3,1,1,1,0,1
imeti,3,3,0,0,-1,0,1
imeti,1,13,12,1,1,1,1
dobiti,1,4,3,1,1,0,1
zvezati,1,2,1,1,1,0,1
zmanjšati,1,2,1,1,1,0,1
prejeti,1,3,2,1,1,0,1
brati,5,2,3,1,-1,1,1
razviti,4,5,1,1,1,0,1
uporabljati,6,4,2,1,-1,0,1
držati,4,4,0,0,1,0,1
želeti,1,5,4,1,1,0,1
hraniti,1,3,2,1,1,1,1
imeti,1,6,5,1,1,0,1
imeti,3,8,-5,-1,-1,0,1
čutiti,4,4,0,0,1,0,1
vložiti,11,14,3,1,1,0,1
nagniti,1,3,2,1,1,0,1
kupovati,1,2,1,1,1,0,1
služiti,1,2,1,1,1,0,1
meriti,1,3,2,1,1,0,1
vložiti,1,4,3,1,1,0,1
prizadeti,3,2,-1,-1,1,0,1
položiti,1,2,-1,-1,-1,0,1
imeti,1,2,-1,-1,-1,1,1
vnesti,10,2,8,1,-1,0,1
uničiti,4,3,-1,-1,1,0,1
služiti,1,2,1,1,1,0,1
odigrati,3,4,1,1,1,0,1
vleči,2,2,0,0,-1,0,1
povezati,3,3,0,0,1,0,1
razvrščati,1,5,4,1,1,0,1
preživeti,1,3,2,1,1,0,1
odpreti,1,9,8,1,1,0,1
imeti,9,2,7,1,-1,0,1
vračati,2,5,3,1,1,0,1
vračati,3,6,3,1,1,0,1
doseči,2,4,2,1,1,0,1
imeti,18,2,16,1,-1,0,1
skrivati,4,16,12,1,1,0,1
imeti,1,2,1,1,1,1,1
spremljati,2,15,13,1,1,0,1
imeti,1,2,1,1,1,1,1
pustiti,4,3,-1,-1,1,0,1
povečati,1,3,2,1,1,0,1
povedati,1,4,3,1,1,0,1
gojiti,2,4,2,1,1,0,1
imeti,2,2,0,0,-1,0,1
dajati,2,3,-1,-1,-1,0,1
ustvariti,11,2,9,1,-1,1,1
stresti,1,3,2,1,1,1,1
vmešati,1,2,1,1,1,1,1
imeti,2,7,-5,-1,-1,0,1
prevesiti,3,3,0,0,1,0,1
napisati,1,2,1,1,1,0,1
namakati,1,3,2,1,1,0,1
izgubiti,4,2,-2,-1,1,0,1
izbrisati,3,2,-1,-1,1,-1,1
vzeti,1,2,1,1,1,0,1
imeti,5,2,3,1,-1,0,1
povzročiti,2,14,12,1,1,0,1
ščititi,1,2,1,1,1,0,1
imeti,2,2,0,0,-1,0,1
potisniti,1,2,1,1,1,0,1
pomoliti,1,2,1,1,1,0,1
povečati,1,2,1,1,1,1,1
poiskati,1,2,1,1,1,0,1
prerasti,2,6,4,1,1,0,1
najti,4,3,-1,-1,1,0,1
povzročiti,2,3,1,1,1,0,1
igrati,1,3,2,1,1,0,1
spustiti,3,2,1,1,-1,0,1
začutiti,2,2,0,0,1,0,1
pograbiti,1,2,1,1,1,0,1
odpreti,16,2,14,1,-1,0,1
brcati,1,2,1,1,1,0,1
dobiti,3,6,3,1,1,0,1
dati,2,2,0,0,-1,1,1
čutiti,2,3,1,1,1,0,1
imeti,2,2,0,0,-1,0,1
zaprositi,2,6,4,1,1,0,1
najti,2,2,0,0,-1,0,1
voditi,1,9,8,1,1,1,1
prekinjati,4,2,-2,-1,1,0,1
prodati,2,2,0,0,1,0,1
obrniti,1,2,1,1,1,0,1
spremljati,1,7,6,1,1,1,1
videti,1,8,7,1,1,1,1
prinesti,1,3,2,1,1,0,1
obsoditi,2,7,5,1,1,0,1
izbezati,6,2,4,1,-1,0,1
izračunati,3,5,2,1,1,0,1
imeti,2,2,0,0,-1,0,1
delati,1,3,2,1,1,0,1
imeti,1,2,-1,-1,-1,0,1
začeti,1,3,2,1,1,0,1
poslati,2,5,3,1,1,0,1
opozoriti,2,8,6,1,1,0,1
obiskovati,1,2,1,1,1,0,1
imeti,8,7,-1,-1,1,0,1
odpovedati,3,2,-1,-1,1,0,1
imeti,2,3,-1,-1,-1,0,1
orisovati,2,14,12,1,1,0,1
imeti,2,21,19,1,1,0,1
dati,4,2,2,1,-1,0,1
imeti,2,2,0,0,-1,0,1
nuditi,3,4,1,1,1,0,1
opažati,3,4,-1,-1,-1,0,1
čistiti,1,2,1,1,1,0,1
vzgajati,1,2,1,1,1,0,1
preseči,4,3,-1,-1,1,0,1
opraviti,2,5,3,1,1,0,1
podati,1,14,13,1,1,0,1
preživeti,4,3,-1,-1,1,0,1
prenesti,1,3,2,1,1,0,1
restavrirati,5,6,1,1,1,0,1
restavrirati,8,3,5,1,-1,0,1
obljubljati,2,9,7,1,1,0,1
slišati,3,3,0,0,1,0,1
prinašati,3,3,0,0,-1,0,1
